,what,sport,attracts,most,tourists,to,jacksonville,?
as,0.31749409437179565,0.15520814061164856,0.2141360193490982,0.3548237979412079,0.14826110005378723,0.42092081904411316,0.20988665521144867,0.27043893933296204
with,0.2464839518070221,0.15825147926807404,0.17785856127738953,0.336320698261261,0.15678437054157257,0.4239959120750427,0.2283513844013214,0.2433311939239502
much,0.45316147804260254,0.11895020306110382,0.2229214757680893,0.4205867648124695,0.2055286318063736,0.40610215067863464,0.1343209147453308,0.23442231118679047
of,0.33290785551071167,0.17918744683265686,0.2566487491130829,0.4178851246833801,0.21494702994823456,0.41548454761505127,0.23084138333797455,0.1826142966747284
florida,0.14450381696224213,0.12159155309200287,0.1913824826478958,0.1407700926065445,0.19816312193870544,0.20760414004325867,0.568950355052948,0.13469882309436798
",",0.3087472915649414,0.1842397302389145,0.19024211168289185,0.3636029064655304,0.19027641415596008,0.44245919585227966,0.2837527096271515,0.31091248989105225
tourism,0.09624189138412476,0.35000911355018616,0.3910068869590759,0.23045668005943298,0.6632569432258606,0.23313839733600616,0.14651526510715485,0.08465105295181274
is,0.28837618231773376,0.1922176480293274,0.27254295349121094,0.41165053844451904,0.24758118391036987,0.42745086550712585,0.1726600080728531,0.22961433231830597
also,0.42747777700424194,0.23100067675113678,0.3118177056312561,0.5312551259994507,0.27248647809028625,0.5348826050758362,0.26396480202674866,0.21848613023757935
important,0.31164905428886414,0.14770212769508362,0.326922744512558,0.5079463124275208,0.31991520524024963,0.30913278460502625,0.09606653451919556,0.17812499403953552
to,0.455847829580307,0.20403119921684265,0.26374351978302,0.321603000164032,0.29182255268096924,1.0,0.1994343250989914,0.29463258385658264
the,0.42745697498321533,0.15650692582130432,0.23540660738945007,0.47635307908058167,0.2852522134780884,0.535392165184021,0.2176690250635147,0.22068053483963013
jacksonville,0.14578714966773987,0.11878625303506851,0.1649588942527771,0.17340192198753357,0.1648133546113968,0.1994343250989914,1.0000001192092896,0.1359667330980301
area,0.21965408325195312,0.18200065195560455,0.22571709752082825,0.2143535614013672,0.3178657293319702,0.2797197997570038,0.24562028050422668,0.12640461325645447
",",0.3087472915649414,0.1842397302389145,0.19024211168289185,0.3636029064655304,0.19027641415596008,0.44245919585227966,0.2837527096271515,0.31091248989105225
particularly,0.33027681708335876,0.18074201047420502,0.338346004486084,0.5707136988639832,0.2509143650531769,0.33588847517967224,0.14293712377548218,0.2644225060939789
tourism,0.09624189138412476,0.35000911355018616,0.3910068869590759,0.23045668005943298,0.6632569432258606,0.23313839733600616,0.14651526510715485,0.08465105295181274
related,0.258600115776062,0.27678099274635315,0.19161006808280945,0.21356713771820068,0.14448325335979462,0.2702969014644623,0.08163071423768997,0.17689068615436554
to,0.455847829580307,0.20403119921684265,0.26374351978302,0.321603000164032,0.29182255268096924,1.0,0.1994343250989914,0.29463258385658264
golf,0.15003086626529694,0.4139905869960785,0.2378244251012802,0.13974539935588837,0.2528531551361084,0.15719355642795563,0.23296807706356049,0.1563393920660019
.,0.3567904531955719,0.19931355118751526,0.13309215009212494,0.35404038429260254,0.17256435751914978,0.4645031690597534,0.2843366861343384,0.4130953550338745
