,how,did,tesla,know,he,was,being,struck,by,the,particle,?
``,-0.01591024175286293,-0.029888948425650597,0.04274534806609154,0.04465534910559654,0.05585138872265816,-0.012679691426455975,0.0027407517191022635,0.03538832813501358,-0.030704375356435776,0.029072100296616554,0.04143478721380234,0.0685480609536171
tesla,0.19128404557704926,0.09757418930530548,0.9999999403953552,0.19302572309970856,0.12373391538858414,0.16455206274986267,0.13586261868476868,0.1372261643409729,0.16513796150684357,0.1324402391910553,0.34292855858802795,0.10250775516033173
said,0.29677578806877136,0.5119821429252625,0.1453642100095749,0.4088509976863861,0.3578285872936249,0.43711766600608826,0.30020007491111755,0.23855580389499664,0.29746580123901367,0.3024602234363556,0.22161200642585754,0.28991883993148804
he,0.2594625651836395,0.3292143940925598,0.12373391538858414,0.2910948693752289,1.0000001192092896,0.5410010814666748,0.426932692527771,0.23320919275283813,0.2485479861497879,0.4571082592010498,0.21523025631904602,0.2089974731206894
could,0.47830453515052795,0.6308382749557495,0.16634690761566162,0.4388989508152008,0.2828438878059387,0.39896807074546814,0.40033626556396484,0.24383166432380676,0.26333630084991455,0.35393214225769043,0.25505566596984863,0.3411986827850342
feel,0.39337024092674255,0.3044363260269165,0.12741635739803314,0.4781356453895569,0.18510694801807404,0.1857398897409439,0.3245692253112793,0.1656668484210968,0.21513183414936066,0.264497846364975,0.23550306260585785,0.39212626218795776
a,0.29312583804130554,0.2552328109741211,0.2211925983428955,0.3143780827522278,0.4393508732318878,0.4508470594882965,0.3727131485939026,0.2720656096935272,0.32094135880470276,0.5829201340675354,0.2823246121406555,0.23916715383529663
sharp,0.1952749639749527,0.12490454316139221,0.13908623158931732,0.19020162522792816,0.13282041251659393,0.11500541120767593,0.2258618026971817,0.23278291523456573,0.14750729501247406,0.20238399505615234,0.14234910905361176,0.10235925018787384
stinging,0.2379463165998459,0.1676846742630005,0.13175326585769653,0.21168231964111328,0.2174644023180008,0.13197828829288483,0.368248850107193,0.20869888365268707,0.2592039406299591,0.28025001287460327,0.23219607770442963,0.1810075342655182
pain,0.2524952292442322,0.19090883433818817,0.17329366505146027,0.24029186367988586,0.23108816146850586,0.15422336757183075,0.22704945504665375,0.18721452355384827,0.1458105742931366,0.20108363032341003,0.17192313075065613,0.2135392427444458
where,0.41728174686431885,0.24159270524978638,0.12761090695858002,0.36875680088996887,0.3705328106880188,0.20731619000434875,0.34980592131614685,0.21526552736759186,0.2641284465789795,0.5003893971443176,0.24096731841564178,0.24793872237205505
it,0.36714982986450195,0.2993364930152893,0.17596082389354706,0.4025348722934723,0.36018872261047363,0.4577186405658722,0.3926103413105011,0.23017513751983643,0.40926623344421387,0.6251175999641418,0.2632744014263153,0.25732165575027466
entered,0.11919467151165009,0.24553436040878296,0.06932234019041061,0.14262312650680542,0.26851868629455566,0.3258320689201355,0.1811596006155014,0.25345057249069214,0.2365771234035492,0.3258282542228699,0.0943756103515625,0.10335487127304077
his,0.24614305794239044,0.3546801507472992,0.1580733060836792,0.2323446422815323,0.7171558737754822,0.4405253231525421,0.34421810507774353,0.2475740909576416,0.3107621967792511,0.4394008219242096,0.15650218725204468,0.18075084686279297
body,0.27980050444602966,0.17681342363357544,0.03466523438692093,0.1973147988319397,0.21051713824272156,0.19372783601284027,0.25699910521507263,0.1764748990535736,0.23696592450141907,0.31682634353637695,0.29448041319847107,0.20136451721191406
