,the,maroons,compete,in,what,league,division,?
the,1.0,0.29416006803512573,0.28425246477127075,0.6662389636039734,0.42745697498321533,0.2724147439002991,0.26203617453575134,0.22068053483963013
maroons,0.29416006803512573,1.0,0.31200286746025085,0.2325112521648407,0.15003058314323425,0.3767703175544739,0.22683005034923553,0.12267787754535675
compete,0.28425246477127075,0.31200286746025085,0.9999999403953552,0.2251034528017044,0.2122422456741333,0.32466310262680054,0.21591022610664368,0.07650651037693024
in,0.6662389636039734,0.2325112521648407,0.2251034528017044,1.0,0.30808621644973755,0.22963495552539825,0.2658538520336151,0.20430970191955566
the,1.0,0.29416006803512573,0.28425246477127075,0.6662389636039734,0.42745697498321533,0.2724147439002991,0.26203617453575134,0.22068053483963013
ncaa,0.24887123703956604,0.35113874077796936,0.4039894938468933,0.19002242386341095,0.2340848296880722,0.4325389862060547,0.43689456582069397,0.14618685841560364
's,-0.01540423184633255,-0.0018910190556198359,0.09049925953149796,-0.037580832839012146,0.02692362666130066,0.0167086161673069,-0.006703963968902826,-0.023395681753754616
division,0.26203617453575134,0.22683005034923553,0.21591022610664368,0.2658538520336151,0.19144181907176971,0.3892407715320587,1.0,0.08900629729032516
iii,0.18552400171756744,0.1359873265028,0.13746565580368042,0.17050711810588837,0.09164873510599136,0.10762656480073929,0.18488715589046478,0.13642357289791107
as,0.48381632566452026,0.17205850780010223,0.22799742221832275,0.3887844979763031,0.31749409437179565,0.1659073382616043,0.15425626933574677,0.27043893933296204
members,0.3321719169616699,0.2670688331127167,0.20694969594478607,0.196792870759964,0.16873176395893097,0.1897948682308197,0.17124703526496887,0.10212311148643494
of,0.733189046382904,0.17945563793182373,0.24771372973918915,0.5696388483047485,0.33290785551071167,0.23588460683822632,0.23579144477844238,0.1826142966747284
the,1.0,0.29416006803512573,0.28425246477127075,0.6662389636039734,0.42745697498321533,0.2724147439002991,0.26203617453575134,0.22068053483963013
university,0.263973206281662,0.22755269706249237,0.24016854166984558,0.3201795518398285,0.20256435871124268,0.275636225938797,0.2063700407743454,0.11887256056070328
athletic,0.22677098214626312,0.3112092614173889,0.45895761251449585,0.19805335998535156,0.1290024071931839,0.3691715598106384,0.30835437774658203,0.06249280273914337
association,0.26550325751304626,0.14762607216835022,0.27038490772247314,0.23660005629062653,0.13908448815345764,0.3467181622982025,0.24824105203151703,0.1542656421661377
(,0.33289089798927307,0.1688574105501175,0.09291746467351913,0.3087427020072937,0.2411840260028839,0.20627592504024506,0.2016449272632599,0.40561532974243164
uaa,0.23873072862625122,0.2634710967540741,0.27453184127807617,0.13834652304649353,0.2816154956817627,0.3304382562637329,0.3271746039390564,0.3571755290031433
),0.3456730246543884,0.15358079969882965,0.10140738636255264,0.3326910734176636,0.26259949803352356,0.20750375092029572,0.20391593873500824,0.42300865054130554
.,0.5934505462646484,0.20928053557872772,0.20177166163921356,0.5591574311256409,0.3567904531955719,0.29573896527290344,0.27855971455574036,0.4130953550338745
