,how,many,seats,are,in,the,debating,chamber,?
there,0.3328511416912079,0.4993700683116913,0.27351459860801697,0.5433560013771057,0.5361666083335876,0.47025805711746216,0.3846636414527893,0.18889866769313812,0.29405656456947327
are,0.311818927526474,0.5655534863471985,0.1952616572380066,1.0,0.3841303884983063,0.40399202704429626,0.24967782199382782,0.13027484714984894,0.24591213464736938
131,-0.04597507044672966,-0.0502435564994812,-0.06810848414897919,-0.06550442427396774,-0.0012994795106351376,-0.0037643564864993095,0.0069879647344350815,-0.01775398477911949,0.040556471794843674
seats,0.08405140787363052,0.1988271325826645,1.0,0.1952616572380066,0.26510122418403625,0.25880131125450134,0.27996712923049927,0.23827815055847168,0.10678832978010178
in,0.2601168751716614,0.41474202275276184,0.26510122418403625,0.3841303884983063,1.0,0.6662389636039734,0.30045655369758606,0.18419700860977173,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.25880131125450134,0.40399202704429626,0.6662389636039734,1.0,0.36207282543182373,0.2594704031944275,0.22068053483963013
debating,0.3279707133769989,0.38917821645736694,0.27996712923049927,0.24967782199382782,0.30045655369758606,0.36207282543182373,1.0000001192092896,0.17590181529521942,0.25251495838165283
chamber,0.1688956767320633,0.21531830728054047,0.23827815055847168,0.13027484714984894,0.18419700860977173,0.2594704031944275,0.17590181529521942,1.0,0.04307165369391441
.,0.3287222981452942,0.3974229395389557,0.2494688183069229,0.3452940285205841,0.5591574311256409,0.5934505462646484,0.33765700459480286,0.1907585710287094,0.4130953550338745
,how,many,seats,are,in,the,debating,chamber,?
of,0.2480744868516922,0.37253960967063904,0.22482673823833466,0.39081433415412903,0.5696388483047485,0.733189046382904,0.32650312781333923,0.24295011162757874,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.25880131125450134,0.40399202704429626,0.6662389636039734,1.0,0.36207282543182373,0.2594704031944275,0.22068053483963013
total,0.22199897468090057,0.2912171483039856,0.2837938368320465,0.2363838106393814,0.27667245268821716,0.27068960666656494,0.1309674084186554,0.11508889496326447,0.14396025240421295
131,-0.04597507044672966,-0.0502435564994812,-0.06810848414897919,-0.06550442427396774,-0.0012994795106351376,-0.0037643564864993095,0.0069879647344350815,-0.01775398477911949,0.040556471794843674
seats,0.08405140787363052,0.1988271325826645,1.0,0.1952616572380066,0.26510122418403625,0.25880131125450134,0.27996712923049927,0.23827815055847168,0.10678832978010178
",",0.22659391164779663,0.40610817074775696,0.22755272686481476,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.2937410771846771,0.211589053273201,0.31091248989105225
129,0.1822912096977234,0.09343571960926056,0.1906653344631195,0.11071382462978363,0.08242025226354599,0.13178378343582153,0.19662876427173615,0.07225893437862396,0.16383802890777588
are,0.311818927526474,0.5655534863471985,0.1952616572380066,1.0,0.3841303884983063,0.40399202704429626,0.24967782199382782,0.13027484714984894,0.24591213464736938
occupied,0.07381170988082886,0.15824605524539948,0.16859030723571777,0.15952327847480774,0.30793076753616333,0.3288927674293518,0.16511182487010956,0.13273876905441284,0.11679025739431381
by,0.34370526671409607,0.3409687578678131,0.15212112665176392,0.37842893600463867,0.370934396982193,0.4408751428127289,0.19726601243019104,0.16238753497600555,0.17966607213020325
the,0.33890387415885925,0.4335206151008606,0.25880131125450134,0.40399202704429626,0.6662389636039734,1.0,0.36207282543182373,0.2594704031944275,0.22068053483963013
