,what,health,problem,did,tesla,have,in,1879,?
nikola,0.1137276440858841,0.11212120950222015,0.1540192812681198,0.1303156167268753,0.5656248331069946,0.06716431677341461,0.11547333002090454,0.023908918723464012,0.06297405064105988
suffered,0.13741295039653778,0.34101632237434387,0.2883607745170593,0.28497523069381714,0.06396197527647018,0.23545825481414795,0.277639776468277,-0.03378421068191528,0.08963493257761002
a,0.3320399522781372,0.21166443824768066,0.2605542540550232,0.2552328109741211,0.2211925983428955,0.338716596364975,0.539380669593811,0.007828829810023308,0.23916715383529663
nervous,0.28047090768814087,0.32789546251296997,0.27704375982284546,0.22258715331554413,0.1592334806919098,0.23037825524806976,0.1840289831161499,-0.12613707780838013,0.171977236866951
breakdown,0.22417770326137543,0.3322809040546417,0.2965664863586426,0.14484427869319916,0.19270475208759308,0.25199079513549805,0.22739647328853607,-0.07954666763544083,0.09663234651088715
at,0.2838611304759979,0.17992424964904785,0.2246675044298172,0.28390252590179443,0.16552478075027466,0.29004791378974915,0.4374977946281433,-0.009198488667607307,0.21978627145290375
around,0.27475327253341675,0.18218880891799927,0.20296445488929749,0.1658935695886612,0.13338635861873627,0.4113404154777527,0.41294145584106445,-0.12135534733533859,0.14729668200016022
the,0.42745697498321533,0.2340974360704422,0.24928659200668335,0.34736719727516174,0.1324402391910553,0.40389683842658997,0.6662389636039734,-0.02315060794353485,0.22068053483963013
same,0.3764382302761078,0.17694664001464844,0.2894531488418579,0.3097444474697113,0.1633947193622589,0.4098116159439087,0.3692481815814972,-0.018805742263793945,0.22649677097797394
time,0.36319252848625183,0.21205806732177734,0.3373833894729614,0.3567926585674286,0.14928559958934784,0.3659670352935791,0.3431483507156372,0.02012762986123562,0.27391523122787476
.,0.3567904531955719,0.25832483172416687,0.22562150657176971,0.35288307070732117,0.17949827015399933,0.41614407300949097,0.5591574311256409,0.062138766050338745,0.4130953550338745
