,what,does,education,in,an,area,where,there,is,high,demand,for,workers,tend,to,create,?
education,0.19940856099128723,0.1943693906068802,1.0,0.2654339671134949,0.1506793051958084,0.15744484961032867,0.19163627922534943,0.12745074927806854,0.18778188526630402,0.32903406023979187,0.248932346701622,0.27265021204948425,0.2878688871860504,0.12715451419353485,0.2626708149909973,0.17355021834373474,0.18067774176597595
",",0.3087472915649414,0.28617382049560547,0.2718683183193207,0.5201468467712402,0.3581022024154663,0.2664283812046051,0.3149496018886566,0.4587128460407257,0.4691906273365021,0.27938312292099,0.25499746203422546,0.4464869201183319,0.17716385424137115,0.21972282230854034,0.44245919585227966,0.2240353375673294,0.31091248989105225
especially,0.3590192496776581,0.2951308488845825,0.24903151392936707,0.3526567816734314,0.20757271349430084,0.21641384065151215,0.40942129492759705,0.37575486302375793,0.32683345675468445,0.25695571303367615,0.2700652480125427,0.42758095264434814,0.23384717106819153,0.43006452918052673,0.37744608521461487,0.2880578339099884,0.19751401245594025
in,0.30808621644973755,0.214483380317688,0.2654339671134949,1.0,0.2605783939361572,0.33632898330688477,0.5344807505607605,0.5361666083335876,0.5394441485404968,0.2652597725391388,0.22946900129318237,0.4322226941585541,0.2254374474287033,0.2306872308254242,0.45010748505592346,0.21287982165813446,0.20430970191955566
an,0.2821882665157318,0.29477936029434204,0.1506793051958084,0.2605783939361572,1.0,0.23076042532920837,0.24824833869934082,0.22476400434970856,0.4654068350791931,0.13532011210918427,0.12681947648525238,0.3236706852912903,0.135615274310112,0.10148975998163223,0.3138085603713989,0.23360596597194672,0.19793890416622162
area,0.21965408325195312,0.13779224455356598,0.15744484961032867,0.33632898330688477,0.23076042532920837,1.0,0.3338260352611542,0.3357469141483307,0.29283958673477173,0.15111616253852844,0.1340094804763794,0.20941852033138275,0.19112934172153473,0.12218723446130753,0.2797197997570038,0.14853060245513916,0.12640461325645447
where,0.4457937180995941,0.2965966761112213,0.19163627922534943,0.5344807505607605,0.24824833869934082,0.3338260352611542,0.9999999403953552,0.5016061663627625,0.3586711287498474,0.26466572284698486,0.24772581458091736,0.38599511981010437,0.17254844307899475,0.2277170866727829,0.47735077142715454,0.3168865144252777,0.24793872237205505
there,0.35085538029670715,0.2930194139480591,0.12745074927806854,0.5361666083335876,0.22476400434970856,0.3357469141483307,0.5016061663627625,1.0,0.3904260993003845,0.21173454821109772,0.2776997983455658,0.3728419542312622,0.21683305501937866,0.3141246438026428,0.40669289231300354,0.31756895780563354,0.29405656456947327
is,0.28837618231773376,0.4403602182865143,0.18778188526630402,0.5394441485404968,0.4654068350791931,0.29283958673477173,0.3586711287498474,0.3904260993003845,1.0,0.2383800595998764,0.20401930809020996,0.43268078565597534,0.16085883975028992,0.23360416293144226,0.42745086550712585,0.2645336091518402,0.22961433231830597
a,0.3320399522781372,0.38201746344566345,0.21779850125312805,0.539380669593811,0.44552403688430786,0.2782127559185028,0.40997210144996643,0.4214206337928772,0.658733606338501,0.22865821421146393,0.2180943340063095,0.44038116931915283,0.25033822655677795,0.2651256024837494,0.45503583550453186,0.3041161596775055,0.23916715383529663
high,0.20466077327728271,0.2028418332338333,0.32903406023979187,0.2652597725391388,0.13532011210918427,0.15111616253852844,0.26466572284698486,0.21173454821109772,0.2383800595998764,1.0,0.23269052803516388,0.1925620585680008,0.14008451998233795,0.18982060253620148,0.28947713971138,0.17433185875415802,0.11137914657592773
demand,0.2007312774658203,0.27838435769081116,0.248932346701622,0.22946900129318237,0.12681947648525238,0.1340094804763794,0.24772581458091736,0.2776997983455658,0.20401930809020996,0.23269052803516388,1.0,0.3395264446735382,0.2342347502708435,0.292705237865448,0.33607128262519836,0.19286197423934937,0.13359291851520538
for,0.3017193675041199,0.35159170627593994,0.27265021204948425,0.4322226941585541,0.3236706852912903,0.20941852033138275,0.38599511981010437,0.3728419542312622,0.43268078565597534,0.1925620585680008,0.3395264446735382,0.9999999403953552,0.2527289092540741,0.1837383508682251,0.4451248347759247,0.2826802134513855,0.264628142118454
workers,0.21390831470489502,0.19339993596076965,0.2878688871860504,0.2254374474287033,0.135615274310112,0.19112934172153473,0.17254844307899475,0.21683305501937866,0.16085883975028992,0.14008451998233795,0.2342347502708435,0.2527289092540741,1.0000001192092896,0.1489625722169876,0.2307046800851822,0.16330617666244507,0.1706571877002716
",",0.3087472915649414,0.28617382049560547,0.2718683183193207,0.5201468467712402,0.3581022024154663,0.2664283812046051,0.3149496018886566,0.4587128460407257,0.4691906273365021,0.27938312292099,0.25499746203422546,0.4464869201183319,0.17716385424137115,0.21972282230854034,0.44245919585227966,0.2240353375673294,0.31091248989105225
creates,0.21107694506645203,0.40703076124191284,0.12919628620147705,0.203060120344162,0.27583667635917664,0.1989840418100357,0.3134368658065796,0.2693837583065033,0.3548627495765686,0.17662230134010315,0.2091846466064453,0.2802737057209015,0.09566130489110947,0.23849594593048096,0.3002451956272125,0.695164144039154,0.20012600719928741
high,0.20466077327728271,0.2028418332338333,0.32903406023979187,0.2652597725391388,0.13532011210918427,0.15111616253852844,0.26466572284698486,0.21173454821109772,0.2383800595998764,1.0,0.23269052803516388,0.1925620585680008,0.14008451998233795,0.18982060253620148,0.28947713971138,0.17433185875415802,0.11137914657592773
wages,0.20351257920265198,0.22873397171497345,0.3931823968887329,0.16484716534614563,0.15565986931324005,0.14385680854320526,0.14850248396396637,0.2281825989484787,0.11061973869800568,0.19796505570411682,0.4190327823162079,0.28834453225135803,0.5291796326637268,0.2390373796224594,0.24337364733219147,0.159088596701622,0.19884631037712097
for,0.3017193675041199,0.35159170627593994,0.27265021204948425,0.4322226941585541,0.3236706852912903,0.20941852033138275,0.38599511981010437,0.3728419542312622,0.43268078565597534,0.1925620585680008,0.3395264446735382,0.9999999403953552,0.2527289092540741,0.1837383508682251,0.4451248347759247,0.2826802134513855,0.264628142118454
those,0.44466671347618103,0.3144809603691101,0.21833743155002594,0.3419301211833954,0.19012226164340973,0.19870881736278534,0.3665519058704376,0.45136213302612305,0.2352088838815689,0.19368380308151245,0.19800591468811035,0.3446582555770874,0.31006693840026855,0.5060802102088928,0.47350940108299255,0.35163769125938416,0.3328189253807068
with,0.2464839518070221,0.26186925172805786,0.11138669401407242,0.4080928862094879,0.2730048894882202,0.2303420901298523,0.4142743945121765,0.37390366196632385,0.3250955045223236,0.19851811230182648,0.28463292121887207,0.39140474796295166,0.17668847739696503,0.28445667028427124,0.4239959120750427,0.34357860684394836,0.2433311939239502
this,0.5489566326141357,0.4166489243507385,0.17015472054481506,0.45205554366111755,0.41881775856018066,0.27175459265708923,0.4012809097766876,0.47775381803512573,0.480927973985672,0.23107047379016876,0.2897053062915802,0.5082864165306091,0.21470068395137787,0.31285205483436584,0.5759071707725525,0.3550630211830139,0.3155723512172699
education,0.19940856099128723,0.1943693906068802,1.0,0.2654339671134949,0.1506793051958084,0.15744484961032867,0.19163627922534943,0.12745074927806854,0.18778188526630402,0.32903406023979187,0.248932346701622,0.27265021204948425,0.2878688871860504,0.12715451419353485,0.2626708149909973,0.17355021834373474,0.18067774176597595
",",0.3087472915649414,0.28617382049560547,0.2718683183193207,0.5201468467712402,0.3581022024154663,0.2664283812046051,0.3149496018886566,0.4587128460407257,0.4691906273365021,0.27938312292099,0.25499746203422546,0.4464869201183319,0.17716385424137115,0.21972282230854034,0.44245919585227966,0.2240353375673294,0.31091248989105225
however,0.4480680823326111,0.4463717043399811,0.2143317461013794,0.3982149362564087,0.2464427500963211,0.2207476943731308,0.42869114875793457,0.4319024085998535,0.33769986033439636,0.2587375044822693,0.4120122194290161,0.44511833786964417,0.23658831417560577,0.4535923898220062,0.5474119186401367,0.31545203924179077,0.2152075469493866
",",0.3087472915649414,0.28617382049560547,0.2718683183193207,0.5201468467712402,0.3581022024154663,0.2664283812046051,0.3149496018886566,0.4587128460407257,0.4691906273365021,0.27938312292099,0.25499746203422546,0.4464869201183319,0.17716385424137115,0.21972282230854034,0.44245919585227966,0.2240353375673294,0.31091248989105225
increases,0.23849372565746307,0.3296316862106323,0.14389930665493011,0.2302049696445465,0.27725034952163696,0.24426163733005524,0.23101596534252167,0.25167420506477356,0.24743452668190002,0.361802875995636,0.3960871398448944,0.2671266198158264,0.20154961943626404,0.344966322183609,0.3197665810585022,0.31068146228790283,0.10270863026380539
in,0.30808621644973755,0.214483380317688,0.2654339671134949,1.0,0.2605783939361572,0.33632898330688477,0.5344807505607605,0.5361666083335876,0.5394441485404968,0.2652597725391388,0.22946900129318237,0.4322226941585541,0.2254374474287033,0.2306872308254242,0.45010748505592346,0.21287982165813446,0.20430970191955566
education,0.19940856099128723,0.1943693906068802,1.0,0.2654339671134949,0.1506793051958084,0.15744484961032867,0.19163627922534943,0.12745074927806854,0.18778188526630402,0.32903406023979187,0.248932346701622,0.27265021204948425,0.2878688871860504,0.12715451419353485,0.2626708149909973,0.17355021834373474,0.18067774176597595
