,how,many,seasons,did,nypd,blue,last,?
and,0.33647966384887695,0.5296266674995422,0.2720052897930145,0.34479495882987976,0.3005577623844147,0.2053237110376358,0.25967320799827576,0.20544172823429108
the,0.33890387415885925,0.4335206151008606,0.24226845800876617,0.34736719727516174,0.2773469090461731,0.2734997570514679,0.3698786795139313,0.22068053483963013
critically,0.17617209255695343,0.28961631655693054,0.0948190689086914,0.20131933689117432,0.16779859364032745,0.15898920595645905,0.2269776165485382,0.16329805552959442
pilloried,0.2802108824253082,0.28024131059646606,0.21073031425476074,0.2427324503660202,0.24892236292362213,0.20963242650032043,0.2258012443780899,0.23300355672836304
cop,0.20066650211811066,0.18623793125152588,0.06615374982357025,0.12005200982093811,0.30253562331199646,0.1700718104839325,0.06618279963731766,0.19467082619667053
rock,0.14451827108860016,0.22274094820022583,0.10798511654138565,0.12287086248397827,0.15348970890045166,0.2405845820903778,0.17371928691864014,0.13172835111618042
for,0.3308170735836029,0.40972793102264404,0.26410943269729614,0.318512886762619,0.24766325950622559,0.20842581987380981,0.3043119013309479,0.264628142118454
abc,0.19232043623924255,0.18267793953418732,0.31291383504867554,0.13353709876537323,0.3286745548248291,0.20072442293167114,0.1956353634595871,0.19065172970294952
earlier,0.190433070063591,0.28851112723350525,0.14587107300758362,0.24518106877803802,0.14051127433776855,0.054746877402067184,0.29154765605926514,0.13306351006031036
in,0.2601168751716614,0.41474202275276184,0.2194332778453827,0.2593238651752472,0.28778156638145447,0.22384510934352875,0.30714505910873413,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.24226845800876617,0.34736719727516174,0.2773469090461731,0.2734997570514679,0.3698786795139313,0.22068053483963013
decade,0.16695289313793182,0.2173006236553192,0.2416428178548813,0.15830519795417786,0.1534755825996399,0.12092763930559158,0.3230741024017334,0.11237446963787079
),0.17939934134483337,0.16602720320224762,0.1821039468050003,0.18584993481636047,0.2102033942937851,0.236105278134346,0.30915912985801697,0.42300865054130554
;,0.07230665534734726,0.11763367056846619,0.0502086877822876,0.10727239400148392,0.05151146650314331,0.07503929734230042,0.06822862476110458,0.10349778085947037
lasting,0.20974133908748627,0.256387859582901,0.25229811668395996,0.16321644186973572,0.10806223750114441,0.09043571352958679,0.4462645649909973,0.16289150714874268
