,who,kicked,the,field,goal,for,denver,on,the,first,drive,of,super,bowl,50,?
then,0.29952746629714966,0.3420948386192322,0.4297412931919098,0.20403032004833221,0.15350303053855896,0.3392637073993683,0.16408474743366241,0.30262795090675354,0.4297412931919098,0.38077428936958313,0.194991797208786,0.2937326431274414,0.15026506781578064,0.1972353756427765,0.01101114321500063,0.2884598970413208
after,0.32549580931663513,0.3120245337486267,0.4565047025680542,0.13112539052963257,0.176401287317276,0.3650246858596802,0.16213500499725342,0.39330315589904785,0.4565047025680542,0.42302387952804565,0.1530410200357437,0.3867455720901489,0.1987018883228302,0.21850556135177612,0.06707155704498291,0.16608688235282898
an,0.2848317325115204,0.144642174243927,0.4207492768764496,0.1812812238931656,0.16866573691368103,0.3236706852912903,0.17798778414726257,0.3192969560623169,0.4207492768764496,0.29757723212242126,0.17218853533267975,0.32280945777893066,0.09755856543779373,0.13908697664737701,0.02188069000840187,0.19793890416622162
incompletion,0.14256173372268677,0.2274276614189148,0.30983033776283264,0.20802365243434906,0.2793465554714203,0.3535553216934204,0.14426632225513458,0.26388007402420044,0.30983033776283264,0.27594974637031555,0.22970636188983917,0.26857224106788635,0.13077232241630554,0.16899670660495758,-0.01433219388127327,0.17424984276294708
",",0.3365725874900818,0.21649131178855896,0.4933079481124878,0.27645614743232727,0.2145523726940155,0.4464869201183319,0.25173696875572205,0.49057599902153015,0.4933079481124878,0.34503069519996643,0.17920437455177307,0.4946078956127167,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
thomas,0.26103657484054565,0.15420761704444885,0.23505409061908722,0.10549862682819366,0.14527387917041779,0.19489257037639618,0.21843333542346954,0.1902061104774475,0.23505409061908722,0.2396867871284485,0.08898395299911499,0.18699592351913452,0.16000761091709137,0.14911524951457977,0.0019188800361007452,0.16133050620555878
davis,0.2547153830528259,0.18481099605560303,0.25552070140838623,0.16954472661018372,0.09027726948261261,0.20754043757915497,0.2718811631202698,0.20149652659893036,0.25552070140838623,0.26798930764198303,0.22457145154476166,0.18173569440841675,0.15976430475711823,0.221586212515831,-0.045320864766836166,0.17094263434410095
tackled,0.2225686013698578,0.39098966121673584,0.19332660734653473,0.19543668627738953,0.3016361892223358,0.28696534037590027,0.3359432816505432,0.1872648149728775,0.19332660734653473,0.23136617243289948,0.20891240239143372,0.20638109743595123,0.20221182703971863,0.3321057856082916,0.022597284987568855,0.20976905524730682
anderson,0.27154824137687683,0.22085313498973846,0.22428388893604279,0.211154505610466,0.12295348942279816,0.23211809992790222,0.3069041669368744,0.19681623578071594,0.22428388893604279,0.2396898716688156,0.1446836143732071,0.21403512358665466,0.059231776744127274,0.12286082655191422,-0.027618147432804108,0.1857001930475235
for,0.37110671401023865,0.21299658715724945,0.4739971458911896,0.24342265725135803,0.2554558217525482,0.9999999403953552,0.22017966210842133,0.36199691891670227,0.4739971458911896,0.3800288736820221,0.2716398239135742,0.4185989499092102,0.22938419878482819,0.24430087208747864,0.029183456674218178,0.264628142118454
a,0.36608949303627014,0.2796778082847595,0.5829201340675354,0.2030690312385559,0.20853768289089203,0.44038116931915283,0.179859921336174,0.3848365545272827,0.5829201340675354,0.4287874400615692,0.24929353594779968,0.5052502155303955,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
1-yard,0.27700075507164,0.31843245029449463,0.2968893349170685,0.24208922684192657,0.22258132696151733,0.252498596906662,0.23212532699108124,0.22403208911418915,0.2968893349170685,0.2828100621700287,0.27695655822753906,0.19138266146183014,0.1713787019252777,0.17910940945148468,0.024684954434633255,0.1193876713514328
gain,0.250509113073349,0.19452202320098877,0.2682225704193115,0.23855507373809814,0.329097181558609,0.2699543833732605,0.07698112726211548,0.18712006509304047,0.2682225704193115,0.17162758111953735,0.24131964147090912,0.27324017882347107,0.1601310819387436,0.13648422062397003,0.02937125787138939,0.1417919248342514
on,0.2340552806854248,0.220340758562088,0.5107308030128479,0.192391499876976,0.2157920002937317,0.36199691891670227,0.1561855524778366,0.9999999403953552,0.5107308030128479,0.3120559751987457,0.1695663183927536,0.3966929316520691,0.1569211632013321,0.1334993690252304,0.05590687692165375,0.2714994251728058
third,0.20739443600177765,0.1724432408809662,0.4229298532009125,0.11935245990753174,0.11846645176410675,0.2187870591878891,0.18712952733039856,0.24143609404563904,0.4229298532009125,0.6071826219558716,0.08398112654685974,0.30602210760116577,0.25203296542167664,0.16511911153793335,0.09091969579458237,0.15394791960716248
down,0.23123176395893097,0.2748195230960846,0.3325848877429962,0.07091811299324036,0.1136508658528328,0.22538931667804718,0.13666987419128418,0.28514569997787476,0.3325848877429962,0.1942211389541626,0.22938218712806702,0.23279321193695068,0.10878769308328629,0.11152900010347366,3.804323932854459e-05,0.13836295902729034
",",0.3365725874900818,0.21649131178855896,0.4933079481124878,0.27645614743232727,0.2145523726940155,0.4464869201183319,0.25173696875572205,0.49057599902153015,0.4933079481124878,0.34503069519996643,0.17920437455177307,0.4946078956127167,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
forcing,0.3017413914203644,0.3025360107421875,0.31176233291625977,0.1686466783285141,0.20381046831607819,0.2308533489704132,0.0755109041929245,0.24936386942863464,0.31176233291625977,0.19259007275104523,0.19103942811489105,0.24666008353233337,0.08985081315040588,0.09634673595428467,0.052512992173433304,0.19852621853351593
denver,0.20955970883369446,0.27481016516685486,0.2052404284477234,0.17716234922409058,0.15172222256660461,0.22017966210842133,1.0,0.1561855524778366,0.2052404284477234,0.2171352207660675,0.12098202109336853,0.14595118165016174,0.24589714407920837,0.2861449718475342,0.03614028915762901,0.1520889848470688
