,what,was,the,most,recent,super,bowl,hosted,in,the,south,florida/miami,area,?
the,0.42745697498321533,0.48711544275283813,1.0,0.47635307908058167,0.31046223640441895,0.21959073841571808,0.21576224267482758,0.2576315402984619,0.6662389636039734,1.0,0.3129390776157379,0.2696992754936218,0.37834644317626953,0.22068053483963013
south,0.15388517081737518,0.2792486846446991,0.3129390776157379,0.24453285336494446,0.1576940417289734,0.13015596568584442,0.17958779633045197,0.1722729653120041,0.33642083406448364,0.3129390776157379,1.0000001192092896,0.28395912051200867,0.3531528413295746,0.12336621433496475
florida/miami,0.1516270637512207,0.2592602074146271,0.2696992754936218,0.1733209788799286,0.22918380796909332,0.2097877860069275,0.3453962206840515,0.20839065313339233,0.24693997204303741,0.2696992754936218,0.28395912051200867,1.0,0.3288433849811554,0.17255498468875885
area,0.21965408325195312,0.24981513619422913,0.37834644317626953,0.2143535614013672,0.22170385718345642,0.09147491306066513,0.19680163264274597,0.13607744872570038,0.33632898330688477,0.37834644317626953,0.3531528413295746,0.3288433849811554,1.0,0.12640461325645447
has,0.20338068902492523,0.40313825011253357,0.4177538752555847,0.3426419198513031,0.3722807466983795,0.15233033895492554,0.17163237929344177,0.28831419348716736,0.4173259735107422,0.4177538752555847,0.2072066068649292,0.21910303831100464,0.3084876537322998,0.15994466841220856
previously,0.24305304884910583,0.41197097301483154,0.33854439854621887,0.23867367208003998,0.317610502243042,0.24618855118751526,0.13252989947795868,0.2856452167034149,0.2762584090232849,0.33854439854621887,0.1524033546447754,0.24969728291034698,0.1655423641204834,0.15811841189861298
hosted,0.10146842896938324,0.266493022441864,0.2576315402984619,0.18530581891536713,0.17264527082443237,0.1794566810131073,0.17901405692100525,1.0,0.2707974314689636,0.2576315402984619,0.1722729653120041,0.20839065313339233,0.13607744872570038,0.09810540825128555
the,0.42745697498321533,0.48711544275283813,1.0,0.47635307908058167,0.31046223640441895,0.21959073841571808,0.21576224267482758,0.2576315402984619,0.6662389636039734,1.0,0.3129390776157379,0.2696992754936218,0.37834644317626953,0.22068053483963013
event,0.26981404423713684,0.28341150283813477,0.2960145175457001,0.1644613891839981,0.247921422123909,0.20683135092258453,0.22903870046138763,0.3793641924858093,0.27304479479789734,0.2960145175457001,0.1445276290178299,0.22235225141048431,0.2332121580839157,0.16076280176639557
10,0.11840458959341049,0.16597506403923035,0.2880653440952301,0.2283211648464203,0.05972485989332199,0.053164973855018616,0.06414627283811569,0.05482253059744835,0.22690178453922272,0.2880653440952301,0.3899163603782654,0.06197870895266533,0.20031359791755676,0.022911956533789635
times,0.21414996683597565,0.2859917879104614,0.29093852639198303,0.24540643393993378,0.29673510789871216,0.19135531783103943,0.25533148646354675,0.17764340341091156,0.2427823841571808,0.29093852639198303,0.11877748370170593,0.20234590768814087,0.19833897054195404,0.18880689144134521
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.20654040575027466,0.1979040503501892,0.17553061246871948,0.15949074923992157,0.20727264881134033,0.3087427020072937,0.33289089798927307,0.2013198882341385,0.22649356722831726,0.18064655363559723,0.40561532974243164
tied,0.13032014667987823,0.27358072996139526,0.24453675746917725,0.29268643260002136,0.18773037195205688,0.15753702819347382,0.19662193953990936,0.16045978665351868,0.19519025087356567,0.24453675746917725,0.13544709980487823,0.18017594516277313,0.14836983382701874,0.14687292277812958
