,what,is,the,bad,air,theory,officially,known,as,?
today,0.3814660608768463,0.3404538929462433,0.35740926861763,0.208119735121727,0.0917985737323761,0.19794447720050812,0.29396283626556396,0.33643534779548645,0.33237552642822266,0.17338968813419342
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3233780562877655,0.24731357395648956,0.18095813691616058,0.27735915780067444,0.3604377806186676,0.48816442489624023,0.31091248989105225
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.3309955298900604,0.2279079556465149,0.2884212136268616,0.2459871470928192,0.24229489266872406,0.43993282318115234,0.3155723512172699
is,0.28837618231773376,1.0,0.5823672413825989,0.24024450778961182,0.2280944287776947,0.19279582798480988,0.2830421030521393,0.41921812295913696,0.43216490745544434,0.22961433231830597
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.17138250172138214,0.0812067911028862,0.17634540796279907,0.2747264802455902,1.0,0.4815765619277954,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.25726819038391113,0.17459522187709808,0.18675357103347778,0.3150303065776825,0.4815765619277954,1.0,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.27499592304229736,0.2877824306488037,0.2277156263589859,0.36343514919281006,0.3624623417854309,0.48381632566452026,0.22068053483963013
miasma,0.2820189297199249,0.2646503150463104,0.2758749723434448,0.3335893154144287,0.2738341987133026,0.3648686110973358,0.07833997905254364,0.2686264216899872,0.26435017585754395,0.18374212086200714
theory,0.297923743724823,0.19279582798480988,0.2277156263589859,0.12200639396905899,0.11455091834068298,0.9999999403953552,0.11711087822914124,0.17634540796279907,0.18675357103347778,0.1387292891740799
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2798019051551819,0.2759295105934143,0.18047811090946198,0.2769482433795929,0.283290296792984,0.515582263469696,0.4130953550338745
