,in,what,year,did,dewar,experiment,on,liquid,oxygen,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.27001509070396423,0.1938578486442566,0.46853652596473694,0.19967526197433472,0.1672476977109909,0.20430970191955566
1891,0.14678269624710083,0.16301026940345764,0.14704038202762604,0.16172941029071808,0.2461594045162201,0.09584018588066101,0.14656716585159302,-0.0026817815378308296,0.02186286821961403,0.17882704734802246
scottish,0.16512006521224976,0.13777151703834534,0.13219411671161652,0.1726994663476944,0.4008147120475769,0.12991870939731598,0.14497309923171997,0.11516710370779037,0.13974861800670624,0.06442669779062271
chemist,0.22143128514289856,0.1775139421224594,0.1459781974554062,0.15559643507003784,0.27545785903930664,0.26779648661613464,0.155954048037529,0.21811600029468536,0.2541825771331787,0.14970816671848297
james,0.1994210183620453,0.20536290109157562,0.12669162452220917,0.20904116332530975,0.3492063879966736,0.10131688416004181,0.22752492129802704,0.08911734819412231,0.159803107380867,0.12139993160963058
dewar,0.27001509070396423,0.13632149994373322,0.18396282196044922,0.21261629462242126,1.0,0.15954366326332092,0.26339638233184814,0.27420470118522644,0.14364176988601685,0.061871692538261414
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,0.41399896144866943,0.35666221380233765,0.21177788078784943,0.3909217119216919,0.1491771787405014,0.16070082783699036,0.18412111699581146
able,0.23456627130508423,0.3404487371444702,0.17978797852993011,0.43777281045913696,0.20113909244537354,0.22768345475196838,0.27045732736587524,0.25029778480529785,0.2293449342250824,0.260649710893631
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.4452643394470215,0.2181328684091568,0.23297391831874847,0.41031414270401,0.24009785056114197,0.24193501472473145,0.29463258385658264
produce,0.21160131692886353,0.1685742735862732,0.1674094796180725,0.21033655107021332,0.1314391791820526,0.3080901801586151,0.1774439811706543,0.3205275535583496,0.2946869134902954,0.19229066371917725
enough,0.24705477058887482,0.3944990336894989,0.17818328738212585,0.3866412043571472,0.14162534475326538,0.2309633195400238,0.29185956716537476,0.2824100852012634,0.3534805178642273,0.3526461720466614
liquid,0.19967526197433472,0.24017377197742462,0.10429509729146957,0.17522098124027252,0.27420470118522644,0.22674058377742767,0.1641790121793747,1.0,0.4322830140590668,0.18412289023399353
oxygen,0.1672476977109909,0.16781960427761078,0.09150878340005875,0.15723921358585358,0.14364176988601685,0.19667966663837433,0.2008662223815918,0.4322830140590668,0.9999999403953552,0.16786395013332367
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.4452643394470215,0.2181328684091568,0.23297391831874847,0.41031414270401,0.24009785056114197,0.24193501472473145,0.29463258385658264
study,0.2875489294528961,0.3123835027217865,0.13795387744903564,0.21215762197971344,0.16439995169639587,0.3766052722930908,0.1889076977968216,0.1686554104089737,0.17462868988513947,0.15902167558670044
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.30699291825294495,0.23954947292804718,0.49257001280784607,0.2470431923866272,0.2554275095462799,0.4130953550338745
