,what,type,of,text,is,the,quran,?
religious,0.26794421672821045,0.08639378100633621,0.2958606779575348,0.19099226593971252,0.1584658920764923,0.22950971126556396,0.42635101079940796,0.15727058053016663
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.18575285375118256,0.3859752118587494,0.5171257257461548,0.16926197707653046,0.20544172823429108
spiritual,0.2431802898645401,0.12133684009313583,0.3108343183994293,0.07845596224069595,0.1757679283618927,0.2149372547864914,0.40203800797462463,0.1801415979862213
teachers,0.2526462972164154,0.09933348745107651,0.27737662196159363,0.18645143508911133,0.15701442956924438,0.22025763988494873,0.2599036693572998,0.19522249698638916
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21162694692611694,0.4691906273365021,0.4933079481124878,0.14659839868545532,0.31091248989105225
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.21177738904953003,0.23545363545417786,0.3575236201286316,0.1762300282716751,0.17851735651493073
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.20700207352638245,0.43216490745544434,0.48381632566452026,0.2295219749212265,0.27043893933296204
gurus,0.2520514130592346,0.13766522705554962,0.19079193472862244,0.22219528257846832,0.15414868295192719,0.16152994334697723,0.3900150656700134,0.18777289986610413
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21162694692611694,0.4691906273365021,0.4933079481124878,0.14659839868545532,0.31091248989105225
mullahs,0.23517417907714844,0.12823325395584106,0.2584269940853119,0.12919282913208008,0.2386443167924881,0.26393765211105347,0.40498271584510803,0.1735541671514511
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21162694692611694,0.4691906273365021,0.4933079481124878,0.14659839868545532,0.31091248989105225
rabbis,0.2332742065191269,0.07848338782787323,0.174860417842865,0.1508847177028656,0.19533000886440277,0.22648435831069946,0.4092399775981903,0.22059229016304016
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21162694692611694,0.4691906273365021,0.4933079481124878,0.14659839868545532,0.31091248989105225
pastors/youth,0.21444040536880493,0.07731698453426361,0.3008579611778259,0.18237006664276123,0.17813286185264587,0.26855355501174927,0.23499058187007904,0.2359066754579544
pastors,0.2295304387807846,0.04592013731598854,0.22573843598365784,0.13666129112243652,0.1068577691912651,0.1971966028213501,0.2693662941455841,0.17702129483222961
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.18575285375118256,0.3859752118587494,0.5171257257461548,0.16926197707653046,0.20544172823429108
lamas,0.09779365360736847,0.00824823696166277,0.20472976565361023,0.15243472158908844,0.1981673538684845,0.2530221939086914,0.31383243203163147,0.16887740790843964
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21162694692611694,0.4691906273365021,0.4933079481124878,0.14659839868545532,0.31091248989105225
may,0.25739946961402893,0.1642589271068573,0.26447007060050964,0.19490869343280792,0.322792649269104,0.2694292366504669,0.16406294703483582,0.2768254578113556
teach,0.2818700671195984,0.11870739609003067,0.2383975088596344,0.14901429414749146,0.15221208333969116,0.1966347098350525,0.30680885910987854,0.24188745021820068
religious,0.26794421672821045,0.08639378100633621,0.2958606779575348,0.19099226593971252,0.1584658920764923,0.22950971126556396,0.42635101079940796,0.15727058053016663
texts,0.25967296957969666,0.14747749269008636,0.23314617574214935,0.5239423513412476,0.17241506278514862,0.2725931704044342,0.4386643171310425,0.18584510684013367
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.21177738904953003,0.23545363545417786,0.3575236201286316,0.1762300282716751,0.17851735651493073
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.20700207352638245,0.43216490745544434,0.48381632566452026,0.2295219749212265,0.27043893933296204
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23968088626861572,0.5823672413825989,1.0,0.263936847448349,0.22068053483963013
quran,0.3163478374481201,0.08030183613300323,0.21944646537303925,0.23805490136146545,0.2090679556131363,0.263936847448349,1.0000001192092896,0.19713573157787323
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21162694692611694,0.4691906273365021,0.4933079481124878,0.14659839868545532,0.31091248989105225
torah,0.32508909702301025,0.1018180400133133,0.15773504972457886,0.2957451343536377,0.18943633139133453,0.24284783005714417,0.5229588150978088,0.172380268573761
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.18707682192325592,0.41870999336242676,0.4174870550632477,0.1887063980102539,0.32389625906944275
bible,0.33710888028144836,0.06860092282295227,0.25664499402046204,0.2857360243797302,0.22857646644115448,0.27647915482521057,0.5441717505455017,0.22667601704597473
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2065814584493637,0.4569662809371948,0.5934505462646484,0.17661865055561066,0.4130953550338745
