,how,did,luther,persuade,archbishop,albrecht,to,stop,the,sale,of,indulgences,?
these,0.41104358434677124,0.38755595684051514,0.23486362397670746,0.2153279185295105,0.05916830897331238,0.13665951788425446,0.46852558851242065,0.2716788053512573,0.49086877703666687,0.2278064340353012,0.42684608697891235,0.3212571442127228,0.2571668326854706
included,0.13500849902629852,0.32908451557159424,0.14399166405200958,0.15307895839214325,0.09948941320180893,0.10808128118515015,0.2322428971529007,0.14554424583911896,0.3825419843196869,0.1930369734764099,0.4391688108444214,0.19900482892990112,0.14385655522346497
a,0.29312583804130554,0.2552328109741211,0.17967689037322998,0.2423015832901001,0.13935941457748413,0.21076905727386475,0.45503583550453186,0.21033835411071777,0.5829201340675354,0.21573789417743683,0.5052502155303955,0.20999303460121155,0.23916715383529663
renewed,0.13292212784290314,0.21804755926132202,0.20175793766975403,0.20825931429862976,0.224125474691391,0.15277260541915894,0.2594389319419861,0.19434814155101776,0.3146619200706482,0.22302129864692688,0.2304973006248474,0.281330406665802,0.1604815125465393
attack,0.11827468127012253,0.13678960502147675,0.14916963875293732,0.23338107764720917,0.13178089261054993,0.17554683983325958,0.19954605400562286,0.27659592032432556,0.2508925497531891,0.15984313189983368,0.20644454658031464,0.12471311539411545,0.126759335398674
on,0.32655060291290283,0.2670976221561432,0.19090485572814941,0.1843634694814682,0.18370163440704346,0.20106792449951172,0.41031414270401,0.2201516181230545,0.5107308030128479,0.24374507367610931,0.3966929316520691,0.2323610931634903,0.2714994251728058
archbishop,0.08899672329425812,0.15934832394123077,0.29106980562210083,0.2502492070198059,1.0000001192092896,0.26318448781967163,0.17190921306610107,0.07891801744699478,0.1770705133676529,0.06634382158517838,0.1995917707681656,0.3048850893974304,0.198198139667511
albrecht,0.22131328284740448,0.22146949172019958,0.31482750177383423,0.3411964774131775,0.26318448781967163,0.9999999403953552,0.21759264171123505,0.08792801946401596,0.2253129929304123,0.18154597282409668,0.21748308837413788,0.26642751693725586,0.180962473154068
of,0.2480744868516922,0.2513895630836487,0.1719115972518921,0.2164749652147293,0.1995917707681656,0.21748308837413788,0.41548454761505127,0.2052845060825348,0.733189046382904,0.18532836437225342,1.0,0.28176620602607727,0.1826142966747284
mainz,0.12811706960201263,0.16497060656547546,0.28826332092285156,0.2493751496076584,0.30865201354026794,0.4595620930194855,0.2018134742975235,0.10384795069694519,0.2566114366054535,0.1842816323041916,0.26268982887268066,0.24580983817577362,0.18667249381542206
