,what,is,the,knls,responsible,for,?
knls,0.2029404193162918,0.18376915156841278,0.21831898391246796,0.9999999403953552,0.20035414397716522,0.28638550639152527,0.1644486039876938
is,0.28837618231773376,1.0,0.5823672413825989,0.18376915156841278,0.24123810231685638,0.43268078565597534,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.21831898391246796,0.3305104374885559,0.4739971458911896,0.22068053483963013
body,0.2143840193748474,0.2790417969226837,0.31682634353637695,0.25670456886291504,0.2918182909488678,0.16740016639232635,0.20136451721191406
mandated,0.25988516211509705,0.17791883647441864,0.3191532492637634,0.21923984587192535,0.2793917655944824,0.2803293466567993,0.2235630303621292
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.28482863306999207,0.19470079243183136,0.4451248347759247,0.29463258385658264
establish,0.24999600648880005,0.15405499935150146,0.31343501806259155,0.07090946286916733,0.14781564474105835,0.1806582361459732,0.21678102016448975
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22212374210357666,0.2192283272743225,0.4464869201183319,0.31091248989105225
equip,0.18288131058216095,0.15007713437080383,0.1334221065044403,0.2997148334980011,0.20370250940322876,0.24964311718940735,0.14468441903591156
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22212374210357666,0.2192283272743225,0.4464869201183319,0.31091248989105225
manage,0.265919029712677,0.22788630425930023,0.25681272149086,0.2283831089735031,0.2970482409000397,0.2579313814640045,0.2014334350824356
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.30008620023727417,0.29945531487464905,0.5064792633056641,0.20544172823429108
maintain,0.2619679272174835,0.22511275112628937,0.2896709144115448,0.24054674804210663,0.3183022439479828,0.2950793504714966,0.20568779110908508
national,0.16882304847240448,0.23413582146167755,0.32739606499671936,0.08982513844966888,0.1674581915140152,0.36267757415771484,0.15643028914928436
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.30008620023727417,0.29945531487464905,0.5064792633056641,0.20544172823429108
public,0.1729622185230255,0.1980048567056656,0.22857438027858734,0.1736929565668106,0.25239336490631104,0.3092794418334961,0.19872993230819702
libraries,0.17814436554908752,0.17780977487564087,0.2134861946105957,0.314716100692749,0.16581502556800842,0.25137975811958313,0.20525334775447845
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1539996713399887,0.24309778213500977,0.4322226941585541,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.21831898391246796,0.3305104374885559,0.4739971458911896,0.22068053483963013
country,0.22705033421516418,0.24409033358097076,0.30432501435279846,0.09248007833957672,0.16293536126613617,0.2644098401069641,0.12647280097007751
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22546543180942535,0.2309054434299469,0.4726039469242096,0.4130953550338745
