,besides,publishing,to,the,christian,nobility,of,the,german,nation,and,on,the,babylonian,captivity,of,the,church,",",what,other,work,did,luther,produce,in,1520,?
three,0.2875090539455414,0.16105327010154724,0.3043823838233948,0.43452659249305725,0.15681293606758118,0.13283556699752808,0.3844621181488037,0.43452659249305725,0.1450856775045395,0.21922709047794342,0.3826501965522766,0.2742598354816437,0.43452659249305725,0.1713142842054367,0.22115877270698547,0.3844621181488037,0.43452659249305725,0.14398030936717987,0.3347506821155548,0.24888746440410614,0.35207873582839966,0.1984323114156723,0.2043166607618332,0.15010327100753784,0.1621709018945694,0.34828072786331177,0.08051161468029022,0.20928427577018738
of,0.3665722906589508,0.22269268333911896,0.41548454761505127,0.733189046382904,0.23494116961956024,0.2703571617603302,1.0,0.733189046382904,0.2122138887643814,0.3102196156978607,0.5116966962814331,0.3966929316520691,0.733189046382904,0.19601956009864807,0.16027642786502838,1.0,0.733189046382904,0.3079429268836975,0.4946078956127167,0.33290785551071167,0.38583824038505554,0.23473061621189117,0.2513895630836487,0.1719115972518921,0.19541172683238983,0.5696388483047485,0.07661939412355423,0.1826142966747284
his,0.21479752659797668,0.2079281359910965,0.3715193271636963,0.4394008219242096,0.19781717658042908,0.18996508419513702,0.38364991545677185,0.4394008219242096,0.23102504014968872,0.21658064424991608,0.4234102666378021,0.32064297795295715,0.4394008219242096,0.1960865706205368,0.31879594922065735,0.38364991545677185,0.4394008219242096,0.20669284462928772,0.3378419280052185,0.26976513862609863,0.23453344404697418,0.36648666858673096,0.3546801507472992,0.27093374729156494,0.12907864153385162,0.3598145842552185,0.1967138946056366,0.18075084686279297
best-known,0.3907124102115631,0.23303979635238647,0.22280067205429077,0.45662784576416016,0.23721686005592346,0.2487480342388153,0.4166952073574066,0.45662784576416016,0.17945677042007446,0.31500717997550964,0.35029810667037964,0.2788500189781189,0.45662784576416016,0.28017157316207886,0.2803761661052704,0.4166952073574066,0.45662784576416016,0.21260394155979156,0.4157276451587677,0.268485426902771,0.2553170621395111,0.3081117570400238,0.2816547453403473,0.14047005772590637,0.1761237531900406,0.3690468966960907,0.06238811835646629,0.2836571931838989
works,0.2927294671535492,0.2976486086845398,0.22564561665058136,0.26337864995002747,0.12805095314979553,0.1397678554058075,0.1964656114578247,0.26337864995002747,0.1915375143289566,0.1270068883895874,0.33871909976005554,0.18736502528190613,0.26337864995002747,0.1606568843126297,0.12834186851978302,0.1964656114578247,0.26337864995002747,0.12545843422412872,0.29211118817329407,0.2418437898159027,0.23630231618881226,0.6060804724693298,0.17949827015399933,0.08583797514438629,0.20185010135173798,0.2656683027744293,0.031572528183460236,0.19597402215003967
were,0.2729566991329193,0.10742800682783127,0.31913647055625916,0.3906462490558624,0.17898213863372803,0.2639380991458893,0.34038281440734863,0.3906462490558624,0.21041691303253174,0.18785551190376282,0.42175528407096863,0.2774328887462616,0.3906462490558624,0.2358221858739853,0.2580644190311432,0.34038281440734863,0.3906462490558624,0.21372953057289124,0.36755475401878357,0.22298263013362885,0.4041554927825928,0.23814889788627625,0.4162326455116272,0.18652333319187164,0.18991003930568695,0.3815755248069763,0.07080934196710587,0.17890112102031708
published,0.19440534710884094,0.6524239778518677,0.12403073906898499,0.22017472982406616,0.16139060258865356,0.11175161600112915,0.23023100197315216,0.22017472982406616,0.13872964680194855,0.13005340099334717,0.22629010677337646,0.26885396242141724,0.22017472982406616,0.21057328581809998,0.2284507006406784,0.23023100197315216,0.22017472982406616,0.16236379742622375,0.2937801778316498,0.20457668602466583,0.16840164363384247,0.33119451999664307,0.17877818644046783,0.15444858372211456,0.15041497349739075,0.26697060465812683,0.034100234508514404,0.16280238330364227
in,0.3447916507720947,0.2093200981616974,0.45010748505592346,0.6662389636039734,0.17218929529190063,0.2046278864145279,0.5696388483047485,0.6662389636039734,0.21098364889621735,0.24983231723308563,0.4954058527946472,0.46853652596473694,0.6662389636039734,0.18502527475357056,0.2230125516653061,0.5696388483047485,0.6662389636039734,0.2493300437927246,0.5201468467712402,0.30808621644973755,0.39989137649536133,0.2753349542617798,0.2593238651752472,0.20523880422115326,0.21160131692886353,1.0,0.03145373985171318,0.20430970191955566
1520,-0.02809344418346882,0.08851172029972076,0.08302489668130875,0.037181392312049866,0.16043449938297272,0.1624588966369629,0.07661939412355423,0.037181392312049866,0.14383117854595184,0.07636688649654388,0.09650196135044098,0.07902959734201431,0.037181392312049866,0.07768150418996811,0.07576515525579453,0.07661939412355423,0.037181392312049866,0.1376914232969284,0.22411894798278809,0.066243477165699,-0.027053626254200935,0.0638682097196579,0.15639068186283112,0.25964635610580444,0.01734703965485096,0.03145373985171318,1.0,0.1734924167394638
:,-0.10676822066307068,-0.10588682442903519,-0.09243495017290115,-0.03403344005346298,0.030650561675429344,0.04825318977236748,-0.08807745575904846,-0.03403344005346298,0.10915569216012955,0.04516930878162384,-0.04625999182462692,-0.06502202153205872,-0.03403344005346298,-0.06737694144248962,-0.1341252624988556,-0.08807745575904846,-0.03403344005346298,-0.07043963670730591,-0.004729332868009806,-0.12022944539785385,-0.0941355749964714,-0.08757983893156052,-0.05305134505033493,-0.0567622147500515,-0.1467960774898529,0.020521078258752823,0.007327910978347063,-0.07156077772378922
