,who,is,denver,'s,defensive,coordinator,?
under,0.2962189018726349,0.21294879913330078,0.17804330587387085,-0.03376881033182144,0.12383861839771271,0.09180725365877151,0.18233340978622437
defensive,0.18336546421051025,0.201126366853714,0.35358262062072754,-0.1077328771352768,1.0,0.43236586451530457,0.1711898148059845
coordinator,0.1555744856595993,0.1428782343864441,0.38348883390426636,-0.013930476270616055,0.43236586451530457,0.9999999403953552,0.16231635212898254
wade,0.2628155052661896,0.17679646611213684,0.2824554443359375,0.002714606234803796,0.21088892221450806,0.17198967933654785,0.2663079500198364
phillips,0.24433107674121857,0.15248331427574158,0.35114970803260803,-0.00032562139676883817,0.2105974704027176,0.2828969955444336,0.15470919013023376
",",0.3365725874900818,0.4691906273365021,0.25173696875572205,-0.0016132977325469255,0.238240584731102,0.26595932245254517,0.31091248989105225
the,0.3733934462070465,0.5823672413825989,0.2052404284477234,-0.01540423184633255,0.2644767463207245,0.2257796972990036,0.22068053483963013
broncos,0.1763724684715271,0.1288805603981018,0.5774994492530823,-0.037254199385643005,0.4772093892097473,0.3769373893737793,0.18377114832401276
',0.22534559667110443,0.5508411526679993,0.12144587188959122,0.07651367038488388,0.193093404173851,0.2433193475008011,0.330942302942276
defense,0.19970577955245972,0.17166511714458466,0.23842781782150269,-0.14857901632785797,0.6053637862205505,0.33035925030708313,0.21935760974884033
ranked,0.17860917747020721,0.180992990732193,0.17321541905403137,0.0652458518743515,0.05886678025126457,0.09200186282396317,0.12953443825244904
number,0.21304799616336823,0.22390379011631012,0.1493568867444992,0.033178191632032394,0.11418911814689636,0.13233034312725067,0.19256845116615295
one,0.40083858370780945,0.4544198513031006,0.12505562603473663,0.06913424283266068,0.20500847697257996,0.15150372684001923,0.2673267424106598
in,0.2792111933231354,0.5394441485404968,0.2221570909023285,-0.037580832839012146,0.22513550519943237,0.19911305606365204,0.20430970191955566
total,0.16190829873085022,0.18159881234169006,0.1672368049621582,0.1334245651960373,0.09849262237548828,0.13978053629398346,0.14396025240421295
yards,0.13584628701210022,0.08262171596288681,0.3131333589553833,0.0408332459628582,0.42166757583618164,0.2428840845823288,0.12453813850879669
allowed,0.37092331051826477,0.14454121887683868,0.11828220635652542,0.024586396291851997,0.15472714602947235,0.12203349173069,0.2309964895248413
",",0.3365725874900818,0.4691906273365021,0.25173696875572205,-0.0016132977325469255,0.238240584731102,0.26595932245254517,0.31091248989105225
passing,0.14387445151805878,0.20053766667842865,0.15872801840305328,0.06193678826093674,0.276117205619812,0.12535981833934784,0.10353918373584747
yards,0.13584628701210022,0.08262171596288681,0.3131333589553833,0.0408332459628582,0.42166757583618164,0.2428840845823288,0.12453813850879669
allowed,0.37092331051826477,0.14454121887683868,0.11828220635652542,0.024586396291851997,0.15472714602947235,0.12203349173069,0.2309964895248413
and,0.41279885172843933,0.3859752118587494,0.20625516772270203,0.06895173341035843,0.22892872989177704,0.24121041595935822,0.20544172823429108
sacks,0.16894300282001495,0.12733697891235352,0.27507340908050537,-0.023768125101923943,0.4047272801399231,0.2070380300283432,0.0761517658829689
",",0.3365725874900818,0.4691906273365021,0.25173696875572205,-0.0016132977325469255,0.238240584731102,0.26595932245254517,0.31091248989105225
and,0.41279885172843933,0.3859752118587494,0.20625516772270203,0.06895173341035843,0.22892872989177704,0.24121041595935822,0.20544172823429108
like,0.34740978479385376,0.29710376262664795,0.13419421017169952,0.06462705135345459,0.14782455563545227,0.08347252011299133,0.3268813192844391
the,0.3733934462070465,0.5823672413825989,0.2052404284477234,-0.01540423184633255,0.2644767463207245,0.2257796972990036,0.22068053483963013
previous,0.1923418641090393,0.18159280717372894,0.1472044736146927,0.046779852360486984,0.1882353276014328,0.24503165483474731,0.16724538803100586
three,0.2491552233695984,0.23072560131549835,0.19229699671268463,0.03946888819336891,0.17295309901237488,0.1686188131570816,0.20928427577018738
