,who,translated,this,version,of,the,scriptures,?
around,0.2775672674179077,0.06408189982175827,0.3444252610206604,0.17233926057815552,0.3296394646167755,0.40085816383361816,0.17207767069339752,0.14729668200016022
1294,0.008915512822568417,-0.09184788912534714,0.09977344423532486,-0.026800578460097313,0.02257085032761097,0.09579470008611679,-0.2521517276763916,0.050814855843782425
",",0.3365725874900818,0.2693711519241333,0.4316047728061676,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.25154221057891846,0.31091248989105225
a,0.36608949303627014,0.15861910581588745,0.5422310829162598,0.27132871747016907,0.5052502155303955,0.5829201340675354,0.1738312989473343,0.23916715383529663
french,0.2756427824497223,0.24805569648742676,0.2380896955728531,0.10141567885875702,0.19450366497039795,0.2555147111415863,0.0844586193561554,0.1386883556842804
version,0.17217524349689484,0.2613444924354553,0.27579987049102783,1.0000001192092896,0.14166875183582306,0.27268242835998535,0.2368459403514862,0.2573966085910797
of,0.2827862501144409,0.19178152084350586,0.45148900151252747,0.14166875183582306,1.0,0.733189046382904,0.2779243290424347,0.1826142966747284
the,0.3733934462070465,0.23299849033355713,0.6274310946464539,0.27268242835998535,0.733189046382904,1.0,0.2662908434867859,0.22068053483963013
scriptures,0.29784294962882996,0.38423213362693787,0.25724509358406067,0.2368459403514862,0.2779243290424347,0.2662908434867859,1.0,0.2851420044898987
was,0.3318818509578705,0.17773973941802979,0.3638818562030792,0.297456830739975,0.4069072902202606,0.48711544275283813,0.1770397275686264,0.18412111699581146
prepared,0.16106441617012024,0.2393597811460495,0.29628658294677734,0.16818957030773163,0.21633069217205048,0.2523883581161499,0.20223626494407654,0.23652499914169312
by,0.39727845788002014,0.2549941837787628,0.38438332080841064,0.21702225506305695,0.3646814823150635,0.4408751428127289,0.1709713488817215,0.17966607213020325
the,0.3733934462070465,0.23299849033355713,0.6274310946464539,0.27268242835998535,0.733189046382904,1.0,0.2662908434867859,0.22068053483963013
roman,0.1856684684753418,0.14777104556560516,0.21620680391788483,0.17075978219509125,0.31028008460998535,0.2862859070301056,0.29692864418029785,0.1663191318511963
catholic,0.2637768089771271,0.18589173257350922,0.23315472900867462,0.12669411301612854,0.3452084958553314,0.26391419768333435,0.3595654368400574,0.16609853506088257
priest,0.29762959480285645,0.17506997287273407,0.15328432619571686,0.0785752385854721,0.18239139020442963,0.17071814835071564,0.31773215532302856,0.1474698781967163
",",0.3365725874900818,0.2693711519241333,0.4316047728061676,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.25154221057891846,0.31091248989105225
guyard,0.2512637674808502,0.20870137214660645,0.21785034239292145,0.15827086567878723,0.21932166814804077,0.309914231300354,0.1808091551065445,0.14384956657886505
de,0.18189555406570435,0.19971352815628052,0.1538555771112442,0.09855896979570389,0.26292696595191956,0.23491892218589783,0.1408226639032364,0.11064168810844421
moulin,0.19244301319122314,0.17124426364898682,0.216756209731102,0.14930731058120728,0.17106877267360687,0.22883544862270355,0.1554683893918991,0.21058645844459534
.,0.3541337847709656,0.21498748660087585,0.500583827495575,0.2754054665565491,0.5352458953857422,0.5934505462646484,0.23204679787158966,0.4130953550338745
