,recently,a,more,detailed,model,of,the,earth,was,developed,.,seismologists,were,able,to,create,this,using,images,of,what,from,the,interior,of,the,earth,?
more,0.3222377896308899,0.3452818691730499,1.0,0.3556821346282959,0.1536482721567154,0.30478984117507935,0.39758381247520447,0.19403211772441864,0.21525104343891144,0.2290286272764206,0.4070230722427368,0.23717600107192993,0.33779072761535645,0.39631301164627075,0.47084665298461914,0.34656190872192383,0.5430014133453369,0.3065866529941559,0.21457575261592865,0.30478984117507935,0.3484537899494171,0.2529715299606323,0.39758381247520447,0.15057878196239471,0.30478984117507935,0.39758381247520447,0.19403211772441864,0.27894994616508484
recently,0.9999998807907104,0.2841660678386688,0.3222377896308899,0.1919061839580536,0.21366122364997864,0.21953822672367096,0.2774651348590851,0.166434183716774,0.4035745859146118,0.2036736011505127,0.2900089621543884,0.1898529976606369,0.3647858202457428,0.17672917246818542,0.36710911989212036,0.20750848948955536,0.35019177198410034,0.25590044260025024,0.1633133590221405,0.21953822672367096,0.2653191089630127,0.26770320534706116,0.2774651348590851,0.11780563741922379,0.21953822672367096,0.2774651348590851,0.166434183716774,0.18352322280406952
",",0.3094431459903717,0.427140474319458,0.3696524500846863,0.27008405327796936,0.244965597987175,0.4946078956127167,0.4933079481124878,0.23186853528022766,0.45456063747406006,0.24565434455871582,0.6812511086463928,0.23410971462726593,0.36755475401878357,0.28725793957710266,0.44245919585227966,0.2240353375673294,0.4316047728061676,0.27050045132637024,0.23035936057567596,0.4946078956127167,0.3087472915649414,0.39760664105415344,0.4933079481124878,0.2132241129875183,0.4946078956127167,0.4933079481124878,0.23186853528022766,0.31091248989105225
seismologists,0.1898529976606369,0.19367516040802002,0.23717600107192993,0.27996209263801575,0.25532159209251404,0.22042883932590485,0.2834262251853943,0.3746615946292877,0.20398461818695068,0.29717227816581726,0.2054261565208435,1.0,0.29148390889167786,0.24746094644069672,0.2367573082447052,0.1944907307624817,0.3171733617782593,0.2448520064353943,0.19742077589035034,0.22042883932590485,0.35503461956977844,0.15935826301574707,0.2834262251853943,0.18535004556179047,0.22042883932590485,0.2834262251853943,0.3746615946292877,0.20703953504562378
have,0.536590039730072,0.338716596364975,0.49033403396606445,0.26584067940711975,0.10360604524612427,0.3802283704280853,0.40389683842658997,0.22133874893188477,0.2863433063030243,0.27746251225471497,0.41614407300949097,0.33056342601776123,0.5193349123001099,0.38822048902511597,0.4544740617275238,0.3937649726867676,0.4660032093524933,0.3861018717288971,0.2586318552494049,0.3802283704280853,0.39808809757232666,0.30702701210975647,0.40389683842658997,0.1698581427335739,0.3802283704280853,0.40389683842658997,0.22133874893188477,0.32991164922714233
been,0.6725438833236694,0.3315402865409851,0.34097588062286377,0.22335533797740936,0.15288491547107697,0.31685134768486023,0.3563927710056305,0.17430467903614044,0.518218457698822,0.2608605623245239,0.33645182847976685,0.2552303075790405,0.5062422156333923,0.18069064617156982,0.34945759177207947,0.2143714278936386,0.3736515939235687,0.30243900418281555,0.21232278645038605,0.31685134768486023,0.2567804455757141,0.27624839544296265,0.3563927710056305,0.1728956401348114,0.31685134768486023,0.3563927710056305,0.17430467903614044,0.24354910850524902
able,0.17672917246818542,0.2874686121940613,0.39631301164627075,0.25562167167663574,0.14395497739315033,0.23883962631225586,0.3435857892036438,0.17496968805789948,0.19031302630901337,0.239165261387825,0.34544092416763306,0.24746094644069672,0.2341073453426361,1.0,0.529755175113678,0.35409221053123474,0.34348174929618835,0.3513033390045166,0.20833611488342285,0.23883962631225586,0.3404487371444702,0.2139057070016861,0.3435857892036438,0.13360613584518433,0.23883962631225586,0.3435857892036438,0.17496968805789948,0.260649710893631
to,0.36710911989212036,0.45503583550453186,0.47084665298461914,0.2411242574453354,0.187554731965065,0.41548454761505127,0.535392165184021,0.2486501932144165,0.3636345863342285,0.19491806626319885,0.4645031690597534,0.2367573082447052,0.31913647055625916,0.529755175113678,1.0,0.41124165058135986,0.5759071707725525,0.3678804934024811,0.2165423482656479,0.41548454761505127,0.455847829580307,0.4069952368736267,0.535392165184021,0.17605601251125336,0.41548454761505127,0.535392165184021,0.2486501932144165,0.29463258385658264
create,0.20750848948955536,0.3041161596775055,0.34656190872192383,0.23040762543678284,0.17074672877788544,0.23675619065761566,0.25265660881996155,0.20201264321804047,0.17767828702926636,0.25392842292785645,0.2916513681411743,0.1944907307624817,0.20919877290725708,0.35409221053123474,0.41124165058135986,1.0,0.3550630211830139,0.39848271012306213,0.30507487058639526,0.23675619065761566,0.2962724268436432,0.19491150975227356,0.25265660881996155,0.1451082080602646,0.23675619065761566,0.25265660881996155,0.20201264321804047,0.300167441368103
detailed,0.1919061839580536,0.2346991002559662,0.3556821346282959,1.0,0.2114025056362152,0.34139877557754517,0.287728875875473,0.15480151772499084,0.14771351218223572,0.23008757829666138,0.2614998519420624,0.27996209263801575,0.21633321046829224,0.25562167167663574,0.2411242574453354,0.23040762543678284,0.34931373596191406,0.26454392075538635,0.39468351006507874,0.34139877557754517,0.34171777963638306,0.23293903470039368,0.287728875875473,0.20111674070358276,0.34139877557754517,0.287728875875473,0.15480151772499084,0.22426927089691162
