,why,do,land,plants,have,more,and,smaller,chloroplasts,?
this,0.5040162205696106,0.34963881969451904,0.24134407937526703,0.3170259892940521,0.4660032093524933,0.5430014133453369,0.42353692650794983,0.29571834206581116,0.32268521189689636,0.3155723512172699
ability,0.27418041229248047,0.28784701228141785,0.18716125190258026,0.2597070038318634,0.361406534910202,0.324737012386322,0.2697578966617584,0.14201733469963074,0.25563570857048035,0.1955445408821106
to,0.4100138247013092,0.38876664638519287,0.2885280251502991,0.27162864804267883,0.4544740617275238,0.47084665298461914,0.48971283435821533,0.2597835958003998,0.23370109498500824,0.29463258385658264
distribute,0.12835417687892914,0.28008952736854553,0.15611496567726135,0.23706448078155518,0.30949634313583374,0.2949671447277069,0.22960400581359863,0.18630178272724152,0.23215483129024506,0.1343344748020172
chloroplasts,0.22792738676071167,0.2621478736400604,0.193926602602005,0.5701043605804443,0.29091566801071167,0.244172602891922,0.21511349081993103,0.2325296401977539,0.9999999403953552,0.13049766421318054
so,0.5904637575149536,0.4966239333152771,0.22981701791286469,0.29747283458709717,0.5788111686706543,0.5254946947097778,0.4655851125717163,0.31451186537742615,0.3120802044868469,0.43163934350013733
that,0.5601457357406616,0.44533252716064453,0.256797194480896,0.27574244141578674,0.6182622313499451,0.4813884496688843,0.4731321930885315,0.31790265440940857,0.3177454173564911,0.32716336846351624
they,0.39327314496040344,0.4667694866657257,0.2857455909252167,0.3542126417160034,0.6542890071868896,0.4636705815792084,0.5073080658912659,0.3559090197086334,0.37369829416275024,0.2753053903579712
can,0.38329222798347473,0.45775556564331055,0.16262724995613098,0.2870660424232483,0.5489245653152466,0.4044358730316162,0.3675691485404968,0.29242509603500366,0.29016172885894775,0.3226337134838104
take,0.2926900386810303,0.40664049983024597,0.20831574499607086,0.21459843218326569,0.43728798627853394,0.3237091600894928,0.296702116727829,0.24721607565879822,0.17005568742752075,0.21897350251674652
shelter,0.19402502477169037,0.22251392900943756,0.2579123377799988,0.2941955029964447,0.2562534511089325,0.25671350955963135,0.27857768535614014,0.2115054428577423,0.23677405714988708,0.13403624296188354
behind,0.27710404992103577,0.16402679681777954,0.12567497789859772,0.10420022159814835,0.2356386035680771,0.19583259522914886,0.3094099164009094,0.17385506629943848,0.140138640999794,0.19274599850177765
each,0.25614088773727417,0.2601187825202942,0.1813095062971115,0.2734626233577728,0.4084063768386841,0.37741073966026306,0.2984027564525604,0.3196795582771301,0.2836918532848358,0.21173812448978424
other,0.321101576089859,0.34946969151496887,0.1661357283592224,0.3151935040950775,0.559082567691803,0.49628373980522156,0.5504306554794312,0.42919793725013733,0.27265721559524536,0.24682199954986572
