,what,did,they,want,the,educational,system,to,be,?
the,0.42745697498321533,0.34736719727516174,0.49925389885902405,0.3003826439380646,1.0,0.22737358510494232,0.3233085572719574,0.535392165184021,0.4248143136501312,0.22068053483963013
committee,0.18195343017578125,0.19008150696754456,0.19628779590129852,0.18916678428649902,0.24322165548801422,0.3391607403755188,0.2600642740726471,0.24979650974273682,0.17965561151504517,0.12144632637500763
recommended,0.19394323229789734,0.2296464890241623,0.19713427126407623,0.32916685938835144,0.2700778841972351,0.3240047097206116,0.16552764177322388,0.2934373915195465,0.3252650797367096,0.22072286903858185
that,0.6297725439071655,0.47518548369407654,0.5710820555686951,0.4709601402282715,0.5473989248275757,0.20825713872909546,0.3088737428188324,0.5436353087425232,0.6036020517349243,0.32716336846351624
the,0.42745697498321533,0.34736719727516174,0.49925389885902405,0.3003826439380646,1.0,0.22737358510494232,0.3233085572719574,0.535392165184021,0.4248143136501312,0.22068053483963013
7–4–2–3,0.10807541757822037,0.10612253099679947,0.10883737355470657,0.12106966227293015,0.2333783656358719,0.2672284245491028,0.06323695927858353,0.2356104701757431,0.12077973783016205,0.023762304335832596
system,0.23557309806346893,0.1967303454875946,0.24734781682491302,0.1755153089761734,0.3233085572719574,0.20770645141601562,1.0000001192092896,0.26662686467170715,0.24878063797950745,0.15556083619594574
be,0.3929833769798279,0.22657383978366852,0.4858434796333313,0.40190353989601135,0.4248143136501312,0.23227958381175995,0.24878063797950745,0.4972836375236511,1.0,0.3324260413646698
changed,0.2667781710624695,0.30653589963912964,0.3061716854572296,0.2723985016345978,0.351829469203949,0.15824224054813385,0.21974125504493713,0.2968057096004486,0.28419291973114014,0.21123318374156952
to,0.455847829580307,0.4452643394470215,0.5452046394348145,0.4966742694377899,0.535392165184021,0.28994840383529663,0.26662686467170715,1.0,0.4972836375236511,0.29463258385658264
an,0.2821882665157318,0.22598257660865784,0.2435421496629715,0.22034470736980438,0.4207492768764496,0.14616814255714417,0.17536801099777222,0.3138085603713989,0.33041056990623474,0.19793890416622162
8–4–4,0.06672007590532303,0.04311583191156387,0.0778903216123581,0.07914328575134277,-0.07812517881393433,-0.12113603204488754,-0.1596514880657196,0.0604131817817688,0.04930621758103371,0.03036368452012539
system,0.23557309806346893,0.1967303454875946,0.24734781682491302,0.1755153089761734,0.3233085572719574,0.20770645141601562,1.0000001192092896,0.26662686467170715,0.24878063797950745,0.15556083619594574
(,0.2411840260028839,0.18979617953300476,0.22770340740680695,0.23757240176200867,0.33289089798927307,0.18729615211486816,0.15626809000968933,0.30882009863853455,0.2349044382572174,0.40561532974243164
eight,0.15383057296276093,0.19307805597782135,0.26088473200798035,0.11165577918291092,0.34254369139671326,0.15815845131874084,0.19896234571933746,0.22227223217487335,0.19129732251167297,0.11634626984596252
years,0.1981470286846161,0.2695724070072174,0.27811309695243835,0.14151804149150848,0.2912273406982422,0.2281079888343811,0.16418379545211792,0.23891852796077728,0.2547864317893982,0.1914375126361847
in,0.30808621644973755,0.2593238651752472,0.4330179989337921,0.2281211018562317,0.6662389636039734,0.29241177439689636,0.21978288888931274,0.45010748505592346,0.3481820821762085,0.20430970191955566
primary,0.2113915979862213,0.16609589755535126,0.2192593365907669,0.17253945767879486,0.25688621401786804,0.3409460783004761,0.25969868898391724,0.27388349175453186,0.1876562237739563,0.16286636888980865
",",0.3087472915649414,0.3015086054801941,0.390799880027771,0.30747702717781067,0.4933079481124878,0.27889060974121094,0.18439900875091553,0.44245919585227966,0.39254459738731384,0.31091248989105225
four,0.18057085573673248,0.20222175121307373,0.3668050169944763,0.117212675511837,0.40344667434692383,0.16992908716201782,0.161275714635849,0.2803118824958801,0.2155974805355072,0.14532537758350372
years,0.1981470286846161,0.2695724070072174,0.27811309695243835,0.14151804149150848,0.2912273406982422,0.2281079888343811,0.16418379545211792,0.23891852796077728,0.2547864317893982,0.1914375126361847
in,0.30808621644973755,0.2593238651752472,0.4330179989337921,0.2281211018562317,0.6662389636039734,0.29241177439689636,0.21978288888931274,0.45010748505592346,0.3481820821762085,0.20430970191955566
secondary,0.20388361811637878,0.16505715250968933,0.2186330109834671,0.18923622369766235,0.21037471294403076,0.40424641966819763,0.20522193610668182,0.27947136759757996,0.18861138820648193,0.18118004500865936
",",0.3087472915649414,0.3015086054801941,0.390799880027771,0.30747702717781067,0.4933079481124878,0.27889060974121094,0.18439900875091553,0.44245919585227966,0.39254459738731384,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.5073080658912659,0.34348347783088684,0.5171257257461548,0.34227511286735535,0.231138214468956,0.48971283435821533,0.41766801476478577,0.20544172823429108
four,0.18057085573673248,0.20222175121307373,0.3668050169944763,0.117212675511837,0.40344667434692383,0.16992908716201782,0.161275714635849,0.2803118824958801,0.2155974805355072,0.14532537758350372
years,0.1981470286846161,0.2695724070072174,0.27811309695243835,0.14151804149150848,0.2912273406982422,0.2281079888343811,0.16418379545211792,0.23891852796077728,0.2547864317893982,0.1914375126361847
in,0.30808621644973755,0.2593238651752472,0.4330179989337921,0.2281211018562317,0.6662389636039734,0.29241177439689636,0.21978288888931274,0.45010748505592346,0.3481820821762085,0.20430970191955566
university,0.20256435871124268,0.15114416182041168,0.2016858160495758,0.14177627861499786,0.263973206281662,0.4786893427371979,0.16972410678863525,0.20192374289035797,0.13178980350494385,0.11887256056070328
education,0.19940856099128723,0.19762296974658966,0.15292859077453613,0.2065241038799286,0.23982903361320496,0.8527971506118774,0.1948843002319336,0.2626708149909973,0.19451211392879486,0.18067774176597595
),0.26259949803352356,0.18584993481636047,0.22818082571029663,0.23398372530937195,0.3456730246543884,0.21530582010746002,0.15207810699939728,0.31236231327056885,0.24578070640563965,0.42300865054130554
.,0.3567904531955719,0.35288307070732117,0.4510921239852905,0.31944841146469116,0.5934505462646484,0.2723287045955658,0.2277725487947464,0.4645031690597534,0.4383580684661865,0.4130953550338745
