,in,nepalese,private,schools,",",what,is,the,primary,language,of,instruction,?
the,0.6662389636039734,0.18889059126377106,0.18291357159614563,0.22905772924423218,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.25688621401786804,0.30198320746421814,0.733189046382904,0.24766679108142853,0.22068053483963013
medium,0.14635127782821655,0.14937958121299744,0.18643686175346375,0.19195465743541718,0.1837785542011261,0.09298098087310791,0.2135585993528366,0.21611663699150085,0.18874704837799072,0.16223110258579254,0.17851373553276062,0.16324841976165771,0.09342553466558456
of,0.5696388483047485,0.2030399739742279,0.18706899881362915,0.265506386756897,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23414276540279388,0.25272229313850403,1.0,0.24772194027900696,0.1826142966747284
education,0.2654339671134949,0.1652432382106781,0.34071704745292664,0.6035618185997009,0.2718683183193207,0.19940856099128723,0.18778188526630402,0.23982903361320496,0.3644731044769287,0.30624115467071533,0.3015166223049164,0.29218265414237976,0.18067774176597595
is,0.5394441485404968,0.17413824796676636,0.1420905888080597,0.2022145688533783,0.4691906273365021,0.28837618231773376,1.0,0.5823672413825989,0.23824772238731384,0.270936518907547,0.4854315221309662,0.21809233725070953,0.22961433231830597
english,0.19623121619224548,0.27643927931785583,0.17193938791751862,0.21713261306285858,0.3339248597621918,0.25060737133026123,0.24613474309444427,0.23982001841068268,0.1356969177722931,0.4612087905406952,0.17198967933654785,0.1712188869714737,0.23251567780971527
",",0.5201468467712402,0.2516903579235077,0.1899166703224182,0.2760516405105591,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2565748989582062,0.2694627344608307,0.4946078956127167,0.22458750009536743,0.31091248989105225
but,0.48674455285072327,0.14849400520324707,0.21809467673301697,0.2203376144170761,0.48126736283302307,0.5029441118240356,0.4106791317462921,0.4859698414802551,0.1786794364452362,0.2890211343765259,0.39942997694015503,0.2516353130340576,0.27921953797340393
as,0.3887844979763031,0.2024603933095932,0.22101859748363495,0.21233005821704865,0.48816442489624023,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2169201374053955,0.2037375271320343,0.3886612355709076,0.23490282893180847,0.27043893933296204
a,0.539380669593811,0.18409869074821472,0.20346391201019287,0.2118925303220749,0.427140474319458,0.3320399522781372,0.658733606338501,0.5829201340675354,0.23038449883460999,0.21064592897891998,0.5052502155303955,0.28638046979904175,0.23916715383529663
compulsory,0.27406829595565796,0.21544601023197174,0.26994845271110535,0.36350685358047485,0.2254411280155182,0.29406166076660156,0.18758688867092133,0.2769445478916168,0.3225669860839844,0.2822451591491699,0.2537287175655365,0.36799222230911255,0.1774163395166397
subject,0.21163184940814972,0.17094893753528595,0.21178118884563446,0.18936215341091156,0.25792038440704346,0.3828662037849426,0.25386592745780945,0.2387523651123047,0.2576158344745636,0.3107589781284332,0.21533280611038208,0.2790713608264923,0.33952999114990234
",",0.5201468467712402,0.2516903579235077,0.1899166703224182,0.2760516405105591,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2565748989582062,0.2694627344608307,0.4946078956127167,0.22458750009536743,0.31091248989105225
nepali,0.14551983773708344,0.8066859841346741,0.052521489560604095,0.1632024645805359,0.2587319314479828,0.13121724128723145,0.1981954276561737,0.23425516486167908,0.10375583171844482,0.30654022097587585,0.23270486295223236,0.22060751914978027,0.14452672004699707
and/or,0.1723054200410843,0.14251577854156494,0.1677350401878357,0.19595247507095337,0.22354047000408173,0.26439139246940613,0.1926940530538559,0.27840298414230347,0.24516959488391876,0.20667995512485504,0.2572663724422455,0.28508222103118896,0.24081800878047943
the,0.6662389636039734,0.18889059126377106,0.18291357159614563,0.22905772924423218,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.25688621401786804,0.30198320746421814,0.733189046382904,0.24766679108142853,0.22068053483963013
state,0.33316072821617126,0.18216954171657562,0.3059387505054474,0.2832874357700348,0.29481780529022217,0.24273863434791565,0.2627358138561249,0.3097178041934967,0.18015341460704803,0.1671513020992279,0.34253445267677307,0.1714032143354416,0.1160883978009224
's,-0.037580832839012146,-0.01130419410765171,0.08433578908443451,0.003616944421082735,-0.0016132977325469255,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.06354844570159912,-0.03558342531323433,-0.03817026689648628,0.02466316521167755,-0.023395681753754616
official,0.25180214643478394,0.17934274673461914,0.17903941869735718,0.1797254979610443,0.2088543325662613,0.18967986106872559,0.21236078441143036,0.3133983910083771,0.1763271540403366,0.30023193359375,0.2864961326122284,0.10052201896905899,0.18097688257694244
language,0.23268210887908936,0.21380335092544556,0.12982140481472015,0.2158348709344864,0.2694627344608307,0.28220435976982117,0.270936518907547,0.30198320746421814,0.18236173689365387,0.9999998807907104,0.25272229313850403,0.29253265261650085,0.25349316000938416
is,0.5394441485404968,0.17413824796676636,0.1420905888080597,0.2022145688533783,0.4691906273365021,0.28837618231773376,1.0,0.5823672413825989,0.23824772238731384,0.270936518907547,0.4854315221309662,0.21809233725070953,0.22961433231830597
also,0.5073733329772949,0.23227731883525848,0.23910270631313324,0.3129073679447174,0.4717654287815094,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.2746610641479492,0.29006239771842957,0.4924938678741455,0.23208293318748474,0.21848613023757935
taught,0.24230356514453888,0.15182608366012573,0.2601635158061981,0.47146323323249817,0.2902868986129761,0.25590506196022034,0.15364351868629456,0.17271466553211212,0.2824823260307312,0.3079262673854828,0.23614580929279327,0.2615731358528137,0.18297621607780457
.,0.5591574311256409,0.1772139072418213,0.2534593939781189,0.2752705216407776,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22422198951244354,0.2506868243217468,0.5352458953857422,0.2320007085800171,0.4130953550338745
