,what,event,was,the,worst,example,of,huguenot,persecution,?
the,0.42745697498321533,0.2960145175457001,0.48711544275283813,1.0,0.21166902780532837,0.3755223751068115,0.733189046382904,0.29557526111602783,0.26699647307395935,0.22068053483963013
height,0.2337305247783661,0.13524994254112244,0.1334953010082245,0.2694929540157318,0.08529949933290482,0.24739766120910645,0.23672480881214142,0.1668601781129837,0.13482825458049774,0.1599798947572708
of,0.33290785551071167,0.19878064095973969,0.4069072902202606,0.733189046382904,0.16431279480457306,0.3570667505264282,1.0,0.29061198234558105,0.2776307165622711,0.1826142966747284
this,0.5489566326141357,0.32310792803764343,0.3638818562030792,0.6274310946464539,0.23567719757556915,0.4614826440811157,0.45148900151252747,0.2300579845905304,0.28924643993377686,0.3155723512172699
persecution,0.2927123010158539,0.26945361495018005,0.22720639407634735,0.26699647307395935,0.1459788829088211,0.19999657571315765,0.2776307165622711,0.45871323347091675,1.0000001192092896,0.16299931704998016
was,0.22111038863658905,0.28341150283813477,1.0000001192092896,0.48711544275283813,0.15066909790039062,0.16563157737255096,0.4069072902202606,0.24281072616577148,0.22720639407634735,0.18412111699581146
the,0.42745697498321533,0.2960145175457001,0.48711544275283813,1.0,0.21166902780532837,0.3755223751068115,0.733189046382904,0.29557526111602783,0.26699647307395935,0.22068053483963013
st.,0.10219959169626236,0.010453700087964535,0.17142929136753082,0.18141359090805054,0.021335873752832413,0.1422497183084488,0.19887582957744598,0.23369340598583221,0.1696968525648117,0.13592876493930817
bartholomew,0.212022602558136,0.15899623930454254,0.2436167597770691,0.31120938062667847,0.0761861652135849,0.2039351612329483,0.2951948940753937,0.4412204325199127,0.3537803888320923,0.1647033840417862
's,0.02692362666130066,0.026449335739016533,0.008974763564765453,-0.01540423184633255,0.033447474241256714,-0.045060764998197556,-0.03817026689648628,-0.03130035102367401,0.03700273856520653,-0.023395681753754616
day,0.2990210950374603,0.3271280825138092,0.24314451217651367,0.3062323033809662,0.15272961556911469,0.18608598411083221,0.2934032380580902,0.18153738975524902,0.24972614645957947,0.2141837179660797
massacre,0.16681800782680511,0.2599761188030243,0.2228357344865799,0.23870180547237396,0.2128397524356842,0.09033049643039703,0.20526865124702454,0.3189436197280884,0.3812114894390106,0.17941462993621826
when,0.4700249433517456,0.2685905992984772,0.37326499819755554,0.5091903209686279,0.11886411905288696,0.40509727597236633,0.3757161796092987,0.19392696022987366,0.2442597597837448,0.22841128706932068
"5,000",0.018143286928534508,0.033185508102178574,0.06395159661769867,0.13800157606601715,0.10387197136878967,0.05769029259681702,0.1420990526676178,0.10570298135280609,0.030507968738675117,0.031676504760980606
to,0.455847829580307,0.2585321366786957,0.3636345863342285,0.535392165184021,0.14048011600971222,0.3451666533946991,0.41548454761505127,0.24496324360370636,0.28052273392677307,0.29463258385658264
"30,000",-0.028655091300606728,-0.05705394223332405,0.13152016699314117,0.06378138810396194,-0.013851037248969078,0.00680834474042058,0.10176210105419159,0.12600405514240265,-0.02041882835328579,-0.012226879596710205
were,0.22298263013362885,0.22349928319454193,0.590133786201477,0.3906462490558624,0.15683826804161072,0.21319323778152466,0.34038281440734863,0.23719102144241333,0.34995532035827637,0.17890112102031708
killed,0.1862335354089737,0.19918471574783325,0.31229376792907715,0.23115427792072296,0.28399673104286194,0.15900777280330658,0.2589981257915497,0.25624290108680725,0.32806557416915894,0.17928971350193024
