,who,redesigned,the,central,garden,?
the,0.3733934462070465,0.2598510682582855,1.0,0.3417201042175293,0.23359008133411407,0.22068053483963013
central,0.14618510007858276,0.10037576407194138,0.3417201042175293,1.0,0.24764256179332733,0.14787602424621582
garden,0.20798394083976746,0.18561823666095734,0.23359008133411407,0.24764256179332733,1.0,0.16720405220985413
was,0.3318818509578705,0.35486769676208496,0.48711544275283813,0.21519865095615387,0.2112511396408081,0.18412111699581146
redesigned,0.20796561241149902,1.0000001192092896,0.2598510682582855,0.10037576407194138,0.18561823666095734,0.18504595756530762
by,0.39727845788002014,0.2642400562763214,0.4408751428127289,0.14742699265480042,0.1725831925868988,0.17966607213020325
kim,0.20088379085063934,0.14303968846797943,0.16643309593200684,0.16112487018108368,0.09257413446903229,0.1720227748155594
wilkie,0.28204548358917236,0.2594675123691559,0.2626578211784363,0.14443250000476837,0.15377026796340942,0.12453664839267731
and,0.41279885172843933,0.18124745786190033,0.5171257257461548,0.2465941160917282,0.2236175239086151,0.20544172823429108
opened,0.1488369107246399,0.36546698212623596,0.28544309735298157,0.190458282828331,0.2810719609260559,0.1934700310230255
as,0.3923053741455078,0.2949407398700714,0.48381632566452026,0.1581166535615921,0.17636080086231232,0.27043893933296204
the,0.3733934462070465,0.2598510682582855,1.0,0.3417201042175293,0.23359008133411407,0.22068053483963013
john,0.30388808250427246,0.1896330565214157,0.2230520099401474,0.09779134392738342,0.17623083293437958,0.13162356615066528
madejski,0.3108489215373993,0.30650782585144043,0.34439072012901306,0.206278994679451,0.1770477592945099,0.2256554216146469
garden,0.20798394083976746,0.18561823666095734,0.23359008133411407,0.24764256179332733,1.0,0.16720405220985413
",",0.3365725874900818,0.20020903646945953,0.4933079481124878,0.2587154507637024,0.2712799608707428,0.31091248989105225
on,0.2340552806854248,0.2689509391784668,0.5107308030128479,0.242094486951828,0.18135347962379456,0.2714994251728058
5,0.05488086864352226,0.049006033688783646,0.09255307912826538,0.029822921380400658,-0.023401709273457527,0.06222071498632431
july,0.2606464624404907,0.23697614669799805,0.2371699959039688,0.16544674336910248,0.15771648287773132,0.2897891402244568
2005,0.18423187732696533,-0.025151075795292854,0.037273142486810684,0.016058454290032387,-0.026222478598356247,0.10709824413061142
.,0.3541337847709656,0.2352994680404663,0.5934505462646484,0.3193301260471344,0.231033593416214,0.4130953550338745
