,who,was,the,first,chair,of,the,ipcc,?
the,0.3733934462070465,0.48711544275283813,1.0,0.49448907375335693,0.1899619996547699,0.733189046382904,1.0,0.24925659596920013,0.22068053483963013
previous,0.1923418641090393,0.2747909128665924,0.34706559777259827,0.36322978138923645,0.10354761779308319,0.2892087996006012,0.34706559777259827,0.22662745416164398,0.16724538803100586
chairs,0.19165369868278503,0.1582566350698471,0.1927897036075592,0.12229641526937485,0.7491890788078308,0.17090940475463867,0.1927897036075592,0.24986276030540466,0.1236351951956749
were,0.3188014328479767,0.590133786201477,0.3906462490558624,0.3285558819770813,0.11700811982154846,0.34038281440734863,0.3906462490558624,0.14059360325336456,0.17890112102031708
rajendra,0.20101453363895416,0.2964034080505371,0.2506994307041168,0.2431592494249344,0.13215257227420807,0.24134209752082825,0.2506994307041168,0.2465311735868454,0.14685603976249695
k.,0.14496901631355286,0.1336437463760376,-0.04743805527687073,0.05561826378107071,0.022427834570407867,-0.024758286774158478,-0.04743805527687073,0.18108750879764557,0.4099535048007965
pachauri,0.3242393434047699,0.26917096972465515,0.2887033224105835,0.18770717084407806,0.1386682242155075,0.26019054651260376,0.2887033224105835,0.25978317856788635,0.2064822018146515
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.13867062330245972,0.4946078956127167,0.4933079481124878,0.15590040385723114,0.31091248989105225
elected,0.3117038309574127,0.2710091769695282,0.23167964816093445,0.2879455089569092,0.2481931895017624,0.2767166793346405,0.23167964816093445,0.25479617714881897,0.1966295689344406
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.17214225232601166,0.5696388483047485,0.6662389636039734,0.1257958561182022,0.20430970191955566
may,0.23082798719406128,0.3388521671295166,0.2694292366504669,0.24023057520389557,0.07096792012453079,0.26447007060050964,0.2694292366504669,0.13738566637039185,0.2768254578113556
2002,-0.011096460744738579,-0.07885236293077469,-0.07970229536294937,-0.012128324247896671,-0.09527576714754105,-0.05071645230054855,-0.07970229536294937,-0.11390996724367142,0.045828185975551605
;,0.007937713526189327,0.0754367932677269,0.09152708947658539,0.07760433852672577,-0.03786598518490791,0.054534342139959335,0.09152708947658539,0.05348220840096474,0.10349778085947037
robert,0.2748492956161499,0.24186499416828156,0.2257954627275467,0.23740129172801971,0.0733526349067688,0.2398476004600525,0.2257954627275467,0.1547134816646576,0.11293095350265503
watson,0.2144554704427719,0.19964107871055603,0.18680743873119354,0.2542819678783417,0.17669282853603363,0.14687611162662506,0.18680743873119354,0.2717357277870178,0.20794717967510223
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.17214225232601166,0.5696388483047485,0.6662389636039734,0.1257958561182022,0.20430970191955566
1997,0.08716046810150146,-0.11245216429233551,0.017451778054237366,-0.10863921046257019,0.011213717050850391,-0.0036389639135450125,0.017451778054237366,0.04704391583800316,0.03663474693894386
;,0.007937713526189327,0.0754367932677269,0.09152708947658539,0.07760433852672577,-0.03786598518490791,0.054534342139959335,0.09152708947658539,0.05348220840096474,0.10349778085947037
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.3167642652988434,0.20212094485759735,0.5116966962814331,0.5171257257461548,0.20790739357471466,0.20544172823429108
bert,0.22698619961738586,0.22002042829990387,0.1581607311964035,0.2156772017478943,0.09560030698776245,0.12900380790233612,0.1581607311964035,0.11977281421422958,0.20005951821804047
bolin,0.27466097474098206,0.3026038110256195,0.27818596363067627,0.30388763546943665,0.18730619549751282,0.24114812910556793,0.27818596363067627,0.20535892248153687,0.1917923539876938
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.17214225232601166,0.5696388483047485,0.6662389636039734,0.1257958561182022,0.20430970191955566
1988,-0.03557491675019264,0.06523006409406662,-0.009787061251699924,0.035531315952539444,0.004382207058370113,0.017496710643172264,-0.009787061251699924,-0.004656963981688023,0.08449683338403702
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.1565769910812378,0.5352458953857422,0.5934505462646484,0.20098818838596344,0.4130953550338745
