,what,was,the,definition,of,professionals,",",for,this,study,?
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2941339910030365,0.5052502155303955,0.21404023468494415,0.427140474319458,0.44038116931915283,0.5422310829162598,0.2268155962228775,0.23916715383529663
study,0.3123835027217865,0.18420368432998657,0.2533665597438812,0.2962350845336914,0.29377859830856323,0.2855765223503113,0.26425549387931824,0.18700449168682098,0.2858332097530365,1.0,0.15902167558670044
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.20306213200092316,0.5696388483047485,0.20752385258674622,0.5201468467712402,0.4322226941585541,0.45205554366111755,0.2875489294528961,0.20430970191955566
england,0.21399550139904022,0.2656741440296173,0.28280043601989746,0.1777176558971405,0.24624483287334442,0.18027064204216003,0.2732875645160675,0.2606674134731293,0.25592857599258423,0.1485362946987152,0.13436897099018097
showed,0.23458190262317657,0.36072292923927307,0.3101346790790558,0.2128342092037201,0.31843405961990356,0.11349764466285706,0.2312069833278656,0.27973151206970215,0.2751274108886719,0.3757478892803192,0.17389845848083496
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2941339910030365,0.5052502155303955,0.21404023468494415,0.427140474319458,0.44038116931915283,0.5422310829162598,0.2268155962228775,0.23916715383529663
0.3,0.07965612411499023,-0.16677552461624146,-0.10974248498678207,0.06675427407026291,0.021720871329307556,-0.03964919596910477,-0.0069747925736010075,-0.05524664744734764,0.004077569115906954,0.14467623829841614,0.0024098760914057493
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.1869642734527588,0.19953428208827972,0.15165004134178162,0.22757403552532196,0.16658860445022583,0.2505219876766205,0.1986040472984314,0.21441808342933655
prevalence,0.2787725627422333,0.09004367142915726,0.33086124062538147,0.3780408799648285,0.3614538311958313,0.2436409890651703,0.28812310099601746,0.27664414048194885,0.35261476039886475,0.36668404936790466,0.19084396958351135
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24912455677986145,1.0,0.21767503023147583,0.4946078956127167,0.4185989499092102,0.45148900151252747,0.29377859830856323,0.1826142966747284
sexual,0.2455441951751709,0.15403862297534943,0.21929338574409485,0.3153415024280548,0.23417127132415771,0.21500833332538605,0.21589557826519012,0.22568319737911224,0.2831343412399292,0.23782110214233398,0.1814439743757248
abuse,0.32149311900138855,0.1688176989555359,0.18934819102287292,0.3053882122039795,0.1888238936662674,0.20922903716564178,0.25228556990623474,0.2883591055870056,0.3086753189563751,0.17606620490550995,0.30148282647132874
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.11182640492916107,0.3646814823150635,0.19418637454509735,0.3680937886238098,0.3248702883720398,0.38438332080841064,0.1623244434595108,0.17966607213020325
any,0.43670421838760376,0.22746296226978302,0.4525727927684784,0.34877851605415344,0.3769088089466095,0.25889113545417786,0.3237466514110565,0.3944643437862396,0.5327546000480652,0.24718530476093292,0.4113408327102661
professional,0.20202119648456573,0.22944867610931396,0.1869824379682541,0.14014451205730438,0.21265500783920288,0.8269397616386414,0.2938345670700073,0.2828660011291504,0.19053997099399567,0.20646746456623077,0.13074518740177155
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24771931767463684,0.4946078956127167,0.27354833483695984,1.0000001192092896,0.4464869201183319,0.4316047728061676,0.26425549387931824,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2941339910030365,0.5052502155303955,0.21404023468494415,0.427140474319458,0.44038116931915283,0.5422310829162598,0.2268155962228775,0.23916715383529663
group,0.2114069163799286,0.1789962202310562,0.30795547366142273,0.24183763563632965,0.25542253255844116,0.169353187084198,0.2809832692146301,0.24519909918308258,0.2766626477241516,0.28618448972702026,0.13827809691429138
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.36495500802993774,0.41498205065727234,0.26766419410705566,0.4137537479400635,0.4137635827064514,0.6909449696540833,0.31241273880004883,0.32716336846351624
included,0.2288810908794403,0.3148443400859833,0.3825419843196869,0.265455424785614,0.4391688108444214,0.21092699468135834,0.3679811954498291,0.3889397978782654,0.34159374237060547,0.17587797343730927,0.14385655522346497
priests,0.24774585664272308,0.24816220998764038,0.23305702209472656,0.06526371091604233,0.20454101264476776,0.21288242936134338,0.20135340094566345,0.22510336339473724,0.24568741023540497,0.23664085566997528,0.1791282594203949
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24771931767463684,0.4946078956127167,0.27354833483695984,1.0000001192092896,0.4464869201183319,0.4316047728061676,0.26425549387931824,0.31091248989105225
religious,0.26794421672821045,0.20851445198059082,0.22950971126556396,0.12978820502758026,0.2958606779575348,0.25743916630744934,0.2753547728061676,0.21258823573589325,0.2454339861869812,0.24730268120765686,0.15727058053016663
leaders,0.2629711329936981,0.2612215280532837,0.3157886564731598,0.141764834523201,0.2602892220020294,0.2384839802980423,0.21003474295139313,0.21054218709468842,0.26576387882232666,0.14487136900424957,0.13927052915096283
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24771931767463684,0.4946078956127167,0.27354833483695984,1.0000001192092896,0.4464869201183319,0.4316047728061676,0.26425549387931824,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.1981266289949417,0.5116966962814331,0.2793610095977783,0.6633074283599854,0.5064792633056641,0.42353692650794983,0.300253301858902,0.20544172823429108
case,0.30770957469940186,0.18986068665981293,0.31022098660469055,0.34869620203971863,0.24743439257144928,0.20162701606750488,0.2977246046066284,0.30355575680732727,0.39866772294044495,0.22391360998153687,0.33232852816581726
workers,0.21390831470489502,0.21813365817070007,0.23066683113574982,0.10404978692531586,0.20827822387218475,0.3132409155368805,0.17716385424137115,0.2527289092540741,0.21470068395137787,0.18555478751659393,0.1706571877002716
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.30895569920539856,0.3886612355709076,0.24304158985614777,0.48816442489624023,0.44774648547172546,0.43993282318115234,0.23803003132343292,0.27043893933296204
well,0.4154493808746338,0.3130364418029785,0.42630070447921753,0.2567799985408783,0.3343164324760437,0.31813958287239075,0.4331948161125183,0.46352139115333557,0.3988443613052368,0.20350757241249084,0.24815571308135986
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.30895569920539856,0.3886612355709076,0.24304158985614777,0.48816442489624023,0.44774648547172546,0.43993282318115234,0.23803003132343292,0.27043893933296204
teachers,0.2526462972164154,0.18821726739406586,0.22025763988494873,0.1725483536720276,0.27737662196159363,0.4371052384376526,0.28049156069755554,0.274332195520401,0.19526737928390503,0.39217743277549744,0.19522249698638916
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2228187918663025,0.5352458953857422,0.2262210100889206,0.6812511086463928,0.4726039469242096,0.500583827495575,0.23432257771492004,0.4130953550338745
