,what,did,he,believe,the,ether,did,?
he,0.3114890456199646,0.3292143940925598,1.0000001192092896,0.24699896574020386,0.4571082592010498,0.11415695399045944,0.3292143940925598,0.2089974731206894
was,0.22111038863658905,0.41399896144866943,0.5410010814666748,0.20507054030895233,0.48711544275283813,0.1248258426785469,0.41399896144866943,0.18412111699581146
a,0.3320399522781372,0.2552328109741211,0.4393508732318878,0.2732302248477936,0.5829201340675354,0.2924780547618866,0.2552328109741211,0.23916715383529663
believer,0.3753257989883423,0.36132752895355225,0.3191232681274414,0.8183983564376831,0.25587600469589233,0.24676060676574707,0.36132752895355225,0.2449558973312378
in,0.30808621644973755,0.2593238651752472,0.41690486669540405,0.20806841552257538,0.6662389636039734,0.21085920929908752,0.2593238651752472,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.4571082592010498,0.2972484529018402,1.0,0.15837442874908447,0.34736719727516174,0.22068053483963013
19th,0.11525199562311172,0.11936882883310318,0.16511937975883484,0.0927380919456482,0.24964287877082825,0.2046208530664444,0.11936882883310318,0.004712673369795084
century,0.20422613620758057,0.2333737462759018,0.24624104797840118,0.21194735169410706,0.3617299497127533,0.11944477260112762,0.2333737462759018,0.1026201918721199
concept,0.28724339604377747,0.2316831350326538,0.18461892008781433,0.35707274079322815,0.2355310022830963,0.30627739429473877,0.2316831350326538,0.17160645127296448
of,0.33290785551071167,0.2513895630836487,0.38706058263778687,0.2925758957862854,0.733189046382904,0.13518854975700378,0.2513895630836487,0.1826142966747284
an,0.2821882665157318,0.22598257660865784,0.281929612159729,0.1984095573425293,0.4207492768764496,0.22199034690856934,0.22598257660865784,0.19793890416622162
all,0.41981086134910583,0.33943864703178406,0.31727755069732666,0.34866389632225037,0.4860881567001343,0.15956567227840424,0.33943864703178406,0.29575422406196594
pervasive,0.27318862080574036,0.13873009383678436,0.21309083700180054,0.2714143693447113,0.21706761419773102,0.24451522529125214,0.13873009383678436,0.20040440559387207
``,0.008517155423760414,-0.029888948425650597,0.05585138872265816,-0.029574817046523094,0.029072100296616554,-0.020138487219810486,-0.029888948425650597,0.0685480609536171
ether,0.28656452894210815,0.2184554934501648,0.11415695399045944,0.2427626997232437,0.15837442874908447,0.9999998807907104,0.2184554934501648,0.17340467870235443
'',0.08143015950918198,0.01978493109345436,0.039060186594724655,0.017202258110046387,0.041273195296525955,0.067830890417099,0.01978493109345436,0.018684765323996544
that,0.6297725439071655,0.47518548369407654,0.36068853735923767,0.533393383026123,0.5473989248275757,0.3524623215198517,0.47518548369407654,0.32716336846351624
transmitted,0.1978447586297989,0.14472626149654388,0.1356925070285797,0.15822206437587738,0.2535918653011322,0.3196786046028137,0.14472626149654388,0.15801244974136353
electrical,0.19961315393447876,0.12294142693281174,0.20249535143375397,0.13043254613876343,0.2523402273654938,0.3283654451370239,0.12294142693281174,0.10923371464014053
energy,0.190252885222435,0.14123573899269104,0.19338715076446533,0.17941561341285706,0.26756542921066284,0.3590550422668457,0.14123573899269104,0.14860127866268158
.,0.3567904531955719,0.35288307070732117,0.38061028718948364,0.26988279819488525,0.5934505462646484,0.2541372776031494,0.35288307070732117,0.4130953550338745
