,at,this,time,where,was,luther,'s,focus,centered,?
his,0.27659502625465393,0.3549620509147644,0.3553589880466461,0.29880598187446594,0.4405253231525421,0.27093374729156494,0.047556519508361816,0.2223743200302124,0.1409480720758438,0.18075084686279297
main,0.2409709095954895,0.3026203215122223,0.14812199771404266,0.30628275871276855,0.21035033464431763,0.14779585599899292,0.032559316605329514,0.3320443034172058,0.24285511672496796,0.1665669083595276
interest,0.2276461273431778,0.34398776292800903,0.2651026248931885,0.2666945457458496,0.18275634944438934,0.14109325408935547,-0.04592332988977432,0.36785420775413513,0.24459487199783325,0.2411724328994751
was,0.36707764863967896,0.3638818562030792,0.3641340136528015,0.20731619000434875,1.0000001192092896,0.19185513257980347,0.008974763564765453,0.18024994432926178,0.22325320541858673,0.18412111699581146
centered,0.3051220178604126,0.2570139765739441,0.20178250968456268,0.2885330617427826,0.22325320541858673,0.0999404639005661,-0.01770637556910515,0.2770470380783081,1.0,0.17524833977222443
on,0.4806317389011383,0.4193967580795288,0.30044233798980713,0.37630224227905273,0.3909217119216919,0.19090485572814941,0.0026888418942689896,0.3158062696456909,0.28487154841423035,0.2714994251728058
the,0.457212895154953,0.6274310946464539,0.43061500787734985,0.5003893971443176,0.48711544275283813,0.1759674996137619,-0.01540423184633255,0.25318023562431335,0.346942275762558,0.22068053483963013
prophecy,0.07614345103502274,0.20938879251480103,0.15094198286533356,0.16124701499938965,0.15682712197303772,0.2620737552642822,-0.01612151600420475,0.194420725107193,0.15108227729797363,0.21778744459152222
of,0.42558613419532776,0.45148900151252747,0.35127586126327515,0.38066378235816956,0.4069072902202606,0.1719115972518921,-0.03817026689648628,0.2428540587425232,0.3281562924385071,0.1826142966747284
the,0.457212895154953,0.6274310946464539,0.43061500787734985,0.5003893971443176,0.48711544275283813,0.1759674996137619,-0.01540423184633255,0.25318023562431335,0.346942275762558,0.22068053483963013
little,0.18184061348438263,0.29778602719306946,0.2187122404575348,0.2014177143573761,0.15730731189250946,0.09733652323484421,0.022203069180250168,0.17105403542518616,0.1737252175807953,0.20336517691612244
horn,0.12105883657932281,0.15250727534294128,0.14992380142211914,0.1981005072593689,0.13376018404960632,0.14227204024791718,0.04858970642089844,0.11527278274297714,0.08759348094463348,0.1272401511669159
in,0.4374977946281433,0.45205554366111755,0.3431483507156372,0.5344807505607605,0.45514053106307983,0.20523880422115326,-0.037580832839012146,0.27219411730766296,0.33326560258865356,0.20430970191955566
daniel,0.05668244883418083,0.09468834847211838,0.10825740545988083,0.11612243205308914,0.20530252158641815,0.16370601952075958,-0.050362009555101395,0.11249084770679474,0.07244947552680969,0.1540297418832779
8:9–12,0.10813751071691513,-0.021443398669362068,-7.806751091266051e-05,-0.0054732151329517365,0.05740859732031822,-0.04952092468738556,-0.009820429608225822,0.09760995209217072,0.09707903861999512,-0.02356485277414322
",",0.38314947485923767,0.4316047728061676,0.3029961884021759,0.3149496018886566,0.45456063747406006,0.23255878686904907,-0.0016132977325469255,0.23845507204532623,0.22766940295696259,0.31091248989105225
23–25,-0.10751333087682724,0.08618488162755966,-0.028924524784088135,-0.09880392253398895,-0.09525460004806519,-0.007666454650461674,-0.06654743105173111,-0.023406822234392166,-0.05283938720822334,0.027718178927898407
.,0.4549728035926819,0.500583827495575,0.371569961309433,0.41390106081962585,0.40146201848983765,0.24907569587230682,-0.003708066651597619,0.21183714270591736,0.30439889430999756,0.4130953550338745
,at,this,time,where,was,luther,'s,focus,centered,?
in,0.4374977946281433,0.45205554366111755,0.3431483507156372,0.5344807505607605,0.45514053106307983,0.20523880422115326,-0.037580832839012146,0.27219411730766296,0.33326560258865356,0.20430970191955566
1521,0.08521086722612381,0.13509199023246765,0.2866518199443817,0.09025750309228897,0.25117936730384827,0.08881302922964096,0.061436932533979416,0.042737480252981186,-0.01001504622399807,0.0046399421989917755
luther,0.13834704458713531,0.17328955233097076,0.17623016238212585,0.15538732707500458,0.19185513257980347,1.0,-0.009990512393414974,0.19211427867412567,0.0999404639005661,0.1732746809720993
dealt,0.1623031347990036,0.2863423824310303,0.2761291265487671,0.2665649652481079,0.1842247098684311,0.09305058419704437,-0.013671547174453735,0.29960423707962036,0.21929839253425598,0.3251160979270935
largely,0.1097077801823616,0.3314266800880432,0.14151568710803986,0.1918235421180725,0.307300329208374,0.08875765651464462,0.09165722876787186,0.2545543909072876,0.26579776406288147,0.08185246586799622
with,0.29126521944999695,0.36358317732810974,0.31862112879753113,0.4142743945121765,0.27411898970603943,0.14705438911914825,-0.04624466598033905,0.23753482103347778,0.20639225840568542,0.2433311939239502
prophecy,0.07614345103502274,0.20938879251480103,0.15094198286533356,0.16124701499938965,0.15682712197303772,0.2620737552642822,-0.01612151600420475,0.194420725107193,0.15108227729797363,0.21778744459152222
",",0.38314947485923767,0.4316047728061676,0.3029961884021759,0.3149496018886566,0.45456063747406006,0.23255878686904907,-0.0016132977325469255,0.23845507204532623,0.22766940295696259,0.31091248989105225
in,0.4374977946281433,0.45205554366111755,0.3431483507156372,0.5344807505607605,0.45514053106307983,0.20523880422115326,-0.037580832839012146,0.27219411730766296,0.33326560258865356,0.20430970191955566
which,0.3286694884300232,0.6719430088996887,0.325231671333313,0.5477990508079529,0.2830964922904968,0.17501473426818848,0.03856118768453598,0.2949202358722687,0.33102282881736755,0.25814583897590637
he,0.3280475437641144,0.3176022469997406,0.37626320123672485,0.3705328106880188,0.5410010814666748,0.2454872578382492,0.024063590914011,0.19802667200565338,0.15358346700668335,0.2089974731206894
broadened,0.18796950578689575,0.3812379837036133,0.18322047591209412,0.23833002150058746,0.2176537811756134,0.15801671147346497,0.03468283638358116,0.3001030683517456,0.33212652802467346,0.18552923202514648
the,0.457212895154953,0.6274310946464539,0.43061500787734985,0.5003893971443176,0.48711544275283813,0.1759674996137619,-0.01540423184633255,0.25318023562431335,0.346942275762558,0.22068053483963013
foundations,0.15822984278202057,0.18369099497795105,0.20294134318828583,0.18278460204601288,0.16290995478630066,0.11138167977333069,-0.03480416163802147,0.26415586471557617,0.15251171588897705,0.1452419012784958
of,0.42558613419532776,0.45148900151252747,0.35127586126327515,0.38066378235816956,0.4069072902202606,0.1719115972518921,-0.03817026689648628,0.2428540587425232,0.3281562924385071,0.1826142966747284
the,0.457212895154953,0.6274310946464539,0.43061500787734985,0.5003893971443176,0.48711544275283813,0.1759674996137619,-0.01540423184633255,0.25318023562431335,0.346942275762558,0.22068053483963013
reformation,0.1682792603969574,0.34886422753334045,0.23013757169246674,0.2131301313638687,0.29210031032562256,0.43711021542549133,0.012000528164207935,0.18878619372844696,0.26279473304748535,0.14843040704727173
placing,0.2107560634613037,0.39236927032470703,0.27087870240211487,0.2919910252094269,0.16940419375896454,0.0744176134467125,-0.053644660860300064,0.13870587944984436,0.18377698957920074,0.1590770035982132
them,0.24689407646656036,0.5015315413475037,0.4038519859313965,0.38025808334350586,0.23709723353385925,0.1940135955810547,0.025712676346302032,0.2844915986061096,0.11042366921901703,0.35435691475868225
on,0.4806317389011383,0.4193967580795288,0.30044233798980713,0.37630224227905273,0.3909217119216919,0.19090485572814941,0.0026888418942689896,0.3158062696456909,0.28487154841423035,0.2714994251728058
prophetic,0.06997040659189224,0.21819551289081573,0.1678389012813568,0.21207363903522491,0.19274567067623138,0.2887623608112335,0.0380854532122612,0.213177889585495,0.17926467955112457,0.20388533174991608
faith,0.15520597994327545,0.2723909020423889,0.24854254722595215,0.11670906841754913,0.23632077872753143,0.2839079797267914,0.07204221934080124,0.23882462084293365,0.17449256777763367,0.2833177447319031
.,0.4549728035926819,0.500583827495575,0.371569961309433,0.41390106081962585,0.40146201848983765,0.24907569587230682,-0.003708066651597619,0.21183714270591736,0.30439889430999756,0.4130953550338745
