,how,many,tons,of,live,plants,were,found,to,live,in,one,square,kilometer,of,the,amazon,rainforest,in,1999,?
a,0.29312583804130554,0.2872205972671509,0.16760815680027008,0.5052502155303955,0.21948647499084473,0.21329157054424286,0.17203083634376526,0.2869448959827423,0.45503583550453186,0.21948647499084473,0.539380669593811,0.4910551905632019,0.22548454999923706,0.28992143273353577,0.5052502155303955,0.5829201340675354,0.1865728348493576,0.2497720569372177,0.539380669593811,0.01720399782061577,0.23916715383529663
study,0.2640102803707123,0.30255988240242004,0.08310696482658386,0.29377859830856323,0.24683892726898193,0.2552105784416199,0.20556800067424774,0.27707019448280334,0.3326032757759094,0.24683892726898193,0.2875489294528961,0.23404832184314728,0.11602164059877396,0.18317854404449463,0.29377859830856323,0.2533665597438812,0.09405523538589478,0.21322646737098694,0.2875489294528961,0.052442483603954315,0.15902167558670044
in,0.2601168751716614,0.41474202275276184,0.19120186567306519,0.5696388483047485,0.3068392276763916,0.2697395086288452,0.3815755248069763,0.39141854643821716,0.45010748505592346,0.3068392276763916,1.0,0.4129433035850525,0.2193731665611267,0.26756522059440613,0.5696388483047485,0.6662389636039734,0.12227833271026611,0.2207682877779007,1.0,-0.0026030326262116432,0.20430970191955566
1999,0.016421351581811905,-0.0931033119559288,0.006189238745719194,0.06211002916097641,-0.10730991512537003,-0.21692579984664917,-0.05004831403493881,0.0018862395081669092,0.03205801546573639,-0.10730991512537003,-0.0026030326262116432,0.028071630746126175,0.01988210901618004,0.1994665414094925,0.06211002916097641,0.06755080074071884,-0.06544918566942215,-0.11496643722057343,-0.0026030326262116432,0.9999999403953552,0.05416720360517502
found,0.12975606322288513,0.27700337767601013,0.214158296585083,0.2982911467552185,0.22474323213100433,0.2663109004497528,0.23296621441841125,0.9999999403953552,0.25225648283958435,0.22474323213100433,0.39141854643821716,0.21342429518699646,0.11326401680707932,0.16145198047161102,0.2982911467552185,0.3452354073524475,0.20789004862308502,0.28745049238204956,0.39141854643821716,0.0018862395081669092,0.16790300607681274
one,0.3213292360305786,0.4223630726337433,0.21394461393356323,0.4999135136604309,0.25416311621665955,0.19641777873039246,0.3453167676925659,0.21342429518699646,0.4025384783744812,0.25416311621665955,0.4129433035850525,1.0000001192092896,0.2554338574409485,0.3159986138343811,0.4999135136604309,0.5514441132545471,0.17098593711853027,0.2546979784965515,0.4129433035850525,0.028071630746126175,0.2673267424106598
square,0.0836852416396141,0.2124457061290741,0.1593707799911499,0.2585134208202362,0.21485772728919983,0.18403023481369019,0.15575926005840302,0.11326401680707932,0.17897218465805054,0.21485772728919983,0.2193731665611267,0.2554338574409485,1.0,0.5010955929756165,0.2585134208202362,0.2809545397758484,0.20306317508220673,0.23421312868595123,0.2193731665611267,0.01988210901618004,0.1201515942811966
kilometer,0.1711934208869934,0.1642163097858429,0.2651682496070862,0.24783381819725037,0.2244163304567337,0.1284957081079483,0.14541751146316528,0.16145198047161102,0.2538890242576599,0.2244163304567337,0.26756522059440613,0.3159986138343811,0.5010955929756165,1.0,0.24783381819725037,0.30453208088874817,0.19467444717884064,0.2783083915710449,0.26756522059440613,0.1994665414094925,0.10425377637147903
(,0.1676948219537735,0.1455259770154953,0.19276125729084015,0.35032153129577637,0.20015591382980347,0.18415141105651855,0.14743882417678833,0.1583331823348999,0.30882009863853455,0.20015591382980347,0.3087427020072937,0.2922096848487854,0.16847030818462372,0.11639706790447235,0.35032153129577637,0.33289089798927307,0.11605185270309448,0.16459959745407104,0.3087427020072937,0.04074253514409065,0.40561532974243164
247,-0.10723680257797241,0.07810721546411514,0.1009310930967331,0.11850737035274506,0.11974189430475235,0.12949804961681366,0.08081945776939392,0.107585109770298,0.0011452359613031149,0.11974189430475235,0.2413628101348877,0.08201616257429123,0.17964577674865723,0.22322113811969757,0.11850737035274506,0.15139946341514587,0.09788747131824493,0.22055025398731232,0.2413628101348877,-0.13636688888072968,-0.027635393664240837
