,who,decides,the,fate,of,protesters,most,of,the,time,?
it,0.2868398427963257,0.2165922373533249,0.6251175999641418,0.16030745208263397,0.38761502504348755,0.14335976541042328,0.4001435935497284,0.38761502504348755,0.6251175999641418,0.3375589847564697,0.25732165575027466
is,0.24293622374534607,0.27412500977516174,0.5823672413825989,0.15705493092536926,0.4854315221309662,0.10391244292259216,0.41165053844451904,0.4854315221309662,0.5823672413825989,0.25187405943870544,0.22961433231830597
a,0.36608949303627014,0.2980812191963196,0.5829201340675354,0.1758071631193161,0.5052502155303955,0.2221592664718628,0.3508910834789276,0.5052502155303955,0.5829201340675354,0.3292340338230133,0.23916715383529663
matter,0.26875653862953186,0.2958635687828064,0.2957161068916321,0.17723801732063293,0.2804143726825714,0.19955217838287354,0.20246411859989166,0.2804143726825714,0.2957161068916321,0.32708215713500977,0.269619345664978
for,0.37110671401023865,0.2475091964006424,0.4739971458911896,0.11417350172996521,0.4185989499092102,0.2000344693660736,0.3906237483024597,0.4185989499092102,0.4739971458911896,0.3992156386375427,0.264628142118454
the,0.3733934462070465,0.32573065161705017,1.0,0.24733972549438477,0.733189046382904,0.2494657039642334,0.47635307908058167,0.733189046382904,1.0,0.43061500787734985,0.22068053483963013
state,0.15636613965034485,0.14435070753097534,0.3097178041934967,0.15292774140834808,0.34253445267677307,0.21357028186321259,0.24461878836154938,0.34253445267677307,0.3097178041934967,0.22475437819957733,0.1160883978009224
(,0.2443375140428543,0.13981026411056519,0.33289089798927307,0.19044357538223267,0.35032153129577637,0.0905393660068512,0.20654040575027466,0.35032153129577637,0.33289089798927307,0.28391751646995544,0.40561532974243164
including,0.2835840582847595,0.1495145857334137,0.3738902807235718,0.1405486762523651,0.44195112586021423,0.2042611986398697,0.4393967390060425,0.44195112586021423,0.3738902807235718,0.25413772463798523,0.1633303165435791
the,0.3733934462070465,0.32573065161705017,1.0,0.24733972549438477,0.733189046382904,0.2494657039642334,0.47635307908058167,0.733189046382904,1.0,0.43061500787734985,0.22068053483963013
judges,0.3367324471473694,0.42014405131340027,0.2646847069263458,0.24429664015769958,0.20634281635284424,0.24013420939445496,0.204762801527977,0.20634281635284424,0.2646847069263458,0.19188497960567474,0.19775474071502686
),0.2457384318113327,0.12859609723091125,0.3456730246543884,0.19417209923267365,0.3680361211299896,0.10864337533712387,0.23620007932186127,0.3680361211299896,0.3456730246543884,0.2857224941253662,0.42300865054130554
to,0.42656609416007996,0.42171913385391235,0.535392165184021,0.2908569574356079,0.41548454761505127,0.26689815521240234,0.321603000164032,0.41548454761505127,0.535392165184021,0.3679993152618408,0.29463258385658264
decide,0.4077208638191223,0.776125967502594,0.35331496596336365,0.23889382183551788,0.2682307958602905,0.19425612688064575,0.2338695228099823,0.2682307958602905,0.35331496596336365,0.32253915071487427,0.35001131892204285
on,0.2340552806854248,0.21356654167175293,0.5107308030128479,0.21634674072265625,0.3966929316520691,0.25484880805015564,0.28303956985473633,0.3966929316520691,0.5107308030128479,0.30044233798980713,0.2714994251728058
utilitarian,0.2739744186401367,0.06575615704059601,0.16574816405773163,0.08708188682794571,0.2036472111940384,0.2873547375202179,0.2291460633277893,0.2036472111940384,0.16574816405773163,0.17295654118061066,0.20882867276668549
grounds,0.23315320909023285,0.22830699384212494,0.2690851390361786,0.11061710864305496,0.26888811588287354,0.28506430983543396,0.18886306881904602,0.26888811588287354,0.2690851390361786,0.23154129087924957,0.1594391018152237
whether,0.3777885138988495,0.3859282433986664,0.3211745023727417,0.25743934512138367,0.24392437934875488,0.10522770136594772,0.29556190967559814,0.24392437934875488,0.3211745023727417,0.295838862657547,0.3150278329849243
to,0.42656609416007996,0.42171913385391235,0.535392165184021,0.2908569574356079,0.41548454761505127,0.26689815521240234,0.321603000164032,0.41548454761505127,0.535392165184021,0.3679993152618408,0.29463258385658264
do,0.2662210166454315,0.31598782539367676,0.30239659547805786,0.17350897192955017,0.26150479912757874,0.1667681634426117,0.31522849202156067,0.26150479912757874,0.30239659547805786,0.27283716201782227,0.4093979299068451
so,0.39952170848846436,0.3446987271308899,0.4296516180038452,0.26077038049697876,0.3184450566768646,0.22079293429851532,0.4134979248046875,0.3184450566768646,0.4296516180038452,0.39394915103912354,0.43163934350013733
or,0.31144875288009644,0.23257599771022797,0.4174870550632477,0.1347735971212387,0.3792596757411957,0.21832409501075745,0.30746427178382874,0.3792596757411957,0.4174870550632477,0.2774261236190796,0.32389625906944275
not,0.369414746761322,0.32410186529159546,0.4310511648654938,0.2713386118412018,0.3307090103626251,0.19418039917945862,0.419027179479599,0.3307090103626251,0.4310511648654938,0.3786478340625763,0.41942933201789856
.,0.3541337847709656,0.19607381522655487,0.5934505462646484,0.22537730634212494,0.5352458953857422,0.24626030027866364,0.35404038429260254,0.5352458953857422,0.5934505462646484,0.371569961309433,0.4130953550338745
'',0.024401003494858742,-0.004166842438280582,0.041273195296525955,0.003659490030258894,0.13035868108272552,-0.053553272038698196,0.01990530639886856,0.13035868108272552,0.041273195296525955,-0.01899585872888565,0.018684765323996544
