,what,does,the,cpi,scale,measure,?
kenya,0.18398970365524292,0.15162554383277893,0.21657514572143555,0.3297657370567322,0.07682924717664719,0.09905800223350525,0.17197901010513306
ranks,0.14455966651439667,0.1677374392747879,0.32440441846847534,0.22777527570724487,0.18481294810771942,0.14844918251037598,0.17047086358070374
low,0.20743566751480103,0.22342078387737274,0.2544175982475281,0.17282558977603912,0.25224071741104126,0.3215228319168091,0.10658930987119675
on,0.34226128458976746,0.2568802833557129,0.5107308030128479,0.19321425259113312,0.21774359047412872,0.1926666796207428,0.2714994251728058
transparency,0.3102429211139679,0.2920709252357483,0.2278190553188324,0.31448763608932495,0.23269572854042053,0.31802043318748474,0.26982930302619934
international,0.10870302468538284,0.13668061792850494,0.23719607293605804,0.3183807134628296,0.15499986708164215,0.18908576667308807,0.15335838496685028
's,0.02692362666130066,-0.02895052544772625,-0.01540423184633255,0.08985497802495956,0.004218825604766607,0.004309619776904583,-0.023395681753754616
corruption,0.20003895461559296,0.18393801152706146,0.23319530487060547,0.3864904046058655,0.14192135632038116,0.1857839971780777,0.16485145688056946
perception,0.34251677989959717,0.2649601697921753,0.2696559429168701,0.22019816935062408,0.24897292256355286,0.36992308497428894,0.1807376742362976
index,0.21440383791923523,0.19498784840106964,0.21882164478302002,0.2662757635116577,0.2847331762313843,0.3185689151287079,0.2477751076221466
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.26817572116851807,0.1375715285539627,0.1863236427307129,0.40561532974243164
cpi,0.21920563280582428,0.19055654108524323,0.26674386858940125,0.9999999403953552,0.2019420862197876,0.31095409393310547,0.2325928509235382
),0.26259949803352356,0.2575884759426117,0.3456730246543884,0.2890966236591339,0.17252422869205475,0.1701265126466751,0.42300865054130554
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.25465384125709534,0.16146816313266754,0.18738344311714172,0.31091248989105225
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.2369959056377411,0.2199064940214157,0.2953258156776428,0.23916715383529663
metric,0.23627936840057373,0.15593595802783966,0.21734559535980225,0.28330621123313904,0.2756258249282837,0.3985917866230011,0.2346421480178833
which,0.5261979103088379,0.39111801981925964,0.6521818041801453,0.26037606596946716,0.27186259627342224,0.3194787800312042,0.25814583897590637
attempts,0.192328080534935,0.3429032266139984,0.27231332659721375,0.10268425196409225,0.11427243053913116,0.1822185218334198,0.09428907185792923
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.23355519771575928,0.18474817276000977,0.2774736285209656,0.29463258385658264
gauge,0.27817800641059875,0.22042140364646912,0.20929455757141113,0.14481008052825928,0.21891506016254425,0.3107367157936096,0.2129381000995636
the,0.42745697498321533,0.35928019881248474,1.0,0.26674386858940125,0.1833842247724533,0.2528008222579956,0.22068053483963013
prevalence,0.2787725627422333,0.2454887479543686,0.33086124062538147,0.25054439902305603,0.2709014415740967,0.34661340713500977,0.19084396958351135
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.285090833902359,0.19989530742168427,0.22469913959503174,0.1826142966747284
public,0.1729622185230255,0.18710975348949432,0.22857438027858734,0.26756399869918823,0.186550572514534,0.2284899353981018,0.19872993230819702
sector,0.18244388699531555,0.18398194015026093,0.27798449993133545,0.3478558659553528,0.22827476263046265,0.20933933556079865,0.06294605135917664
corruption,0.20003895461559296,0.18393801152706146,0.23319530487060547,0.3864904046058655,0.14192135632038116,0.1857839971780777,0.16485145688056946
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.21718299388885498,0.2105615884065628,0.17892111837863922,0.20430970191955566
various,0.26045072078704834,0.21168746054172516,0.3235042691230774,0.19911880791187286,0.18714143335819244,0.2970253527164459,0.12823495268821716
countries,0.22319257259368896,0.2621564269065857,0.33290645480155945,0.29811275005340576,0.18017777800559998,0.2341374158859253,0.15128466486930847
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.2986461818218231,0.23170605301856995,0.23919615149497986,0.4130953550338745
