,what,was,the,occupation,of,tesla,'s,father,?
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.21372483670711517,0.38364991545677185,0.1580733060836792,0.047556519508361816,0.5241755247116089,0.18075084686279297
father,0.21527598798274994,0.3492507338523865,0.24010279774665833,0.1920502483844757,0.22142449021339417,0.08892767131328583,0.029256420210003853,1.0,0.14826634526252747
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28664809465408325,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.30597206950187683,0.31091248989105225
milutin,0.15894187986850739,0.23261001706123352,0.19717852771282196,0.17702935636043549,0.20297259092330933,0.39255380630493164,0.037752315402030945,0.19130650162696838,0.15096595883369446
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.11121876537799835,0.18837453424930573,0.9999999403953552,0.06449045985937119,0.08892767131328583,0.10250775516033173
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28664809465408325,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.30597206950187683,0.31091248989105225
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2635958790779114,0.4069072902202606,0.16455206274986267,0.008974763564765453,0.3492507338523865,0.18412111699581146
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.22733436524868011,0.5052502155303955,0.2211925983428955,0.04866964742541313,0.22525158524513245,0.23916715383529663
serbian,0.17299731075763702,0.20167015492916107,0.18273192644119263,0.1716488003730774,0.17775380611419678,0.3454362452030182,0.08339866995811462,0.11830629408359528,0.11544056981801987
orthodox,0.21725283563137054,0.2057921141386032,0.22059780359268188,0.14666345715522766,0.24173015356063843,0.2568820118904114,0.030631132423877716,0.20080924034118652,0.20826838910579681
priest,0.1868823766708374,0.2762300968170166,0.17071814835071564,0.20978812873363495,0.18239139020442963,0.1718987375497818,-0.005394737236201763,0.32090815901756287,0.1474698781967163
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.20114995539188385,0.5352458953857422,0.17949827015399933,-0.003708066651597619,0.2509099841117859,0.4130953550338745
