,when,did,the,lightening,event,happen,?
he,0.39115971326828003,0.3292143940925598,0.4571082592010498,0.16323813796043396,0.1895945519208908,0.2564277946949005,0.2089974731206894
later,0.4627884030342102,0.38386887311935425,0.4060266613960266,0.16423657536506653,0.2149524986743927,0.16813412308692932,0.1417175978422165
attributed,0.13573282957077026,0.19394554197788239,0.21220806241035461,0.18492522835731506,0.2091154307126999,0.189396470785141,0.20030178129673004
his,0.37120407819747925,0.3546801507472992,0.4394008219242096,0.22534719109535217,0.15559807419776917,0.17983320355415344,0.18075084686279297
decision,0.2485322803258896,0.285696417093277,0.2905151844024658,0.17619988322257996,0.22917777299880981,0.2109837681055069,0.2796577215194702
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.24746869504451752,0.2585321366786957,0.25324898958206177,0.29463258385658264
an,0.33026179671287537,0.22598257660865784,0.4207492768764496,0.21683938801288605,0.188729926943779,0.2145266830921173,0.19793890416622162
event,0.2685905992984772,0.17957442998886108,0.2960145175457001,0.16586503386497498,0.9999998807907104,0.3302316963672638,0.16076280176639557
:,-0.04432349652051926,-0.05305134505033493,-0.03403344005346298,-0.07430066168308258,0.09566562622785568,-0.07625458389520645,-0.07156077772378922
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.15284067392349243,0.21758322417736053,0.24566106498241425,0.2714994251728058
2,-0.02478109858930111,-0.044790901243686676,-0.019434669986367226,-0.015898924320936203,-0.016114728525280952,0.09589692950248718,0.001977203879505396
july,0.24211758375167847,0.25485745072364807,0.2371699959039688,0.09050498902797699,0.18267126381397247,0.193965345621109,0.2897891402244568
1505,0.16491824388504028,0.13532480597496033,0.19165833294391632,0.019714564085006714,0.09681414067745209,0.07196977734565735,0.16973243653774261
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.20392367243766785,0.22701776027679443,0.25441640615463257,0.31091248989105225
he,0.39115971326828003,0.3292143940925598,0.4571082592010498,0.16323813796043396,0.1895945519208908,0.2564277946949005,0.2089974731206894
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.12235274910926819,0.28341150283813477,0.1582590490579605,0.18412111699581146
returning,0.3320828080177307,0.20950084924697876,0.3807036876678467,0.20091849565505981,0.17843762040138245,0.1975216567516327,0.14488300681114197
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.24746869504451752,0.2585321366786957,0.25324898958206177,0.29463258385658264
university,0.20851898193359375,0.15114416182041168,0.263973206281662,0.08345047384500504,0.18936015665531158,0.12413594871759415,0.11887256056070328
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.15284067392349243,0.21758322417736053,0.24566106498241425,0.2714994251728058
horseback,0.2505432963371277,0.1912919282913208,0.24476934969425201,0.24381159245967865,0.23209422826766968,0.2216341346502304,0.0850277692079544
after,0.5331412553787231,0.30330467224121094,0.4565047025680542,0.18412832915782928,0.2552187740802765,0.26518890261650085,0.16608688235282898
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.24789881706237793,0.2635729908943176,0.27358970046043396,0.23916715383529663
trip,0.2435750961303711,0.17639218270778656,0.2299763560295105,0.1816161423921585,0.2625032663345337,0.201812744140625,0.09162633121013641
home,0.24208083748817444,0.17098017036914825,0.28978195786476135,0.11285035312175751,0.16497920453548431,0.18439333140850067,0.0757145956158638
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.206736758351326,0.2068977802991867,0.2506430745124817,0.4130953550338745
