,what,does,quadratic,reciprocity,seek,to,achieve,?
for,0.3017193675041199,0.35159170627593994,0.1951127052307129,0.3065492510795593,0.2794013023376465,0.4451248347759247,0.2848595082759857,0.264628142118454
example,0.3456268310546875,0.3593006134033203,0.2928798496723175,0.37329018115997314,0.24526189267635345,0.3451666533946991,0.2581345736980438,0.30374911427497864
",",0.3087472915649414,0.28617382049560547,0.20080609619617462,0.2818882465362549,0.2198648303747177,0.44245919585227966,0.17202849686145782,0.31091248989105225
prime,0.15586113929748535,0.19604897499084473,0.1655678153038025,0.23493212461471558,0.23018094897270203,0.2015804797410965,0.13639526069164276,0.11276303976774216
ideals,0.28476682305336,0.21892738342285156,0.29978683590888977,0.4347091615200043,0.32673725485801697,0.2979855537414551,0.3960192799568176,0.05933374539017677
in,0.30808621644973755,0.214483380317688,0.19246864318847656,0.2063232958316803,0.1813114583492279,0.45010748505592346,0.17567327618598938,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.24549010396003723,0.24901801347732544,0.24523614346981049,0.535392165184021,0.23965083062648773,0.22068053483963013
ring,0.19784773886203766,0.1262059509754181,0.19006836414337158,0.1968219131231308,0.08484673500061035,0.20997555553913116,0.08672091364860535,0.054174330085515976
of,0.33290785551071167,0.3119818866252899,0.26294127106666565,0.26470425724983215,0.2027195245027542,0.41548454761505127,0.24381192028522491,0.1826142966747284
integers,0.2691354751586914,0.2733370065689087,0.5046853423118591,0.493215948343277,0.16968342661857605,0.22159059345722198,0.24484437704086304,0.2591196596622467
of,0.33290785551071167,0.3119818866252899,0.26294127106666565,0.26470425724983215,0.2027195245027542,0.41548454761505127,0.24381192028522491,0.1826142966747284
quadratic,0.217502161860466,0.2114759385585785,1.0,0.4461703598499298,0.13318178057670593,0.25521495938301086,0.30255699157714844,0.1588403880596161
number,0.23046229779720306,0.1831183135509491,0.3031550943851471,0.3559103310108185,0.19188804924488068,0.2706126868724823,0.24077394604682922,0.19256845116615295
fields,0.14054246246814728,0.17121411859989166,0.17770129442214966,0.2314382791519165,0.15577776730060577,0.24277333915233612,0.192819744348526,0.1411406248807907
can,0.34502777457237244,0.5156301856040955,0.2940922677516937,0.31467247009277344,0.2392556369304657,0.4979398250579834,0.2673318386077881,0.3226337134838104
be,0.3929833769798279,0.28696945309638977,0.2542339861392975,0.33809369802474976,0.2981763780117035,0.4972836375236511,0.3297910988330841,0.3324260413646698
used,0.27546408772468567,0.3498048484325409,0.22345326840877533,0.2608536183834076,0.22861413657665253,0.40058770775794983,0.22174489498138428,0.22430120408535004
in,0.30808621644973755,0.214483380317688,0.19246864318847656,0.2063232958316803,0.1813114583492279,0.45010748505592346,0.17567327618598938,0.20430970191955566
proving,0.35093116760253906,0.2560551166534424,0.2602680027484894,0.3948476314544678,0.2590321898460388,0.30774515867233276,0.3187549412250519,0.3045685887336731
quadratic,0.217502161860466,0.2114759385585785,1.0,0.4461703598499298,0.13318178057670593,0.25521495938301086,0.30255699157714844,0.1588403880596161
reciprocity,0.31352582573890686,0.27087119221687317,0.4461703598499298,1.0,0.24094751477241516,0.2936464846134186,0.34446775913238525,0.2629900276660919
",",0.3087472915649414,0.28617382049560547,0.20080609619617462,0.2818882465362549,0.2198648303747177,0.44245919585227966,0.17202849686145782,0.31091248989105225
a,0.3320399522781372,0.38201746344566345,0.28062862157821655,0.27767279744148254,0.24095171689987183,0.45503583550453186,0.2424013465642929,0.23916715383529663
statement,0.39422667026519775,0.2752396762371063,0.26834288239479065,0.43693798780441284,0.2867676019668579,0.29286426305770874,0.22684869170188904,0.28978636860847473
that,0.6297725439071655,0.4764937460422516,0.26885998249053955,0.3501458466053009,0.31273263692855835,0.5436353087425232,0.27494412660598755,0.32716336846351624
concerns,0.345258891582489,0.27871835231781006,0.11163093894720078,0.3564811646938324,0.28125810623168945,0.3080695569515228,0.26316002011299133,0.3555730879306793
the,0.42745697498321533,0.35928019881248474,0.24549010396003723,0.24901801347732544,0.24523614346981049,0.535392165184021,0.23965083062648773,0.22068053483963013
solvability,0.38176417350769043,0.3546675741672516,0.46084967255592346,0.5702229142189026,0.3148598074913025,0.33553120493888855,0.39321979880332947,0.2895475924015045
of,0.33290785551071167,0.3119818866252899,0.26294127106666565,0.26470425724983215,0.2027195245027542,0.41548454761505127,0.24381192028522491,0.1826142966747284
quadratic,0.217502161860466,0.2114759385585785,1.0,0.4461703598499298,0.13318178057670593,0.25521495938301086,0.30255699157714844,0.1588403880596161
equations,0.26397332549095154,0.22553524374961853,0.5822145938873291,0.5747010707855225,0.16767635941505432,0.24253343045711517,0.2604507505893707,0.2186179906129837
