,how,many,teachers,were,found,to,have,felt,occupational,stress,in,a,2000,study,?
a,0.29312583804130554,0.2872205972671509,0.2509842813014984,0.17203083634376526,0.2869448959827423,0.45503583550453186,0.338716596364975,0.24427424371242523,0.24232584238052368,0.2622493505477905,0.539380669593811,1.0,-0.03899485245347023,0.2268155962228775,0.23916715383529663
2000,-0.07386910915374756,-0.06041426211595535,-0.001075909473001957,-0.09347672015428543,-0.1686248481273651,-0.05413077399134636,-0.12468268722295761,-0.062466368079185486,0.0022214774508029222,-0.12880350649356842,-0.0435720756649971,-0.03899485245347023,1.0,-0.11384295672178268,-0.0824366956949234
study,0.2640102803707123,0.30255988240242004,0.39217743277549744,0.20556800067424774,0.27707019448280334,0.3326032757759094,0.262853741645813,0.14580684900283813,0.20818473398685455,0.23551760613918304,0.2875489294528961,0.2268155962228775,-0.11384295672178268,1.0,0.15902167558670044
found,0.12975606322288513,0.27700337767601013,0.1216108575463295,0.23296621441841125,0.9999999403953552,0.25225648283958435,0.32803434133529663,0.20942804217338562,0.06654103845357895,0.19137585163116455,0.39141854643821716,0.2869448959827423,-0.1686248481273651,0.27707019448280334,0.16790300607681274
that,0.557814359664917,0.5391656160354614,0.24071024358272552,0.35517072677612305,0.29063743352890015,0.5436353087425232,0.6182622313499451,0.4182562828063965,0.16498081386089325,0.3288060426712036,0.435920387506485,0.47537946701049805,-0.12745219469070435,0.31241273880004883,0.32716336846351624
42,-0.03820109739899635,-0.09037695825099945,-0.08915583044290543,-0.18648697435855865,-0.1643163561820984,-0.1279347687959671,-0.036080632358789444,-0.041380565613508224,-0.03129914775490761,0.010255877859890461,-0.1243850365281105,-0.0976838618516922,0.26269927620887756,-0.050802335143089294,-0.04003704711794853
%,0.1237400695681572,0.24948352575302124,0.12571024894714355,0.21132414042949677,0.19549022614955902,0.18513022363185883,0.25054386258125305,0.16204240918159485,0.09074880927801132,0.17008501291275024,0.19465309381484985,0.17798779904842377,-0.165690615773201,0.1986040472984314,0.21441808342933655
of,0.2480744868516922,0.37253960967063904,0.27737662196159363,0.34038281440734863,0.2982911467552185,0.41548454761505127,0.3802283704280853,0.2637780010700226,0.26960793137550354,0.1941838562488556,0.5696388483047485,0.5052502155303955,0.010344067588448524,0.29377859830856323,0.1826142966747284
uk,0.14388126134872437,0.18414634466171265,0.19032293558120728,0.1418052315711975,0.10293024033308029,0.18409153819084167,0.1696256846189499,0.053401052951812744,0.16974414885044098,0.14722706377506256,0.2261405885219574,0.19665123522281647,-0.02562517113983631,0.17457589507102966,0.20222434401512146
teachers,0.24127359688282013,0.29123616218566895,1.0,0.26511338353157043,0.1216108575463295,0.2668606638908386,0.25109589099884033,0.2323337346315384,0.17093400657176971,0.23215338587760925,0.2128150761127472,0.2509842813014984,-0.001075909473001957,0.39217743277549744,0.19522249698638916
experienced,0.33243289589881897,0.33156436681747437,0.2897479832172394,0.25611475110054016,0.18671438097953796,0.28612127900123596,0.3878210484981537,0.36622747778892517,0.2516024708747864,0.3904794752597809,0.25524765253067017,0.2929893136024475,-0.1544974148273468,0.19499561190605164,0.23420310020446777
occupational,0.1557747721672058,0.22386568784713745,0.17093400657176971,0.1358000636100769,0.06654103845357895,0.2024950236082077,0.14736200869083405,0.11047496646642685,1.0,0.23412597179412842,0.20106375217437744,0.24232584238052368,0.0022214774508029222,0.20818473398685455,0.12401652336120605
stress,0.39284631609916687,0.2596989572048187,0.23215338587760925,0.1272401064634323,0.19137585163116455,0.2759045660495758,0.3092123866081238,0.3099672794342041,0.23412597179412842,1.0000001192092896,0.1894814521074295,0.2622493505477905,-0.12880350649356842,0.23551760613918304,0.2845553457736969
",",0.22659391164779663,0.40610817074775696,0.28049156069755554,0.36755475401878357,0.27385151386260986,0.44245919585227966,0.3541618287563324,0.22533172369003296,0.25699102878570557,0.17927385866641998,0.5201468467712402,0.427140474319458,-0.03465369716286659,0.26425549387931824,0.31091248989105225
twice,0.21883222460746765,0.24584728479385376,0.05982029810547829,0.20974010229110718,0.09711216390132904,0.28163591027259827,0.3209523856639862,0.17398911714553833,0.09227161854505539,0.19804176688194275,0.2796696126461029,0.3332133889198303,-0.038711920380592346,0.02055875025689602,0.16248004138469696
the,0.33890387415885925,0.4335206151008606,0.22025763988494873,0.3906462490558624,0.3452354073524475,0.535392165184021,0.40389683842658997,0.28054580092430115,0.1973530650138855,0.18694822490215302,0.6662389636039734,0.5829201340675354,-0.015081177465617657,0.2533665597438812,0.22068053483963013
figure,0.20188391208648682,0.17766356468200684,0.178865447640419,0.1575658768415451,0.14150524139404297,0.24264496564865112,0.21416419744491577,0.1638604700565338,0.09349486976861954,0.11879671365022659,0.17097173631191254,0.2584710121154785,-0.05476446822285652,0.20281338691711426,0.21107101440429688
