,what,is,sometimes,used,interchangeably,with,'plastids,',?
chloroplasts,0.2524593770503998,0.22550933063030243,0.256771057844162,0.2784005403518677,0.3580988049507141,0.20506612956523895,0.7756957411766052,0.0804409459233284,0.13049766421318054
are,0.29724663496017456,0.5330929756164551,0.47411349415779114,0.3322218656539917,0.34242957830429077,0.38996943831443787,0.4308969974517822,0.24618251621723175,0.24591213464736938
a,0.3320399522781372,0.658733606338501,0.3788676857948303,0.3864384889602661,0.2615652084350586,0.3783375024795532,0.22346307337284088,0.48837921023368835,0.23916715383529663
special,0.24134232103824615,0.24467575550079346,0.30309370160102844,0.3315860331058502,0.20878607034683228,0.21461334824562073,0.21671190857887268,0.2120349407196045,0.29623302817344666
type,0.2722663879394531,0.3053323030471802,0.29955020546913147,0.30943769216537476,0.23031304776668549,0.1964726597070694,0.2600064277648926,0.2414226084947586,0.17536182701587677
of,0.33290785551071167,0.4854315221309662,0.296434611082077,0.3075267970561981,0.22699366509914398,0.41827285289764404,0.2548666000366211,0.39136970043182373,0.1826142966747284
a,0.3320399522781372,0.658733606338501,0.3788676857948303,0.3864384889602661,0.2615652084350586,0.3783375024795532,0.22346307337284088,0.48837921023368835,0.23916715383529663
plant,0.23371253907680511,0.2497083991765976,0.20556187629699707,0.2594970166683197,0.2757309079170227,0.18355664610862732,0.4341588616371155,0.1842418760061264,0.16613075137138367
cell,0.19222842156887054,0.15086454153060913,0.12297125160694122,0.2123207300901413,0.2300557792186737,0.21242906153202057,0.5078505277633667,0.16274116933345795,0.2058541625738144
organelle,0.22775481641292572,0.21754199266433716,0.22071576118469238,0.2264638990163803,0.3351779878139496,0.21552354097366333,0.6716241836547852,0.1819601058959961,0.18244005739688873
called,0.3235960602760315,0.430266410112381,0.575774610042572,0.46930378675460815,0.3354436755180359,0.3139074146747589,0.27179229259490967,0.32882311940193176,0.18963319063186646
a,0.3320399522781372,0.658733606338501,0.3788676857948303,0.3864384889602661,0.2615652084350586,0.3783375024795532,0.22346307337284088,0.48837921023368835,0.23916715383529663
plastid,0.21447217464447021,0.23850545287132263,0.2121153473854065,0.28675493597984314,0.3291891813278198,0.21166199445724487,0.8684515357017517,0.14858783781528473,0.2178892344236374
",",0.3087472915649414,0.4691906273365021,0.26600122451782227,0.3120402991771698,0.21919627487659454,0.4120737314224243,0.22689993679523468,0.5178600549697876,0.31091248989105225
though,0.4089210331439972,0.3265945613384247,0.41512879729270935,0.34601661562919617,0.33070746064186096,0.40347301959991455,0.30124565958976746,0.2913760840892792,0.3188856542110443
the,0.42745697498321533,0.5823672413825989,0.35816407203674316,0.3718377649784088,0.27367931604385376,0.4223487675189972,0.21779857575893402,0.474788099527359,0.22068053483963013
two,0.23363454639911652,0.2315155267715454,0.30163514614105225,0.226744145154953,0.3003074526786804,0.4333336651325226,0.27727383375167847,0.23614099621772766,0.19645625352859497
terms,0.23885610699653625,0.27452221512794495,0.31740760803222656,0.2983282804489136,0.3584411144256592,0.2213757187128067,0.2128649204969406,0.19464972615242004,0.23466452956199646
are,0.29724663496017456,0.5330929756164551,0.47411349415779114,0.3322218656539917,0.34242957830429077,0.38996943831443787,0.4308969974517822,0.24618251621723175,0.24591213464736938
sometimes,0.34229418635368347,0.3757973313331604,1.0,0.4974112808704376,0.3454926609992981,0.30637601017951965,0.2521442770957947,0.2577055096626282,0.1751544177532196
used,0.27546408772468567,0.3288823366165161,0.4974112808704376,0.9999998807907104,0.39415594935417175,0.3047430217266083,0.26007887721061707,0.24871127307415009,0.22430120408535004
interchangeably,0.29129138588905334,0.2722955644130707,0.3454926609992981,0.39415594935417175,0.9999999403953552,0.26588788628578186,0.4039958715438843,0.11465315520763397,0.15472042560577393
.,0.3567904531955719,0.4569662809371948,0.24956031143665314,0.33111312985420227,0.18170131742954254,0.4446153938770294,0.2662709951400757,0.4806240200996399,0.4130953550338745
