,what,year,did,the,flood,that,impacted,the,meuse,take,place,?
before,0.3801657259464264,0.3268006145954132,0.33642593026161194,0.45900648832321167,0.22301658987998962,0.40745505690574646,0.26574158668518066,0.45900648832321167,0.13810652494430542,0.32708418369293213,0.3037356436252594,0.2507109045982361
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.2599719166755676,0.5473989248275757,0.2348020076751709,1.0,0.28249096870422363,0.31620436906814575,0.4179787337779999,0.22068053483963013
st.,0.10219959169626236,0.1594112664461136,0.11965964734554291,0.18141359090805054,0.13204973936080933,0.13783733546733856,0.07778742909431458,0.18141359090805054,0.19845344126224518,0.20895522832870483,0.2508637011051178,0.13592876493930817
elizabeth,0.18697009980678558,0.19269128143787384,0.19351956248283386,0.19892844557762146,0.1532786786556244,0.19957835972309113,0.14801448583602905,0.19892844557762146,0.07596897333860397,0.13114361464977264,0.10649178177118301,0.157150536775589
's,0.02692362666130066,-0.04087831452488899,0.05069678649306297,-0.01540423184633255,0.04508885741233826,0.04397977516055107,0.00119389605242759,-0.01540423184633255,0.036204323172569275,0.02030942589044571,-0.03236493840813637,-0.023395681753754616
flood,0.23546519875526428,0.11906147748231888,0.18059535324573517,0.2599719166755676,1.0000001192092896,0.26890191435813904,0.2839801609516144,0.2599719166755676,0.2012663632631302,0.2490951120853424,0.18418936431407928,0.2279077023267746
(,0.2411840260028839,0.2556702494621277,0.18979617953300476,0.33289089798927307,0.19329702854156494,0.2264307141304016,0.19812548160552979,0.33289089798927307,0.21577869355678558,0.21149633824825287,0.20666886866092682,0.40561532974243164
1421,-0.14201338589191437,-0.027206283062696457,-0.1887500137090683,0.04676410183310509,-0.094045490026474,-0.2792644798755646,-0.13976478576660156,0.04676410183310509,0.2381410002708435,-0.15452538430690765,-0.05580819398164749,-0.17428839206695557
),0.26259949803352356,0.24282371997833252,0.18584993481636047,0.3456730246543884,0.17958250641822815,0.23478686809539795,0.18384158611297607,0.3456730246543884,0.21203434467315674,0.198357492685318,0.2269994467496872,0.42300865054130554
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.2639766335487366,0.4137537479400635,0.27414676547050476,0.4933079481124878,0.21688565611839294,0.2881867289543152,0.34068408608436584,0.31091248989105225
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.2599719166755676,0.5473989248275757,0.2348020076751709,1.0,0.28249096870422363,0.31620436906814575,0.4179787337779999,0.22068053483963013
meuse,0.1806630939245224,0.13409323990345,0.14388921856880188,0.28249096870422363,0.2012663632631302,0.15436972677707672,0.16147145628929138,0.28249096870422363,0.9999999403953552,0.13956505060195923,0.19492360949516296,0.21687322854995728
flowed,0.1444557160139084,0.19380958378314972,0.17890195548534393,0.3597415089607239,0.37243786454200745,0.23137310147285461,0.29657453298568726,0.3597415089607239,0.2745228111743927,0.19222711026668549,0.2323225438594818,0.13853344321250916
just,0.5854880809783936,0.2434857338666916,0.38283270597457886,0.40061673521995544,0.2925576865673065,0.6540043354034424,0.24632059037685394,0.40061673521995544,0.21334096789360046,0.37516286969184875,0.3162718117237091,0.4144178032875061
