,was,the,school,officially,associated,with,any,denomination,?
it,0.4577186405658722,0.6251175999641418,0.22964634001255035,0.36518555879592896,0.141479954123497,0.3369046747684479,0.4118892550468445,0.23501059412956238,0.25732165575027466
offered,0.39858749508857727,0.270993173122406,0.20007044076919556,0.21273161470890045,0.13830775022506714,0.2676067352294922,0.25183579325675964,0.21869739890098572,0.22244536876678467
a,0.4508470594882965,0.5829201340675354,0.2245093584060669,0.2489907592535019,0.22056666016578674,0.3783375024795532,0.45031747221946716,0.262037992477417,0.23916715383529663
classic,0.20978301763534546,0.2647959589958191,0.17194195091724396,0.10301893949508667,0.1791878193616867,0.2326657623052597,0.19485712051391602,0.0596250519156456,0.2044331431388855
curriculum,0.13101807236671448,0.21278034150600433,0.478081077337265,0.19081206619739532,0.08709818124771118,0.134463369846344,0.18478068709373474,0.3077470064163208,0.24092517793178558
on,0.3909217119216919,0.5107308030128479,0.2388053983449936,0.27121078968048096,0.17161807417869568,0.40749499201774597,0.2894362509250641,0.15491412580013275,0.2714994251728058
the,0.48711544275283813,1.0,0.22953221201896667,0.36343514919281006,0.2742886245250702,0.4223487675189972,0.4525727927684784,0.26250898838043213,0.22068053483963013
english,0.23000946640968323,0.23982001841068268,0.22081100940704346,0.11960151046514511,0.1149151623249054,0.1562870889902115,0.18559086322784424,0.10170412808656693,0.23251567780971527
university,0.290752112865448,0.263973206281662,0.48676231503486633,0.2495417594909668,0.1689988076686859,0.13264121115207672,0.15254807472229004,0.1925671398639679,0.11887256056070328
model—​​many,0.30235543847084045,0.35067546367645264,0.24716119468212128,0.284249484539032,0.1882564127445221,0.22175846993923187,0.24725177884101868,0.17143884301185608,0.18190807104110718
leaders,0.2612215280532837,0.3157886564731598,0.19403377175331116,0.2692543566226959,0.19262243807315826,0.1706031709909439,0.18190336227416992,0.29343533515930176,0.13927052915096283
in,0.45514053106307983,0.6662389636039734,0.26157811284065247,0.33332085609436035,0.23328746855258942,0.4080928862094879,0.3135753571987152,0.19585151970386505,0.20430970191955566
the,0.48711544275283813,1.0,0.22953221201896667,0.36343514919281006,0.2742886245250702,0.4223487675189972,0.4525727927684784,0.26250898838043213,0.22068053483963013
colony,0.25879696011543274,0.2740810811519623,0.19971419870853424,0.2191966027021408,0.06249077990651131,0.08242885023355484,0.18219497799873352,0.21630112826824188,0.13831071555614471
had,0.5927209258079529,0.3875846862792969,0.20507600903511047,0.24255894124507904,0.21185384690761566,0.4739086329936981,0.3212728202342987,0.13147364556789398,0.20728366076946259
attended,0.3633120656013489,0.2369099110364914,0.6139854788780212,0.23333023488521576,0.16372761130332947,0.15754644572734833,0.07609207928180695,0.2025619000196457,0.08268529176712036
the,0.48711544275283813,1.0,0.22953221201896667,0.36343514919281006,0.2742886245250702,0.4223487675189972,0.4525727927684784,0.26250898838043213,0.22068053483963013
university,0.290752112865448,0.263973206281662,0.48676231503486633,0.2495417594909668,0.1689988076686859,0.13264121115207672,0.15254807472229004,0.1925671398639679,0.11887256056070328
of,0.4069072902202606,0.733189046382904,0.2391800880432129,0.27491217851638794,0.3077163100242615,0.41827285289764404,0.3769088089466095,0.2670862376689911,0.1826142966747284
cambridge—​​but,0.2593873143196106,0.24861711263656616,0.2586917281150818,0.18862877786159515,0.16660010814666748,0.15835405886173248,0.2034720480442047,0.18081745505332947,0.18088383972644806
conformed,0.23398524522781372,0.28499260544776917,0.13810154795646667,0.3218609392642975,0.261535108089447,0.32463425397872925,0.2704664170742035,0.37377607822418213,0.2024557739496231
puritanism,0.21223115921020508,0.20426256954669952,0.16665630042552948,0.19089846312999725,0.2582959830760956,0.17165544629096985,0.2636182904243469,0.4787019193172455,0.21880358457565308
.,0.40146201848983765,0.5934505462646484,0.24214158952236176,0.2769482433795929,0.2184346318244934,0.4446153938770294,0.39295488595962524,0.2725091278553009,0.4130953550338745
,was,the,school,officially,associated,with,any,denomination,?
it,0.4577186405658722,0.6251175999641418,0.22964634001255035,0.36518555879592896,0.141479954123497,0.3369046747684479,0.4118892550468445,0.23501059412956238,0.25732165575027466
