,what,is,the,name,of,the,satellite,that,measured,the,amount,of,dust,?
nasa,0.21178755164146423,0.16681714355945587,0.19786997139453888,0.10214539617300034,0.17935146391391754,0.19786997139453888,0.4262261390686035,0.26653343439102173,0.22957336902618408,0.19786997139453888,0.19989699125289917,0.17935146391391754,0.3085649311542511,0.1809994876384735
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.08507627248764038,-0.03817026689648628,-0.01540423184633255,0.1227913498878479,0.04397977516055107,-0.01571306400001049,-0.01540423184633255,0.051227446645498276,-0.03817026689648628,-0.038515426218509674,-0.023395681753754616
calipso,0.2718275785446167,0.26405012607574463,0.31254130601882935,0.23637527227401733,0.2694573700428009,0.31254130601882935,0.2711276412010193,0.27075010538101196,0.2540299594402313,0.31254130601882935,0.19801068305969238,0.2694573700428009,0.25767600536346436,0.2649646997451782
satellite,0.17739586532115936,0.19278542697429657,0.22563834488391876,0.16699890792369843,0.1683834195137024,0.22563834488391876,0.9999999403953552,0.21998104453086853,0.2683982253074646,0.22563834488391876,0.12078920006752014,0.1683834195137024,0.29698875546455383,0.13568443059921265
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.2698039710521698,0.3909035325050354,0.4177538752555847,0.13467611372470856,0.41272613406181335,0.20514222979545593,0.4177538752555847,0.306355357170105,0.3909035325050354,0.14267772436141968,0.15994466841220856
measured,0.23318471014499664,0.2770887017250061,0.279002845287323,0.12895157933235168,0.26447921991348267,0.279002845287323,0.2683982253074646,0.2979315221309662,1.0000001192092896,0.279002845287323,0.4279309809207916,0.26447921991348267,0.23971869051456451,0.17351430654525757
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22563834488391876,0.5473989248275757,0.279002845287323,1.0,0.3336862325668335,0.733189046382904,0.2346910536289215,0.22068053483963013
amount,0.2602839767932892,0.3016021251678467,0.3336862325668335,0.1334105134010315,0.2541177570819855,0.3336862325668335,0.12078920006752014,0.3969508707523346,0.4279309809207916,0.3336862325668335,1.0000001192092896,0.2541177570819855,0.2806089520454407,0.17984020709991455
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.1683834195137024,0.41498205065727234,0.26447921991348267,0.733189046382904,0.2541177570819855,1.0,0.25486329197883606,0.1826142966747284
dust,0.1907336562871933,0.17347866296768188,0.2346910536289215,0.11548902094364166,0.25486329197883606,0.2346910536289215,0.29698875546455383,0.26238390803337097,0.23971869051456451,0.2346910536289215,0.2806089520454407,0.25486329197883606,1.0,0.15803812444210052
transported,0.17293962836265564,0.18983562290668488,0.2550795376300812,0.06965040415525436,0.26284846663475037,0.2550795376300812,0.14126485586166382,0.2946196496486664,0.2812153398990631,0.2550795376300812,0.23297442495822906,0.26284846663475037,0.21931618452072144,0.1354173868894577
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.25480157136917114,0.3646814823150635,0.4408751428127289,0.1882091760635376,0.37496164441108704,0.2737140357494354,0.4408751428127289,0.19143085181713104,0.3646814823150635,0.1268737018108368,0.17966607213020325
wind,0.2056615948677063,0.1986788511276245,0.2338196188211441,0.06730733066797256,0.22346341609954834,0.2338196188211441,0.21244357526302338,0.19486463069915771,0.2933620512485504,0.2338196188211441,0.1736099123954773,0.22346341609954834,0.36152732372283936,0.17669273912906647
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.2635002136230469,0.4249346852302551,0.40150508284568787,0.2617102265357971,0.3477667272090912,0.2360648363828659,0.40150508284568787,0.26152533292770386,0.4249346852302551,0.21349763870239258,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22563834488391876,0.5473989248275757,0.279002845287323,1.0,0.3336862325668335,0.733189046382904,0.2346910536289215,0.22068053483963013
sahara,0.24191512167453766,0.19219167530536652,0.23516924679279327,0.15456248819828033,0.17664550244808197,0.23516924679279327,0.20361272990703583,0.22486364841461182,0.13201680779457092,0.23516924679279327,0.1894545555114746,0.17664550244808197,0.28134268522262573,0.17314527928829193
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.19631412625312805,0.5436353087425232,0.20595905184745789,0.535392165184021,0.309798926115036,0.41548454761505127,0.26756495237350464,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22563834488391876,0.5473989248275757,0.279002845287323,1.0,0.3336862325668335,0.733189046382904,0.2346910536289215,0.22068053483963013
amazon,0.16355936229228973,0.15197539329528809,0.260541707277298,0.11814214289188385,0.20143137872219086,0.260541707277298,0.12525847554206848,0.2228476107120514,0.1639031171798706,0.260541707277298,0.1940114051103592,0.20143137872219086,0.13802170753479004,0.18144656717777252
:,-0.12022944539785385,-0.07222653180360794,-0.03403344005346298,-0.0774015560746193,-0.08807745575904846,-0.03403344005346298,-0.09316598623991013,-0.12200210988521576,-0.07392064481973648,-0.03403344005346298,-0.03821036219596863,-0.08807745575904846,-0.13309550285339355,-0.07156077772378922
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.22033736109733582,0.32280945777893066,0.4207492768764496,0.15826226770877838,0.365763783454895,0.1947242021560669,0.4207492768764496,0.25767290592193604,0.32280945777893066,0.17542733252048492,0.19793890416622162
average,0.24068789184093475,0.2669461667537689,0.27058175206184387,0.11387329548597336,0.23717734217643738,0.27058175206184387,0.16067804396152496,0.2513456642627716,0.3696230351924896,0.27058175206184387,0.41291627287864685,0.23717734217643738,0.16783887147903442,0.21764592826366425
182,-0.04681291803717613,0.04766252636909485,0.03700842335820198,0.022916069254279137,-0.022202739492058754,0.03700842335820198,-0.008805311284959316,0.014717614278197289,-0.03495508432388306,0.03700842335820198,0.03522701933979988,-0.022202739492058754,-0.0033743770327419043,-0.048216577619314194
million,0.22197039425373077,0.19962359964847565,0.277012437582016,0.1288416087627411,0.21686489880084991,0.277012437582016,0.22081425786018372,0.2637370228767395,0.2135595977306366,0.277012437582016,0.3056185245513916,0.21686489880084991,0.19205474853515625,0.23092924058437347
tons,0.15041828155517578,0.19309166073799133,0.20730508863925934,0.10389826446771622,0.19702266156673431,0.20730508863925934,0.06889510154724121,0.2261660397052765,0.3513738811016083,0.20730508863925934,0.3637048304080963,0.19702266156673431,0.2439376562833786,0.19717051088809967
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.1683834195137024,0.41498205065727234,0.26447921991348267,0.733189046382904,0.2541177570819855,1.0,0.25486329197883606,0.1826142966747284
dust,0.1907336562871933,0.17347866296768188,0.2346910536289215,0.11548902094364166,0.25486329197883606,0.2346910536289215,0.29698875546455383,0.26238390803337097,0.23971869051456451,0.2346910536289215,0.2806089520454407,0.25486329197883606,1.0,0.15803812444210052
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.17349179089069366,0.39081433415412903,0.40399202704429626,0.12365440279245377,0.45265161991119385,0.24699005484580994,0.40399202704429626,0.2873819172382355,0.39081433415412903,0.2122032791376114,0.24591213464736938
windblown,0.2304677665233612,0.248886838555336,0.3168978691101074,0.2836463451385498,0.2747642695903778,0.3168978691101074,0.22122317552566528,0.3038787245750427,0.30358463525772095,0.3168978691101074,0.20405791699886322,0.2747642695903778,0.36643874645233154,0.2240144908428192
out,0.3633197546005249,0.2817855477333069,0.39404502511024475,0.18450941145420074,0.34176841378211975,0.39404502511024475,0.20247168838977814,0.43996092677116394,0.2359967976808548,0.39404502511024475,0.30377626419067383,0.34176841378211975,0.29918667674064636,0.22020699083805084
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.1683834195137024,0.41498205065727234,0.26447921991348267,0.733189046382904,0.2541177570819855,1.0,0.25486329197883606,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22563834488391876,0.5473989248275757,0.279002845287323,1.0,0.3336862325668335,0.733189046382904,0.2346910536289215,0.22068053483963013
sahara,0.24191512167453766,0.19219167530536652,0.23516924679279327,0.15456248819828033,0.17664550244808197,0.23516924679279327,0.20361272990703583,0.22486364841461182,0.13201680779457092,0.23516924679279327,0.1894545555114746,0.17664550244808197,0.28134268522262573,0.17314527928829193
