,what,german,ruler,invited,huguenot,immigration,?
frederick,0.21608632802963257,0.2674456834793091,0.20916762948036194,0.16223493218421936,0.3494151532649994,0.10990045964717865,0.16359178721904755
william,0.24990826845169067,0.1497432291507721,0.1149095967411995,0.190434530377388,0.3586803376674652,0.1667753905057907,0.14462219178676605
",",0.3087472915649414,0.2478695809841156,0.24077121913433075,0.23602581024169922,0.24752236902713776,0.2588530480861664,0.31091248989105225
elector,0.2378963828086853,0.2942816913127899,0.3067692518234253,0.2570948600769043,0.32505038380622864,0.20075319707393646,0.18877160549163818
of,0.33290785551071167,0.2122138887643814,0.28001952171325684,0.18827776610851288,0.29061198234558105,0.2713116705417633,0.1826142966747284
brandenburg,0.1906360536813736,0.5024510622024536,0.21733765304088593,0.13978160917758942,0.3485983908176422,0.09866973757743835,0.1353527009487152
",",0.3087472915649414,0.2478695809841156,0.24077121913433075,0.23602581024169922,0.24752236902713776,0.2588530480861664,0.31091248989105225
invited,0.18042968213558197,0.17717431485652924,0.16543754935264587,1.0000001192092896,0.2459033876657486,0.19136278331279755,0.15199494361877441
huguenots,0.22128188610076904,0.35620182752609253,0.2146473526954651,0.2509240508079529,0.9459913372993469,0.40496930480003357,0.16010338068008423
to,0.455847829580307,0.15143753588199615,0.18837414681911469,0.3062288761138916,0.24496324360370636,0.31594324111938477,0.29463258385658264
settle,0.3276752829551697,0.08642993867397308,0.19550906121730804,0.25853022933006287,0.2685301601886749,0.35077303647994995,0.19976577162742615
in,0.30808621644973755,0.21098364889621735,0.17539414763450623,0.20903164148330688,0.26198551058769226,0.2670528292655945,0.20430970191955566
his,0.26976513862609863,0.23102504014968872,0.22902530431747437,0.29983702301979065,0.33871108293533325,0.22987361252307892,0.18075084686279297
realms,0.2269679456949234,0.14991416037082672,0.3487511873245239,0.1495751440525055,0.19302214682102203,0.1360255479812622,0.1491839438676834
",",0.3087472915649414,0.2478695809841156,0.24077121913433075,0.23602581024169922,0.24752236902713776,0.2588530480861664,0.31091248989105225
and,0.31309178471565247,0.25850871205329895,0.22315910458564758,0.23323051631450653,0.2762077748775482,0.28087207674980164,0.20544172823429108
a,0.3320399522781372,0.23789440095424652,0.1922065019607544,0.17512018978595734,0.22502337396144867,0.2166307270526886,0.23916715383529663
number,0.23046229779720306,0.13763807713985443,0.11314893513917923,0.127620667219162,0.1813536137342453,0.24303874373435974,0.19256845116615295
of,0.33290785551071167,0.2122138887643814,0.28001952171325684,0.18827776610851288,0.29061198234558105,0.2713116705417633,0.1826142966747284
their,0.35142919421195984,0.18420307338237762,0.15770751237869263,0.21101067960262299,0.2711643874645233,0.23976914584636688,0.1898253709077835
descendants,0.16656607389450073,0.09633871912956238,0.2859780788421631,0.1949300616979599,0.2883816063404083,0.30611151456832886,0.10391592979431152
rose,0.13161541521549225,0.09129221737384796,0.1562039703130722,0.09372023493051529,0.25155240297317505,0.10948147624731064,0.11847885698080063
to,0.455847829580307,0.15143753588199615,0.18837414681911469,0.3062288761138916,0.24496324360370636,0.31594324111938477,0.29463258385658264
positions,0.19736577570438385,0.1789192110300064,0.16495390236377716,0.1735350638628006,0.19522322714328766,0.22175224125385284,0.126787006855011
of,0.33290785551071167,0.2122138887643814,0.28001952171325684,0.18827776610851288,0.29061198234558105,0.2713116705417633,0.1826142966747284
prominence,0.16475076973438263,0.13862556219100952,0.17455703020095825,0.17932631075382233,0.27387699484825134,0.21757209300994873,0.14798946678638458
in,0.30808621644973755,0.21098364889621735,0.17539414763450623,0.20903164148330688,0.26198551058769226,0.2670528292655945,0.20430970191955566
prussia,0.19015008211135864,0.48635345697402954,0.25544220209121704,0.16254562139511108,0.3745366632938385,0.20237721502780914,0.09988865256309509
.,0.3567904531955719,0.2407633364200592,0.22083567082881927,0.24916067719459534,0.2060975730419159,0.2851162850856781,0.4130953550338745
