,why,was,it,thought,that,ctenophores,were,a,poor,diet,for,other,animals,?
ctenophores,0.25851675868034363,0.05756163224577904,0.19476552307605743,0.28449246287345886,0.3005664348602295,1.0,0.1838040053844452,0.25153061747550964,0.1285889446735382,0.37976571917533875,0.1783297061920166,0.2790910303592682,0.523098886013031,0.2054179310798645
used,0.29222622513771057,0.23679393529891968,0.3575260639190674,0.34167709946632385,0.37621384859085083,0.30168187618255615,0.27636459469795227,0.3864384889602661,0.17449608445167542,0.11991431564092636,0.4236139953136444,0.3574926257133484,0.26146388053894043,0.22430120408535004
to,0.4100138247013092,0.3636345863342285,0.513711154460907,0.3858291208744049,0.5436353087425232,0.2038351595401764,0.31913647055625916,0.45503583550453186,0.2869894206523895,0.17240996658802032,0.4451248347759247,0.4193183183670044,0.28293174505233765,0.29463258385658264
be,0.4042811989784241,0.42228707671165466,0.5203388929367065,0.40278932452201843,0.6036020517349243,0.23367419838905334,0.4064064621925354,0.39883795380592346,0.2393469661474228,0.22993619740009308,0.3801851272583008,0.4629868268966675,0.2701433002948761,0.3324260413646698
regarded,0.16715942323207855,0.31409430503845215,0.20429612696170807,0.4929489493370056,0.24810370802879333,0.2783196270465851,0.27723050117492676,0.24923060834407806,0.1447766274213791,0.16188868880271912,0.1810154914855957,0.24116075038909912,0.20429061353206635,0.1741991639137268
as,0.3103298544883728,0.3677520453929901,0.4461488723754883,0.3461970388889313,0.4735107421875,0.23381571471691132,0.3025437891483307,0.39550232887268066,0.2257041484117508,0.22122228145599365,0.44774648547172546,0.42805421352386475,0.22922728955745697,0.27043893933296204
``,0.05334433168172836,-0.012679691426455975,0.035206809639930725,0.0043426984921097755,0.05285148695111275,0.20245838165283203,0.006090171169489622,0.07272057235240936,-0.023418420925736427,0.053941480815410614,0.01270448137074709,0.10245004296302795,0.0818617045879364,0.0685480609536171
dead,0.1315966695547104,0.19978050887584686,0.18595804274082184,0.20737946033477783,0.23970305919647217,0.2095750868320465,0.2123468816280365,0.19495299458503723,0.1991284042596817,0.14188018441200256,0.16775019466876984,0.2348180115222931,0.2541351616382599,0.1856520175933838
ends,0.09277407079935074,0.1817851960659027,0.23466064035892487,0.07985672354698181,0.15568681061267853,0.1967736929655075,0.13417711853981018,0.2906835377216339,0.02239919826388359,0.08901021629571915,0.18667101860046387,0.1207207664847374,0.0997772067785263,0.08867821097373962
'',-0.038651224225759506,0.04456103965640068,-0.016964951530098915,0.0635923370718956,0.007880004122853279,0.021284958347678185,0.007215402089059353,0.04890415817499161,0.08478884398937225,0.07264145463705063,-0.04479556903243065,0.021007593721151352,0.033727724105119705,0.018684765323996544
