,what,does,the,acronym,fis,stand,for,?
an,0.2821882665157318,0.29477936029434204,0.4207492768764496,0.22456279397010803,0.16800178587436676,0.21406462788581848,0.3236706852912903,0.19793890416622162
islamist,0.17762082815170288,0.177557572722435,0.2459319531917572,0.2115468829870224,0.13467499613761902,0.16076184809207916,0.11837603896856308,0.14697067439556122
movement,0.23934946954250336,0.17228825390338898,0.339571475982666,0.16619613766670227,0.10847514867782593,0.06312689185142517,0.1841055154800415,0.1423349231481552
influenced,0.22395093739032745,0.1452992707490921,0.18518297374248505,0.07162091135978699,0.03277759253978729,0.08409950137138367,0.1706184297800064,0.1310873031616211
by,0.2455483376979828,0.143477201461792,0.4408751428127289,0.17779923975467682,0.1904708743095398,0.1934388428926468,0.3248702883720398,0.17966607213020325
salafism,0.2867230474948883,0.18221698701381683,0.21717160940170288,0.21115635335445404,0.3540585935115814,0.09864801913499832,0.21256910264492035,0.22954337298870087
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.113299161195755,0.21142849326133728,0.268960565328598,0.5064792633056641,0.20544172823429108
the,0.42745697498321533,0.35928019881248474,1.0,0.22906145453453064,0.2955470383167267,0.2531624138355255,0.4739971458911896,0.22068053483963013
jihad,0.24871385097503662,0.16942839324474335,0.22348956763744354,0.3246845602989197,0.1594870388507843,0.2141341120004654,0.16139443218708038,0.21031080186367035
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.1663419008255005,0.26741597056388855,0.20552469789981842,0.4322226941585541,0.20430970191955566
afghanistan,0.23892498016357422,0.14658339321613312,0.28314414620399475,0.139988973736763,0.17504693567752838,0.13473816215991974,0.19342607259750366,0.1478135734796524
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.21347589790821075,0.288654088973999,0.27589988708496094,0.4464869201183319,0.31091248989105225
as,0.31749409437179565,0.31202155351638794,0.48381632566452026,0.2012845277786255,0.21989309787750244,0.21001186966896057,0.44774648547172546,0.27043893933296204
well,0.4154493808746338,0.3239245116710663,0.42630070447921753,0.169236958026886,0.1969016194343567,0.2788017988204956,0.46352139115333557,0.24815571308135986
as,0.31749409437179565,0.31202155351638794,0.48381632566452026,0.2012845277786255,0.21989309787750244,0.21001186966896057,0.44774648547172546,0.27043893933296204
the,0.42745697498321533,0.35928019881248474,1.0,0.22906145453453064,0.2955470383167267,0.2531624138355255,0.4739971458911896,0.22068053483963013
muslim,0.2631456255912781,0.1884622871875763,0.28099653124809265,0.1757470667362213,0.12356268614530563,0.17473074793815613,0.21262682974338531,0.17456822097301483
brotherhood,0.168807253241539,0.17658919095993042,0.2368839830160141,0.21894773840904236,0.21159727871418,0.16045187413692474,0.21096177399158478,0.1117945984005928
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.21347589790821075,0.288654088973999,0.27589988708496094,0.4464869201183319,0.31091248989105225
was,0.22111038863658905,0.19302551448345184,0.48711544275283813,0.17198190093040466,0.20063583552837372,0.22636882960796356,0.3863949179649353,0.18412111699581146
the,0.42745697498321533,0.35928019881248474,1.0,0.22906145453453064,0.2955470383167267,0.2531624138355255,0.4739971458911896,0.22068053483963013
fis,0.13694386184215546,0.19395612180233002,0.2955470383167267,0.1685762256383896,1.0,0.16380982100963593,0.2985348701477051,0.15495842695236206
or,0.33867141604423523,0.4248845875263214,0.4174870550632477,0.30832913517951965,0.24891673028469086,0.24292393028736115,0.4111599624156952,0.32389625906944275
front,0.19401875138282776,0.18855611979961395,0.3733479380607605,0.17689134180545807,0.10462447255849838,0.3110990524291992,0.21518634259700775,0.16351862251758575
islamique,0.22085897624492645,0.15682603418827057,0.2848256826400757,0.16579203307628632,0.21679839491844177,0.1776927262544632,0.18719394505023956,0.1849232316017151
de,0.10476839542388916,0.10015963762998581,0.23491892218589783,0.060192324221134186,0.16467691957950592,0.11364991217851639,0.15479344129562378,0.11064168810844421
salut,0.11970360577106476,0.09556244313716888,0.22101496160030365,0.2040306031703949,0.26597633957862854,0.14767013490200043,0.18165428936481476,0.17522463202476501
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.23940598964691162,0.19407914578914642,0.15827840566635132,0.3357032239437103,0.40561532974243164
the,0.42745697498321533,0.35928019881248474,1.0,0.22906145453453064,0.2955470383167267,0.2531624138355255,0.4739971458911896,0.22068053483963013
islamic,0.2204568088054657,0.14674246311187744,0.27231070399284363,0.1717941164970398,0.10752899199724197,0.13720713555812836,0.13630835711956024,0.1692383587360382
salvation,0.31571435928344727,0.22292688488960266,0.30236515402793884,0.22797530889511108,0.08126843720674515,0.2008429616689682,0.21673265099525452,0.2133665680885315
front,0.19401875138282776,0.18855611979961395,0.3733479380607605,0.17689134180545807,0.10462447255849838,0.3110990524291992,0.21518634259700775,0.16351862251758575
),0.26259949803352356,0.2575884759426117,0.3456730246543884,0.2410539984703064,0.17717596888542175,0.14393578469753265,0.3639558255672455,0.42300865054130554
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.1663419008255005,0.26741597056388855,0.20552469789981842,0.4322226941585541,0.20430970191955566
algeria,0.1427617073059082,0.07083006203174591,0.1901172548532486,0.24213223159313202,0.15673266351222992,0.07221785932779312,0.14582228660583496,0.192555770277977
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.1759447604417801,0.2793008089065552,0.2296130359172821,0.4726039469242096,0.4130953550338745
