,what,space,station,supported,three,manned,missions,in,1973-1974,?
apollo/saturn,0.20350117981433868,0.33472368121147156,0.1830861121416092,0.15992192924022675,0.14372889697551727,0.4670168161392212,0.2813820242881775,0.18574057519435883,0.06230603903532028,0.2771657705307007
vehicles,0.1784372627735138,0.2523742914199829,0.3015250861644745,0.19336619973182678,0.18489505350589752,0.39265379309654236,0.3562445044517517,0.23028446733951569,0.03311993554234505,0.1874745488166809
were,0.22298263013362885,0.15497688949108124,0.09471219778060913,0.271778404712677,0.38429051637649536,0.2570171356201172,0.30557745695114136,0.3815755248069763,0.04436282813549042,0.17890112102031708
also,0.42747777700424194,0.17468027770519257,0.23779743909835815,0.27461135387420654,0.3885120153427124,0.18923711776733398,0.27933046221733093,0.5073733329772949,0.04982989653944969,0.21848613023757935
used,0.27546408772468567,0.18470054864883423,0.1849440336227417,0.3142521381378174,0.20464463531970978,0.28901007771492004,0.21358942985534668,0.3090210556983948,0.006026067305356264,0.22430120408535004
for,0.3017193675041199,0.24232043325901031,0.18705002963542938,0.32561784982681274,0.3032672107219696,0.19758428633213043,0.24688635766506195,0.4322226941585541,-0.10070320218801498,0.264628142118454
an,0.2821882665157318,0.19467206299304962,0.1697155088186264,0.21082468330860138,0.1749064028263092,0.2113705724477768,0.13683319091796875,0.2605783939361572,0.026510613039135933,0.19793890416622162
apollo,0.13561789691448212,0.3076713979244232,0.1934690922498703,0.09045872092247009,0.10625588893890381,0.5195745825767517,0.3512161374092102,0.1461767554283142,0.057209115475416183,0.191528782248497
applications,0.20821766555309296,0.27071332931518555,0.1955341249704361,0.2517971694469452,0.16722038388252258,0.263118177652359,0.3454493284225464,0.2334391176700592,0.04592236131429672,0.19125857949256897
program,0.25047802925109863,0.27222728729248047,0.26818856596946716,0.19805395603179932,0.14696548879146576,0.34068769216537476,0.3178660571575165,0.1994907110929489,-0.06702690571546555,0.1440187245607376
",",0.3087472915649414,0.2285580337047577,0.2482491284608841,0.2703314423561096,0.3347506821155548,0.1752677708864212,0.2626538574695587,0.5201468467712402,0.1561478078365326,0.31091248989105225
which,0.5261979103088379,0.2025344967842102,0.20371483266353607,0.22740553319454193,0.40919098258018494,0.21115973591804504,0.2506242096424103,0.4840516746044159,0.1268802434206009,0.25814583897590637
consisted,0.10791123658418655,0.11585503816604614,0.16455145180225372,0.3074284791946411,0.3744890093803406,0.3265767991542816,0.23325495421886444,0.2785966694355011,0.014905338175594807,0.01278369128704071
of,0.33290785551071167,0.21300287544727325,0.17394597828388214,0.30414751172065735,0.3844621181488037,0.17604194581508636,0.2598918080329895,0.5696388483047485,0.24562208354473114,0.1826142966747284
skylab,0.23991799354553223,0.47681427001953125,0.379738986492157,0.14823390543460846,0.23846597969532013,0.4747612476348877,0.4605284631252289,0.27669620513916016,0.12472516298294067,0.23833967745304108
",",0.3087472915649414,0.2285580337047577,0.2482491284608841,0.2703314423561096,0.3347506821155548,0.1752677708864212,0.2626538574695587,0.5201468467712402,0.1561478078365326,0.31091248989105225
a,0.3320399522781372,0.20296213030815125,0.21760036051273346,0.21957339346408844,0.3025658130645752,0.1981727033853531,0.2459585964679718,0.539380669593811,0.04685445874929428,0.23916715383529663
space,0.20525942742824554,1.0000001192092896,0.26735252141952515,0.0992002859711647,0.19709010422229767,0.4009856879711151,0.35818853974342346,0.17648501694202423,0.0308341383934021,0.1885536164045334
station,0.1613752841949463,0.26735252141952515,1.0,0.1421874463558197,0.19222508370876312,0.32651251554489136,0.2629515826702118,0.21784305572509766,0.1745760440826416,0.12574981153011322
