,what,did,luther,contend,the,jews,to,be,?
luther,0.2134782373905182,0.23667675256729126,1.0,0.1927327960729599,0.1759674996137619,0.24326977133750916,0.18029534816741943,0.15299063920974731,0.1732746809720993
argued,0.31776854395866394,0.40107595920562744,0.24759162962436676,0.30764710903167725,0.1919303685426712,0.22711175680160522,0.24650873243808746,0.2228209674358368,0.18905270099639893
that,0.6297725439071655,0.47518548369407654,0.21746599674224854,0.36112460494041443,0.5473989248275757,0.27395346760749817,0.5436353087425232,0.6036020517349243,0.32716336846351624
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.30097588896751404,1.0,0.24901628494262695,0.535392165184021,0.4248143136501312,0.22068053483963013
jews,0.22131574153900146,0.23080717027187347,0.24326977133750916,0.16968771815299988,0.24901628494262695,1.0000001192092896,0.22399327158927917,0.20604680478572845,0.16730794310569763
were,0.22298263013362885,0.4162326455116272,0.18652333319187164,0.27496007084846497,0.3906462490558624,0.30761516094207764,0.31913647055625916,0.4064064621925354,0.17890112102031708
no,0.339326947927475,0.23735837638378143,0.08393751084804535,0.19936072826385498,0.3461136817932129,0.10774834454059601,0.30015695095062256,0.4173688292503357,0.32165053486824036
longer,0.3188037574291229,0.264748752117157,0.1526084542274475,0.21931873261928558,0.361417293548584,0.13250066339969635,0.3737102746963501,0.40303537249565125,0.24416615068912506
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.30097588896751404,1.0,0.24901628494262695,0.535392165184021,0.4248143136501312,0.22068053483963013
chosen,0.24263155460357666,0.24561628699302673,0.15878482162952423,0.287834107875824,0.32853078842163086,0.1221252977848053,0.30746549367904663,0.22411662340164185,0.18667186796665192
people,0.32444337010383606,0.26765021681785583,0.14102250337600708,0.1835230588912964,0.36838498711586,0.4313947558403015,0.37275731563568115,0.2593584358692169,0.23739641904830933
but,0.5029441118240356,0.49033689498901367,0.20694120228290558,0.3724193274974823,0.4859698414802551,0.23324500024318695,0.5542377829551697,0.5764366984367371,0.27921953797340393
``,0.008517155423760414,-0.029888948425650597,-0.013964727520942688,0.0630418062210083,0.029072100296616554,0.11970638483762741,0.06720756739377975,0.07670000940561295,0.0685480609536171
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.30097588896751404,1.0,0.24901628494262695,0.535392165184021,0.4248143136501312,0.22068053483963013
devil,0.24757304787635803,0.20724423229694366,0.24422423541545868,0.1471390426158905,0.2513056993484497,0.1917489767074585,0.23304817080497742,0.16272644698619843,0.19553880393505096
's,0.02692362666130066,0.05069678649306297,-0.009990512393414974,0.01348760724067688,-0.01540423184633255,0.017030835151672363,0.03782717138528824,0.025217169895768166,-0.023395681753754616
people,0.32444337010383606,0.26765021681785583,0.14102250337600708,0.1835230588912964,0.36838498711586,0.4313947558403015,0.37275731563568115,0.2593584358692169,0.23739641904830933
'',0.08143015950918198,0.01978493109345436,-0.04572787508368492,-0.010982106439769268,0.041273195296525955,-0.06881692260503769,-0.009905828163027763,0.08835477381944656,0.018684765323996544
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.287919282913208,0.4933079481124878,0.27184903621673584,0.44245919585227966,0.39254459738731384,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.2819044291973114,0.5171257257461548,0.2555774748325348,0.48971283435821533,0.41766801476478577,0.20544172823429108
referred,0.16724665462970734,0.1661432683467865,0.04531648010015488,0.20904582738876343,0.3088674545288086,0.0904177874326706,0.22845174372196198,0.27025455236434937,0.06677805632352829
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.38147446513175964,0.535392165184021,0.22399327158927917,1.0,0.4972836375236511,0.29463258385658264
them,0.4994642734527588,0.44189682602882385,0.1940135955810547,0.3508540391921997,0.4788833558559418,0.3200531303882599,0.5916602611541748,0.4282684326171875,0.35435691475868225
with,0.2464839518070221,0.25472134351730347,0.14705438911914825,0.29751870036125183,0.4223487675189972,0.1251157820224762,0.4239959120750427,0.36101722717285156,0.2433311939239502
violent,0.20861265063285828,0.19326645135879517,0.17912812530994415,0.2018423080444336,0.24589063227176666,0.21116654574871063,0.19071756303310394,0.18722368776798248,0.1652229279279709
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.287919282913208,0.4933079481124878,0.27184903621673584,0.44245919585227966,0.39254459738731384,0.31091248989105225
vile,0.19691698253154755,0.10599754005670547,0.06048063188791275,0.1645190268754959,0.2169644683599472,0.13129737973213196,0.1561281383037567,0.20116764307022095,0.2144981026649475
language,0.28220435976982117,0.1788339912891388,0.12746912240982056,0.18449833989143372,0.30198320746421814,0.2006884217262268,0.2763397693634033,0.2154676616191864,0.25349316000938416
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.28253042697906494,0.5934505462646484,0.2115412801504135,0.4645031690597534,0.4383580684661865,0.4130953550338745
