,what,does,it,mean,for,a,knot,to,be,considered,indecomposable,?
for,0.3017193675041199,0.35159170627593994,0.32171204686164856,0.29509902000427246,0.9999999403953552,0.44038116931915283,0.17183829843997955,0.4451248347759247,0.3801851272583008,0.3214476406574249,0.2940187454223633,0.264628142118454
example,0.3456268310546875,0.3593006134033203,0.33693674206733704,0.35584557056427,0.45665353536605835,0.40234753489494324,0.21657173335552216,0.3451666533946991,0.4382762610912323,0.3231664299964905,0.3076651990413666,0.30374911427497864
",",0.3087472915649414,0.28617382049560547,0.48329564929008484,0.27540135383605957,0.4464869201183319,0.427140474319458,0.18271833658218384,0.44245919585227966,0.39254459738731384,0.32932984828948975,0.31246617436408997,0.31091248989105225
in,0.30808621644973755,0.214483380317688,0.5130809545516968,0.2099098116159439,0.4322226941585541,0.539380669593811,0.12287154048681259,0.45010748505592346,0.3481820821762085,0.28591203689575195,0.27747970819473267,0.20430970191955566
knot,0.21109230816364288,0.16911430656909943,0.2125512808561325,0.2775024473667145,0.17183829843997955,0.28559839725494385,1.0,0.259644478559494,0.22730737924575806,0.16694112122058868,0.25825056433677673,0.15629135072231293
theory,0.297923743724823,0.18013693392276764,0.19945570826530457,0.20386344194412231,0.20500218868255615,0.2233850657939911,0.2742783725261688,0.21947365999221802,0.2076098620891571,0.18576759099960327,0.17819786071777344,0.1387292891740799
",",0.3087472915649414,0.28617382049560547,0.48329564929008484,0.27540135383605957,0.4464869201183319,0.427140474319458,0.18271833658218384,0.44245919585227966,0.39254459738731384,0.32932984828948975,0.31246617436408997,0.31091248989105225
a,0.3320399522781372,0.38201746344566345,0.5452592968940735,0.3427932858467102,0.44038116931915283,1.0,0.28559839725494385,0.45503583550453186,0.39883795380592346,0.36109375953674316,0.32994407415390015,0.23916715383529663
prime,0.15586113929748535,0.19604897499084473,0.16581475734710693,0.09201247245073318,0.17833133041858673,0.17998681962490082,0.12622365355491638,0.2015804797410965,0.14576895534992218,0.1126614436507225,0.21253198385238647,0.11276303976774216
knot,0.21109230816364288,0.16911430656909943,0.2125512808561325,0.2775024473667145,0.17183829843997955,0.28559839725494385,1.0,0.259644478559494,0.22730737924575806,0.16694112122058868,0.25825056433677673,0.15629135072231293
is,0.28837618231773376,0.4403602182865143,0.6328473687171936,0.3152560591697693,0.43268078565597534,0.658733606338501,0.2545997202396393,0.42745086550712585,0.4819129705429077,0.4096149802207947,0.2830645740032196,0.22961433231830597
a,0.3320399522781372,0.38201746344566345,0.5452592968940735,0.3427932858467102,0.44038116931915283,1.0,0.28559839725494385,0.45503583550453186,0.39883795380592346,0.36109375953674316,0.32994407415390015,0.23916715383529663
