,who,ruled,the,duchy,of,normandy
the,0.3733934462070465,0.2668108344078064,1.0,0.2944258749485016,0.733189046382904,0.30340051651000977
duchy,0.12811636924743652,0.3978356719017029,0.2944258749485016,0.9999998807907104,0.3249194324016571,0.41520246863365173
of,0.2827862501144409,0.29798635840415955,0.733189046382904,0.3249194324016571,1.0,0.23562048375606537
normandy,0.19740919768810272,0.24902300536632538,0.30340051651000977,0.41520246863365173,0.23562048375606537,0.9999999403953552
",",0.3365725874900818,0.25170713663101196,0.4933079481124878,0.28778398036956787,0.4946078956127167,0.215127632021904
which,0.3688730001449585,0.150826096534729,0.6521818041801453,0.21655945479869843,0.5011631846427917,0.1862322986125946
they,0.47879111766815186,0.26718735694885254,0.49925389885902405,0.17926083505153656,0.3426007330417633,0.24303755164146423
formed,0.12868277728557587,0.235742449760437,0.28813210129737854,0.15813478827476501,0.2871689796447754,0.17727111279964447
by,0.39727845788002014,0.21958500146865845,0.4408751428127289,0.15097442269325256,0.3646814823150635,0.19027581810951233
treaty,0.1262437403202057,0.27676644921302795,0.2690109610557556,0.3239375352859497,0.2602092921733856,0.23162630200386047
with,0.3282766342163086,0.16530512273311615,0.4223487675189972,0.1695277839899063,0.41827285289764404,0.22896580398082733
the,0.3733934462070465,0.2668108344078064,1.0,0.2944258749485016,0.733189046382904,0.30340051651000977
french,0.2756427824497223,0.07999792695045471,0.2555147111415863,0.23344366252422333,0.19450366497039795,0.34452369809150696
crown,0.1601858139038086,0.28343096375465393,0.2646690607070923,0.41747525334358215,0.2964670956134796,0.1969250738620758
",",0.3365725874900818,0.25170713663101196,0.4933079481124878,0.28778398036956787,0.4946078956127167,0.215127632021904
was,0.3318818509578705,0.3318201005458832,0.48711544275283813,0.27581292390823364,0.4069072902202606,0.22792497277259827
a,0.36608949303627014,0.11997509747743607,0.5829201340675354,0.1895398646593094,0.5052502155303955,0.2073124796152115
great,0.24061277508735657,0.15550369024276733,0.2822027802467346,0.15187419950962067,0.3168134391307831,0.21934345364570618
fief,0.2674207091331482,0.4073914885520935,0.33229759335517883,0.4896266460418701,0.3803445100784302,0.37423887848854065
of,0.2827862501144409,0.29798635840415955,0.733189046382904,0.3249194324016571,1.0,0.23562048375606537
medieval,0.1664111316204071,0.24391110241413116,0.28617456555366516,0.34558385610580444,0.31686919927597046,0.27072715759277344
france,0.18489117920398712,0.20506836473941803,0.35517507791519165,0.3484744131565094,0.3265724182128906,0.5173672437667847
",",0.3365725874900818,0.25170713663101196,0.4933079481124878,0.28778398036956787,0.4946078956127167,0.215127632021904
and,0.41279885172843933,0.1996956765651703,0.5171257257461548,0.2458227425813675,0.5116966962814331,0.2591262459754944
under,0.2962189018726349,0.23363135755062103,0.3348022699356079,0.18271520733833313,0.32766106724739075,0.18323847651481628
richard,0.27835920453071594,0.1355048269033432,0.2087954580783844,0.16500820219516754,0.2227524220943451,0.31231606006622314
i,0.33545589447021484,0.2362634539604187,0.26687872409820557,0.2085883617401123,0.25849398970603943,0.2283792644739151
of,0.2827862501144409,0.29798635840415955,0.733189046382904,0.3249194324016571,1.0,0.23562048375606537
normandy,0.19740919768810272,0.24902300536632538,0.30340051651000977,0.41520246863365173,0.23562048375606537,0.9999999403953552
was,0.3318818509578705,0.3318201005458832,0.48711544275283813,0.27581292390823364,0.4069072902202606,0.22792497277259827
forged,0.28226569294929504,0.24714215099811554,0.3105037212371826,0.2339819073677063,0.24710536003112793,0.16986018419265747
into,0.16956904530525208,0.1381620168685913,0.39493247866630554,0.2288552224636078,0.32255905866622925,0.16118210554122925
a,0.36608949303627014,0.11997509747743607,0.5829201340675354,0.1895398646593094,0.5052502155303955,0.2073124796152115
cohesive,0.11482194066047668,0.03311124071478844,0.26614269614219666,0.14096416532993317,0.34211266040802,0.13528472185134888
and,0.41279885172843933,0.1996956765651703,0.5171257257461548,0.2458227425813675,0.5116966962814331,0.2591262459754944
formidable,0.22556613385677338,0.20919053256511688,0.2630093991756439,0.2847094237804413,0.2891508936882019,0.29818955063819885
principality,0.22177937626838684,0.34093791246414185,0.3162875175476074,0.5370896458625793,0.3633994162082672,0.23958665132522583
in,0.2792111933231354,0.20897114276885986,0.6662389636039734,0.27166545391082764,0.5696388483047485,0.24138042330741882
feudal,0.22771215438842773,0.42594674229621887,0.2514895498752594,0.437589555978775,0.2642614245414734,0.40017080307006836
tenure,0.22222712635993958,0.2875497341156006,0.25439196825027466,0.23051579296588898,0.30861806869506836,0.20243123173713684
.,0.3541337847709656,0.22453029453754425,0.5934505462646484,0.21778234839439392,0.5352458953857422,0.2814660370349884
