,what,civilization,did,the,pottery,belong,to,?
in,0.30808621644973755,0.2539329528808594,0.2593238651752472,0.6662389636039734,0.23815076053142548,0.23382951319217682,0.45010748505592346,0.20430970191955566
the,0.42745697498321533,0.3128751516342163,0.34736719727516174,1.0,0.2263321727514267,0.27031847834587097,0.535392165184021,0.22068053483963013
16th,0.08221480250358582,0.11106061190366745,0.0892755538225174,0.2201097458600998,0.049784351140260696,-0.044695738703012466,0.12478464096784592,0.06695828586816788
century,0.20422613620758057,0.340687096118927,0.2333737462759018,0.3617299497127533,0.3138080835342407,0.19246555864810944,0.20143604278564453,0.1026201918721199
",",0.3087472915649414,0.22940866649150848,0.3015086054801941,0.4933079481124878,0.2752205431461334,0.3347422182559967,0.44245919585227966,0.31091248989105225
the,0.42745697498321533,0.3128751516342163,0.34736719727516174,1.0,0.2263321727514267,0.27031847834587097,0.535392165184021,0.22068053483963013
beginning,0.3351518511772156,0.28827178478240967,0.28616875410079956,0.49622642993927,0.19332116842269897,0.1370072364807129,0.32582011818885803,0.19413669407367706
of,0.33290785551071167,0.2698599398136139,0.2513895630836487,0.733189046382904,0.23846912384033203,0.2644003629684448,0.41548454761505127,0.1826142966747284
the,0.42745697498321533,0.3128751516342163,0.34736719727516174,1.0,0.2263321727514267,0.27031847834587097,0.535392165184021,0.22068053483963013
historical,0.2923852205276489,0.2724887430667877,0.1825733780860901,0.30835282802581787,0.2660429775714874,0.14001305401325226,0.22193273901939392,0.1665111482143402
era,0.18199029564857483,0.2917077839374542,0.1672050952911377,0.266272634267807,0.17445798218250275,0.12520913779735565,0.12544193863868713,0.14369545876979828
",",0.3087472915649414,0.22940866649150848,0.3015086054801941,0.4933079481124878,0.2752205431461334,0.3347422182559967,0.44245919585227966,0.31091248989105225
the,0.42745697498321533,0.3128751516342163,0.34736719727516174,1.0,0.2263321727514267,0.27031847834587097,0.535392165184021,0.22068053483963013
region,0.2298986315727234,0.28463274240493774,0.06474873423576355,0.35020557045936584,0.17293484508991241,0.2056313157081604,0.24118299782276154,0.13441751897335052
was,0.22111038863658905,0.2154090255498886,0.41399896144866943,0.48711544275283813,0.1861930787563324,0.18046513199806213,0.3636345863342285,0.18412111699581146
inhabited,0.176266148686409,0.36908188462257385,0.1007642075419426,0.2579440772533417,0.26714465022087097,0.32608234882354736,0.16439083218574524,0.12792479991912842
by,0.2455483376979828,0.18413163721561432,0.18574509024620056,0.4408751428127289,0.1653354912996292,0.15721487998962402,0.33534231781959534,0.17966607213020325
the,0.42745697498321533,0.3128751516342163,0.34736719727516174,1.0,0.2263321727514267,0.27031847834587097,0.535392165184021,0.22068053483963013
mocama,0.29563626646995544,0.2827226221561432,0.16988767683506012,0.36557620763778687,0.20829631388187408,0.17710965871810913,0.26018214225769043,0.16693337261676788
",",0.3087472915649414,0.22940866649150848,0.3015086054801941,0.4933079481124878,0.2752205431461334,0.3347422182559967,0.44245919585227966,0.31091248989105225
a,0.3320399522781372,0.1699720323085785,0.2552328109741211,0.5829201340675354,0.23124179244041443,0.21660050749778748,0.45503583550453186,0.23916715383529663
coastal,0.18264484405517578,0.28384730219841003,0.1047234758734703,0.2718130946159363,0.23435750603675842,0.12684138119220734,0.18494710326194763,0.13777320086956024
subgroup,0.17161031067371368,0.16691306233406067,0.10372833162546158,0.2143818438053131,0.09678014367818832,0.4063490629196167,0.16987815499305725,0.19766506552696228
of,0.33290785551071167,0.2698599398136139,0.2513895630836487,0.733189046382904,0.23846912384033203,0.2644003629684448,0.41548454761505127,0.1826142966747284
the,0.42745697498321533,0.3128751516342163,0.34736719727516174,1.0,0.2263321727514267,0.27031847834587097,0.535392165184021,0.22068053483963013
timucua,0.29614773392677307,0.2967701852321625,0.1775306761264801,0.3038891851902008,0.18588455021381378,0.21236135065555573,0.3303799033164978,0.2524978220462799
people,0.32444337010383606,0.25724896788597107,0.26765021681785583,0.36838498711586,0.23020687699317932,0.24612858891487122,0.37275731563568115,0.23739641904830933
.,0.3567904531955719,0.23833215236663818,0.35288307070732117,0.5934505462646484,0.2509978115558624,0.23404979705810547,0.4645031690597534,0.4130953550338745
