,what,device,is,a,dry,cooling,tower,similar,to,?
a,0.3320399522781372,0.3107774555683136,0.658733606338501,1.0,0.2334417849779129,0.253410667181015,0.1759597510099411,0.34790337085723877,0.45503583550453186,0.23916715383529663
dry,0.18359600007534027,0.2548796534538269,0.2842336893081665,0.2334417849779129,1.0000001192092896,0.35631483793258667,0.09536141157150269,0.22318407893180847,0.21135932207107544,0.13395056128501892
type,0.2722663879394531,0.28487417101860046,0.3053323030471802,0.3813284635543823,0.1776585429906845,0.2565217912197113,0.015236479230225086,0.30731043219566345,0.19930607080459595,0.17536182701587677
cooling,0.28575754165649414,0.3661841154098511,0.19721323251724243,0.253410667181015,0.35631483793258667,1.0000001192092896,0.2595007121562958,0.2454586774110794,0.26446348428726196,0.19326604902744293
tower,0.12919922173023224,0.17076411843299866,0.1400395631790161,0.1759597510099411,0.09536141157150269,0.2595007121562958,1.0,0.056082889437675476,0.16907963156700134,0.10395228117704391
is,0.28837618231773376,0.2402733862400055,1.0,0.658733606338501,0.2842336893081665,0.19721323251724243,0.1400395631790161,0.28929588198661804,0.42745086550712585,0.22961433231830597
similar,0.30608364939689636,0.22354668378829956,0.28929588198661804,0.34790337085723877,0.22318407893180847,0.2454586774110794,0.056082889437675476,0.9999999403953552,0.2888135313987732,0.23309361934661865
to,0.455847829580307,0.2965817153453827,0.42745086550712585,0.45503583550453186,0.21135932207107544,0.26446348428726196,0.16907963156700134,0.2888135313987732,1.0,0.29463258385658264
an,0.2821882665157318,0.2406395524740219,0.4654068350791931,0.44552403688430786,0.1360049694776535,0.2121628224849701,0.07447217404842377,0.20771056413650513,0.3138085603713989,0.19793890416622162
automobile,0.1494080126285553,0.2540160119533539,0.19851477444171906,0.2306264191865921,0.20392602682113647,0.29119372367858887,0.10743682831525803,0.17560167610645294,0.14050820469856262,0.11581343412399292
radiator,0.18495911359786987,0.3729689419269562,0.22060267627239227,0.249432772397995,0.26182588934898376,0.40162578225135803,0.1932108849287033,0.1428276002407074,0.21439926326274872,0.08360183238983154
and,0.31309178471565247,0.15071305632591248,0.3859752118587494,0.3739250600337982,0.22237363457679749,0.2188228815793991,0.23948386311531067,0.3316260874271393,0.48971283435821533,0.20544172823429108
is,0.28837618231773376,0.2402733862400055,1.0,0.658733606338501,0.2842336893081665,0.19721323251724243,0.1400395631790161,0.28929588198661804,0.42745086550712585,0.22961433231830597
used,0.27546408772468567,0.4021059274673462,0.3288823366165161,0.3864384889602661,0.25908878445625305,0.2434728592634201,0.1683586984872818,0.431619793176651,0.40058770775794983,0.22430120408535004
in,0.30808621644973755,0.16225403547286987,0.5394441485404968,0.539380669593811,0.2583382725715637,0.22014863789081573,0.22630389034748077,0.28091391921043396,0.45010748505592346,0.20430970191955566
locations,0.21363390982151031,0.275096595287323,0.2457512468099594,0.22948916256427765,0.2115575224161148,0.177169069647789,0.21042662858963013,0.20633527636528015,0.29775765538215637,0.14570996165275574
where,0.4457937180995941,0.22141055762767792,0.3586711287498474,0.40997210144996643,0.23985552787780762,0.23628607392311096,0.17619538307189941,0.2172488123178482,0.47735077142715454,0.24793872237205505
water,0.17456887662410736,0.24608203768730164,0.2879090905189514,0.2979097068309784,0.4986197352409363,0.4451141655445099,0.191095769405365,0.2533283829689026,0.27858173847198486,0.14731885492801666
is,0.28837618231773376,0.2402733862400055,1.0,0.658733606338501,0.2842336893081665,0.19721323251724243,0.1400395631790161,0.28929588198661804,0.42745086550712585,0.22961433231830597
costly,0.3110659718513489,0.21421892940998077,0.21139784157276154,0.22381746768951416,0.22182117402553558,0.2614109218120575,0.1525501012802124,0.28509318828582764,0.30144593119621277,0.19718864560127258
.,0.3567904531955719,0.1592947095632553,0.4569662809371948,0.50484299659729,0.24303671717643738,0.26918044686317444,0.21111081540584564,0.306670606136322,0.4645031690597534,0.4130953550338745
