,what,was,the,principle,shown,in,the,mark,of,anarchy,?
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.2633585035800934,0.27352818846702576,0.5130809545516968,0.6251175999641418,0.15471455454826355,0.38761502504348755,0.17783157527446747,0.25732165575027466
is,0.28837618231773376,0.5810302495956421,0.5823672413825989,0.20634804666042328,0.2509501576423645,0.5394441485404968,0.5823672413825989,0.16439194977283478,0.4854315221309662,0.1350296437740326,0.22961433231830597
perhaps,0.45013323426246643,0.24803057312965393,0.35476016998291016,0.252919465303421,0.14875859022140503,0.2746174931526184,0.35476016998291016,0.15655039250850677,0.3375486433506012,0.18702194094657898,0.4211712181568146
the,0.42745697498321533,0.48711544275283813,1.0,0.24017377197742462,0.3387985825538635,0.6662389636039734,1.0,0.2235521525144577,0.733189046382904,0.18858380615711212,0.22068053483963013
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.16994549334049225,0.2713989019393921,0.4127444326877594,0.49448907375335693,0.1488695591688156,0.3536086082458496,0.14125782251358032,0.18701928853988647
modern,0.2655639946460724,0.23571695387363434,0.3283970355987549,0.23005080223083496,0.1447923481464386,0.29808807373046875,0.3283970355987549,0.12687943875789642,0.3482828736305237,0.14411072432994843,0.12475407868623734
[,0.010752761736512184,0.03263993561267853,0.07130392640829086,-0.05220063030719757,0.13019806146621704,0.12324675917625427,0.07130392640829086,0.0336146205663681,0.010817250236868858,0.10509168356657028,0.011015460826456547
vague,0.39795148372650146,0.15796171128749847,0.2252180129289627,0.2843214273452759,0.2552577257156372,0.12709562480449677,0.2252180129289627,0.17179052531719208,0.22361907362937927,0.2604602575302124,0.3467235267162323
],-0.03775298595428467,0.0001094614781322889,-0.04779602214694023,0.06562113761901855,0.10284081101417542,-0.1088862195611,-0.04779602214694023,-0.036852795630693436,-0.035044461488723755,0.022365910932421684,-0.0022520492784678936
statement,0.39422667026519775,0.2362719178199768,0.20954233407974243,0.39285966753959656,0.19668921828269958,0.17217876017093658,0.20954233407974243,0.18198683857917786,0.1980573982000351,0.18853899836540222,0.28978636860847473
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2430231273174286,0.24332952499389648,0.5696388483047485,0.733189046382904,0.16461719572544098,1.0,0.19957754015922546,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.24017377197742462,0.3387985825538635,0.6662389636039734,1.0,0.2235521525144577,0.733189046382904,0.18858380615711212,0.22068053483963013
principle,0.3569014072418213,0.14412526786327362,0.24017377197742462,1.0,0.18165917694568634,0.16382117569446564,0.24017377197742462,0.029524000361561775,0.2430231273174286,0.20113389194011688,0.2002675086259842
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2430231273174286,0.24332952499389648,0.5696388483047485,0.733189046382904,0.16461719572544098,1.0,0.19957754015922546,0.1826142966747284
nonviolent,0.27531832456588745,0.24546442925930023,0.23885348439216614,0.2926390767097473,0.13266423344612122,0.23583105206489563,0.23885348439216614,0.12080225348472595,0.2696565091609955,0.393629252910614,0.23365403711795807
protest,0.20248152315616608,0.274395227432251,0.25126034021377563,0.17353782057762146,0.15465839207172394,0.29343265295028687,0.25126034021377563,0.0954795777797699,0.24564224481582642,0.33834606409072876,0.1878921240568161
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.1894911378622055,0.3143177330493927,0.5591574311256409,0.5934505462646484,0.21911589801311493,0.5352458953857422,0.207096129655838,0.4130953550338745
