,besides,the,analytic,property,of,numbers,",",what,other,property,of,numbers,does,number,theory,focus,on,?
such,0.38709431886672974,0.3575236201286316,0.23233339190483093,0.12750139832496643,0.3209529519081116,0.2737357020378113,0.39626169204711914,0.23989605903625488,0.6041211485862732,0.12750139832496643,0.3209529519081116,0.2737357020378113,0.2787191867828369,0.30011066794395447,0.2231651395559311,0.2881679832935333,0.3181164264678955,0.17851735651493073
questions,0.2599843442440033,0.23562853038311005,0.3724282681941986,0.18152549862861633,0.2210283875465393,0.24761845171451569,0.2808963656425476,0.4857400059700012,0.2925741672515869,0.18152549862861633,0.2210283875465393,0.24761845171451569,0.26290979981422424,0.19542355835437775,0.28569602966308594,0.24861903488636017,0.2166581153869629,0.42967134714126587
spurred,0.1571878343820572,0.3506568372249603,0.256925493478775,0.21707865595817566,0.3226204514503479,0.14985018968582153,0.20916546881198883,0.20848560333251953,0.22858156263828278,0.21707865595817566,0.3226204514503479,0.14985018968582153,0.21055223047733307,0.17461735010147095,0.284728467464447,0.32628610730171204,0.27444079518318176,0.06163712218403816
the,0.367077499628067,1.0,0.2206745594739914,0.2061677873134613,0.733189046382904,0.293011337518692,0.4933079481124878,0.42745697498321533,0.44152235984802246,0.2061677873134613,0.733189046382904,0.293011337518692,0.35928019881248474,0.35145696997642517,0.2277156263589859,0.25318023562431335,0.5107308030128479,0.22068053483963013
development,0.21646735072135925,0.3362044394016266,0.30721017718315125,0.1737055480480194,0.28700894117355347,0.17202802002429962,0.23776917159557343,0.19014155864715576,0.2599644660949707,0.1737055480480194,0.28700894117355347,0.17202802002429962,0.19386763870716095,0.196862131357193,0.360708087682724,0.3034515082836151,0.23800693452358246,0.1211358830332756
of,0.3665722906589508,0.733189046382904,0.23113320767879486,0.2299845814704895,1.0,0.228018656373024,0.4946078956127167,0.33290785551071167,0.38583824038505554,0.2299845814704895,1.0,0.228018656373024,0.3119818866252899,0.2778518795967102,0.23506702482700348,0.2428540587425232,0.3966929316520691,0.1826142966747284
various,0.37099942564964294,0.3235042691230774,0.2915550768375397,0.09412728250026703,0.3196488320827484,0.25294777750968933,0.30093157291412354,0.26045072078704834,0.5197291374206543,0.09412728250026703,0.3196488320827484,0.25294777750968933,0.21168746054172516,0.3311772346496582,0.21280913054943085,0.264633446931839,0.2678913474082947,0.12823495268821716
branches,0.25324684381484985,0.3295007646083832,0.23729701340198517,0.21478886902332306,0.3017720878124237,0.20132620632648468,0.24196526408195496,0.1727389693260193,0.3024667203426361,0.21478886902332306,0.3017720878124237,0.20132620632648468,0.19476425647735596,0.19394229352474213,0.23977750539779663,0.23306825757026672,0.15383903682231903,0.12858285009860992
of,0.3665722906589508,0.733189046382904,0.23113320767879486,0.2299845814704895,1.0,0.228018656373024,0.4946078956127167,0.33290785551071167,0.38583824038505554,0.2299845814704895,1.0,0.228018656373024,0.3119818866252899,0.2778518795967102,0.23506702482700348,0.2428540587425232,0.3966929316520691,0.1826142966747284
number,0.24924492835998535,0.35145696997642517,0.25498053431510925,0.1682608723640442,0.2778518795967102,0.7132124304771423,0.2535701394081116,0.23046229779720306,0.3754757344722748,0.1682608723640442,0.2778518795967102,0.7132124304771423,0.1831183135509491,1.0,0.24102473258972168,0.20446203649044037,0.2978411018848419,0.19256845116615295
theory,0.21004968881607056,0.2277156263589859,0.489282488822937,0.18498994410037994,0.23506702482700348,0.21611954271793365,0.18095813691616058,0.297923743724823,0.22177660465240479,0.18498994410037994,0.23506702482700348,0.21611954271793365,0.18013693392276764,0.24102473258972168,0.9999999403953552,0.20193998515605927,0.16873858869075775,0.1387292891740799
",",0.340058833360672,0.4933079481124878,0.19501078128814697,0.19562678039073944,0.4946078956127167,0.26479464769363403,1.0000001192092896,0.3087472915649414,0.4446498453617096,0.19562678039073944,0.4946078956127167,0.26479464769363403,0.28617382049560547,0.2535701394081116,0.18095813691616058,0.23845507204532623,0.49057599902153015,0.31091248989105225
