,who,killed,harold,ii,?
in,0.2792111933231354,0.1957504004240036,0.2284298837184906,0.21453368663787842,0.20430970191955566
1066,-0.0025869181845337152,0.06957735121250153,0.08915098011493683,-0.018842648714780807,-0.048521675169467926
",",0.3365725874900818,0.3006497025489807,0.2359737902879715,0.27159881591796875,0.31091248989105225
duke,0.20138677954673767,0.1890897899866104,0.2515070140361786,0.3410152196884155,0.13699419796466827
william,0.32068803906440735,0.16901184618473053,0.4507744014263153,0.20738165080547333,0.14462219178676605
ii,0.20800143480300903,0.251168817281723,0.15759170055389404,0.9999999403953552,0.11928234249353409
of,0.2827862501144409,0.2589981257915497,0.19005732238292694,0.2844806909561157,0.1826142966747284
normandy,0.19740919768810272,0.217781662940979,0.3086808919906616,0.29836565256118774,0.1584552675485611
conquered,0.24472782015800476,0.30264851450920105,0.2121557742357254,0.2587423026561737,0.12499574571847916
england,0.23733465373516083,0.1758657693862915,0.2950466573238373,0.24585837125778198,0.13436897099018097
killing,0.22400251030921936,0.6540077328681946,0.10528066009283066,0.1946449875831604,0.13008421659469604
king,0.24555552005767822,0.26481691002845764,0.29070714116096497,0.37517985701560974,0.19130074977874756
harold,0.1999358981847763,0.19429294764995575,0.9999999403953552,0.15759170055389404,0.151779443025589
ii,0.20800143480300903,0.251168817281723,0.15759170055389404,0.9999999403953552,0.11928234249353409
at,0.22096660733222961,0.24826225638389587,0.212118461728096,0.13673481345176697,0.21978627145290375
the,0.3733934462070465,0.23115427792072296,0.21060243248939514,0.2631464898586273,0.22068053483963013
battle,0.16377700865268707,0.36464595794677734,0.19475185871124268,0.2661164104938507,0.1680624783039093
of,0.2827862501144409,0.2589981257915497,0.19005732238292694,0.2844806909561157,0.1826142966747284
hastings,0.16425882279872894,0.2453620582818985,0.385127454996109,0.16742321848869324,0.12590168416500092
.,0.3541337847709656,0.2666846215724945,0.24796979129314423,0.27393630146980286,0.4130953550338745
