,who,designed,salamanca,?
only,0.4202229380607605,0.20703572034835815,0.16646075248718262,0.2767370045185089
four,0.1980169266462326,0.18801690638065338,0.1409083902835846,0.14532537758350372
years,0.29867154359817505,0.15744167566299438,0.1695789098739624,0.1914375126361847
later,0.35185644030570984,0.1906561404466629,0.1861320436000824,0.1417175978422165
",",0.3365725874900818,0.201692596077919,0.24841874837875366,0.31091248989105225
the,0.3733934462070465,0.2559613883495331,0.25914448499679565,0.22068053483963013
successful,0.22461774945259094,0.11858026683330536,0.1680723875761032,0.1132197454571724
twin-cylinder,0.09332466870546341,0.28212839365005493,0.09348025918006897,0.17149202525615692
locomotive,0.1508799046278,0.25257980823516846,0.11332061141729355,0.10199091583490372
salamanca,0.1295357048511505,0.10260892659425735,1.0,0.15753762423992157
by,0.39727845788002014,0.29250532388687134,0.11833664774894714,0.17966607213020325
matthew,0.25327014923095703,0.12007035315036774,0.061696045100688934,0.08641620725393295
murray,0.2095356583595276,0.06352384388446808,0.16634301841259003,0.17931228876113892
was,0.3318818509578705,0.28384989500045776,0.17990678548812866,0.18412111699581146
used,0.20756356418132782,0.4257775843143463,0.08582582324743271,0.22430120408535004
by,0.39727845788002014,0.29250532388687134,0.11833664774894714,0.17966607213020325
the,0.3733934462070465,0.2559613883495331,0.25914448499679565,0.22068053483963013
edge,0.11641649901866913,0.1252884864807129,0.09965520352125168,0.06842754781246185
railed,0.21954740583896637,0.25222212076187134,0.23138418793678284,0.22706663608551025
rack,0.11877384036779404,0.17685259878635406,0.08133076131343842,0.18209603428840637
and,0.41279885172843933,0.2359010875225067,0.17078030109405518,0.20544172823429108
pinion,0.23832637071609497,0.1335335075855255,0.2213190644979477,0.32330402731895447
middleton,0.31587788462638855,0.12608300149440765,0.1261083334684372,0.1538165658712387
railway,0.17291216552257538,0.15948261320590973,0.15151166915893555,0.07994066178798676
.,0.3541337847709656,0.24422594904899597,0.2542265057563782,0.4130953550338745
