,what,company,did,eisner,become,president,of,when,he,left,abc,in,1976,?
eisner,0.15956594049930573,0.1913316398859024,0.1186535656452179,1.0000001192092896,0.21397936344146729,0.3701631724834442,0.2542112171649933,0.21043066680431366,0.35028937458992004,0.13534103333950043,0.26641231775283813,0.2135956734418869,0.05692010745406151,0.19891394674777985
left,0.2442072629928589,0.12552933394908905,0.27335280179977417,0.13534103333950043,0.21925410628318787,0.14433994889259338,0.2218635529279709,0.3236202895641327,0.2527402639389038,1.0,0.20078213512897491,0.21139952540397644,0.12827177345752716,0.13251960277557373
abc,0.1317344456911087,0.16210390627384186,0.13353709876537323,0.26641231775283813,0.06849972158670425,0.20593604445457458,0.14607268571853638,0.13294127583503723,0.22597992420196533,0.20078213512897491,1.0000001192092896,0.1697147786617279,0.11633700132369995,0.19065172970294952
in,0.30808621644973755,0.22141718864440918,0.2593238651752472,0.2135956734418869,0.23238378763198853,0.18811661005020142,0.5696388483047485,0.4431333839893341,0.41690486669540405,0.21139952540397644,0.1697147786617279,1.0,0.05630391836166382,0.20430970191955566
1976,0.1609642058610916,0.027488231658935547,0.18825019896030426,0.05692010745406151,0.12613613903522491,0.013705714605748653,0.04266154393553734,0.14682120084762573,0.0844348669052124,0.12827177345752716,0.11633700132369995,0.05630391836166382,1.0000001192092896,0.08586528897285461
to,0.455847829580307,0.24903783202171326,0.4452643394470215,0.15939976274967194,0.36996012926101685,0.21247753500938416,0.41548454761505127,0.5423505902290344,0.385390967130661,0.2724500000476837,0.1762417107820511,0.45010748505592346,0.1282438188791275,0.29463258385658264
become,0.27134042978286743,0.13729272782802582,0.2625269889831543,0.21397936344146729,1.0,0.1769486367702484,0.31678006052970886,0.4120000898838043,0.34560438990592957,0.21925410628318787,0.06849972158670425,0.23238378763198853,0.12613613903522491,0.19511328637599945
president,0.1870913952589035,0.22260580956935883,0.1801012009382248,0.3701631724834442,0.1769486367702484,1.0000001192092896,0.21610750257968903,0.17933911085128784,0.28017905354499817,0.14433994889259338,0.20593604445457458,0.18811661005020142,0.013705714605748653,0.14148259162902832
of,0.33290785551071167,0.20467796921730042,0.2513895630836487,0.2542112171649933,0.31678006052970886,0.21610750257968903,1.0,0.3757161796092987,0.38706058263778687,0.2218635529279709,0.14607268571853638,0.5696388483047485,0.04266154393553734,0.1826142966747284
paramount,0.1447969675064087,0.36330583691596985,0.1342800110578537,0.40032342076301575,0.0547654889523983,0.2613013684749603,0.12845782935619354,0.18428830802440643,0.1738039255142212,0.14017871022224426,0.3420375883579254,0.16795049607753754,0.11760284006595612,0.1511610448360443
pictures,0.25560304522514343,0.2676602602005005,0.16854818165302277,0.2255745679140091,0.10213091969490051,0.1294209212064743,0.19921936094760895,0.19389167428016663,0.1535537987947464,0.11281038820743561,0.23470810055732727,0.2267172932624817,0.07537231594324112,0.20528490841388702
(,0.2411840260028839,0.13179703056812286,0.18979617953300476,0.20599867403507233,0.17883598804473877,0.2037333846092224,0.35032153129577637,0.2459595799446106,0.21137313544750214,0.23056362569332123,0.183883935213089,0.3087427020072937,0.06437017023563385,0.40561532974243164
and,0.31309178471565247,0.23788511753082275,0.34479495882987976,0.2875044047832489,0.3416603207588196,0.23286236822605133,0.5116966962814331,0.4716290831565857,0.45427167415618896,0.2571277916431427,0.16453155875205994,0.4954058527946472,0.11493992060422897,0.20544172823429108
would,0.45766422152519226,0.2073281854391098,0.6268245577812195,0.10602591186761856,0.36260196566581726,0.18554231524467468,0.3353942930698395,0.4219970703125,0.27278512716293335,0.27485910058021545,0.13780725002288818,0.30461156368255615,0.18437887728214264,0.37178951501846313
later,0.2517229914665222,0.23193000257015228,0.38386887311935425,0.24008388817310333,0.312420517206192,0.17261546850204468,0.3458743393421173,0.4627884030342102,0.4860261380672455,0.24691596627235413,0.20194683969020844,0.40857815742492676,0.1461842805147171,0.1417175978422165
become,0.27134042978286743,0.13729272782802582,0.2625269889831543,0.21397936344146729,1.0,0.1769486367702484,0.31678006052970886,0.4120000898838043,0.34560438990592957,0.21925410628318787,0.06849972158670425,0.23238378763198853,0.12613613903522491,0.19511328637599945
the,0.42745697498321533,0.26591673493385315,0.34736719727516174,0.29918214678764343,0.31731709837913513,0.24330610036849976,0.733189046382904,0.5091903209686279,0.4571082592010498,0.33113980293273926,0.2068762183189392,0.6662389636039734,0.05905425176024437,0.22068053483963013
