,who,is,the,final,judge,of,right,and,wrong,?
however,0.4020770490169525,0.33769986033439636,0.49814513325691223,0.3022352159023285,0.21971425414085388,0.3800618350505829,0.24635130167007446,0.498121976852417,0.40311336517333984,0.2152075469493866
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.24864837527275085,0.2974090576171875,0.4946078956127167,0.24165019392967224,0.6633074283599854,0.28518038988113403,0.31091248989105225
this,0.3345087468624115,0.480927973985672,0.6274310946464539,0.2752659320831299,0.15621988475322723,0.45148900151252747,0.3456582725048065,0.42353692650794983,0.4015366733074188,0.3155723512172699
definition,0.11727189272642136,0.29006320238113403,0.23176956176757812,0.17995716631412506,0.13370883464813232,0.24912455677986145,0.1569189727306366,0.1981266289949417,0.28250133991241455,0.2796523869037628
is,0.24293622374534607,1.0,0.5823672413825989,0.1859603077173233,0.25163978338241577,0.4854315221309662,0.22718656063079834,0.3859752118587494,0.22142094373703003,0.22961433231830597
disputed,0.2177141308784485,0.20942822098731995,0.32414746284484863,0.17669931054115295,0.21757826209068298,0.3062489330768585,0.20669162273406982,0.2306099683046341,0.23597165942192078,0.2165134698152542
by,0.39727845788002014,0.3899846076965332,0.4408751428127289,0.1934421956539154,0.19479994475841522,0.3646814823150635,0.1945604532957077,0.4289871156215668,0.25217339396476746,0.17966607213020325
thoreau,0.38208138942718506,0.23455512523651123,0.30504027009010315,0.06731199473142624,0.1963963359594345,0.27008235454559326,0.2091318666934967,0.36109691858291626,0.29449811577796936,0.1922200322151184
's,0.05599616840481758,0.02396530658006668,-0.01540423184633255,0.03147284314036369,-0.03163137286901474,-0.03817026689648628,-0.03631126880645752,0.06895173341035843,0.01879735291004181,-0.023395681753754616
political,0.24357503652572632,0.15203817188739777,0.20477235317230225,0.050175078213214874,0.25488749146461487,0.27319738268852234,0.2652382254600525,0.33013346791267395,0.23656608164310455,0.17130474746227264
philosophy,0.23700125515460968,0.1620357632637024,0.19357287883758545,0.12508444488048553,0.17651702463626862,0.2520225942134857,0.1899292767047882,0.23960337042808533,0.26637834310531616,0.17949430644512177
pitching,0.179539754986763,0.20529846847057343,0.2339552342891693,0.16982731223106384,0.19856134057044983,0.20131652057170868,0.15336626768112183,0.21666494011878967,0.2549353539943695,0.16604843735694885
the,0.3733934462070465,0.5823672413825989,1.0,0.3543182611465454,0.21985375881195068,0.733189046382904,0.33901116251945496,0.5171257257461548,0.25067222118377686,0.22068053483963013
