,what,was,developed,for,the,air,force
baran,0.11883194744586945,0.1646592766046524,0.137728750705719,0.1477230191230774,0.20225991308689117,0.19263207912445068,0.11589477211236954
developed,0.15555569529533386,0.3253139555454254,1.0000001192092896,0.22294896841049194,0.24490751326084137,0.14225755631923676,0.12648999691009521
the,0.42745697498321533,0.48711544275283813,0.24490751326084137,0.4739971458911896,1.0,0.2877824306488037,0.2800885736942291
concept,0.28724339604377747,0.2765439450740814,0.36560875177383423,0.24192313849925995,0.2355310022830963,0.11173049360513687,0.17681357264518738
of,0.33290785551071167,0.4069072902202606,0.21960023045539856,0.4185989499092102,0.733189046382904,0.24196814000606537,0.27094775438308716
distributed,0.12753748893737793,0.1954849809408188,0.3228086531162262,0.1645078957080841,0.28740596771240234,0.18132421374320984,0.14879529178142548
adaptive,0.22806508839130402,0.18288499116897583,0.3314688801765442,0.22177909314632416,0.25968632102012634,0.10302130877971649,0.14635106921195984
message,0.35757336020469666,0.16742418706417084,0.06032557040452957,0.2378046065568924,0.2559654116630554,0.10513684153556824,0.18423035740852356
block,0.33229514956474304,0.1182115375995636,0.043709177523851395,0.2480357587337494,0.20056472718715668,0.16024453938007355,0.15203414857387543
switching,0.24737738072872162,0.18965338170528412,0.24278002977371216,0.29707083106040955,0.2702193558216095,0.15708748996257782,0.1691371202468872
during,0.24137552082538605,0.4470829963684082,0.21984022855758667,0.3448435664176941,0.4838213622570038,0.24089480936527252,0.2255992889404297
his,0.26976513862609863,0.4405253231525421,0.17389048635959625,0.39312878251075745,0.4394008219242096,0.16059604287147522,0.1886657476425171
research,0.237140491604805,0.21417704224586487,0.29304683208465576,0.29481053352355957,0.24391183257102966,0.15260235965251923,0.19177357852458954
at,0.2838611304759979,0.36707764863967896,0.1761963814496994,0.34237727522850037,0.457212895154953,0.18523330986499786,0.17609930038452148
the,0.42745697498321533,0.48711544275283813,0.24490751326084137,0.4739971458911896,1.0,0.2877824306488037,0.2800885736942291
rand,0.23037707805633545,0.22434252500534058,0.1760486364364624,0.2529878616333008,0.16493244469165802,0.19994208216667175,0.1221919059753418
corporation,0.1715448498725891,0.2535845935344696,0.24605746567249298,0.24735866487026215,0.26837587356567383,0.21875515580177307,0.161970317363739
for,0.3017193675041199,0.3863949179649353,0.22294896841049194,0.9999999403953552,0.4739971458911896,0.15818573534488678,0.15857845544815063
the,0.42745697498321533,0.48711544275283813,0.24490751326084137,0.4739971458911896,1.0,0.2877824306488037,0.2800885736942291
us,0.32081687450408936,0.19898231327533722,0.13503265380859375,0.26768606901168823,0.25727739930152893,0.19266866147518158,0.17966711521148682
air,0.10361403971910477,0.18898457288742065,0.14225755631923676,0.15818573534488678,0.2877824306488037,1.0000001192092896,0.5440972447395325
force,0.16915984451770782,0.20879842340946198,0.12648999691009521,0.15857845544815063,0.2800885736942291,0.5440972447395325,1.0000001192092896
into,0.2180619090795517,0.2322220653295517,0.25731268525123596,0.231735959649086,0.39493247866630554,0.22211341559886932,0.1669553965330124
survivable,0.3223760724067688,0.21822617948055267,0.30282944440841675,0.30614158511161804,0.3111875653266907,0.15714164078235626,0.1285054087638855
communications,0.18950708210468292,0.2137834131717682,0.2311728447675705,0.2531185746192932,0.2746332883834839,0.2582085132598877,0.19600418210029602
networks,0.18279550969600677,0.169170543551445,0.2324790358543396,0.2421427071094513,0.24705806374549866,0.21538320183753967,0.19722740352153778
",",0.3087472915649414,0.45456063747406006,0.24565434455871582,0.4464869201183319,0.4933079481124878,0.24731357395648956,0.22091743350028992
first,0.28086137771606445,0.5022147297859192,0.2750127613544464,0.3800288736820221,0.49448907375335693,0.1670549213886261,0.1799899935722351
presented,0.23381416499614716,0.2883085608482361,0.19558513164520264,0.3429855704307556,0.3251480758190155,0.20321619510650635,0.17011265456676483
to,0.455847829580307,0.3636345863342285,0.19491806626319885,0.4451248347759247,0.535392165184021,0.24103909730911255,0.24496492743492126
the,0.42745697498321533,0.48711544275283813,0.24490751326084137,0.4739971458911896,1.0,0.2877824306488037,0.2800885736942291
air,0.10361403971910477,0.18898457288742065,0.14225755631923676,0.15818573534488678,0.2877824306488037,1.0000001192092896,0.5440972447395325
force,0.16915984451770782,0.20879842340946198,0.12648999691009521,0.15857845544815063,0.2800885736942291,0.5440972447395325,1.0000001192092896
in,0.30808621644973755,0.45514053106307983,0.2498214840888977,0.4322226941585541,0.6662389636039734,0.22172939777374268,0.21744468808174133
the,0.42745697498321533,0.48711544275283813,0.24490751326084137,0.4739971458911896,1.0,0.2877824306488037,0.2800885736942291
summer,0.16213102638721466,0.22632931172847748,0.1532616913318634,0.2597406506538391,0.2685571610927582,0.2724791169166565,0.1256738156080246
of,0.33290785551071167,0.4069072902202606,0.21960023045539856,0.4185989499092102,0.733189046382904,0.24196814000606537,0.27094775438308716
1961,-0.03442762792110443,0.09389110654592514,0.09769435971975327,0.014115508645772934,0.0738944262266159,0.04413501173257828,0.10205216705799103
as,0.31749409437179565,0.3677520453929901,0.21440666913986206,0.44774648547172546,0.48381632566452026,0.17459522187709808,0.19216643273830414
briefing,0.18385592103004456,0.28812867403030396,0.16890832781791687,0.3372129201889038,0.35277771949768066,0.18001915514469147,0.18996290862560272
b-265,0.0787566751241684,0.07904361933469772,0.061021991074085236,0.0535137765109539,-0.024411065503954887,0.024218818172812462,0.06783945858478546
",",0.3087472915649414,0.45456063747406006,0.24565434455871582,0.4464869201183319,0.4933079481124878,0.24731357395648956,0.22091743350028992
later,0.2517229914665222,0.5684447288513184,0.30120304226875305,0.3573088049888611,0.4060266613960266,0.16353875398635864,0.19156481325626373
published,0.20457668602466583,0.2896443009376526,0.41886842250823975,0.21304498612880707,0.22017472982406616,0.08664175122976303,0.11021639406681061
as,0.31749409437179565,0.3677520453929901,0.21440666913986206,0.44774648547172546,0.48381632566452026,0.17459522187709808,0.19216643273830414
rand,0.23037707805633545,0.22434252500534058,0.1760486364364624,0.2529878616333008,0.16493244469165802,0.19994208216667175,0.1221919059753418
report,0.2868559956550598,0.19926786422729492,0.1818796545267105,0.2216007560491562,0.2556745111942291,0.138037770986557,0.19555364549160004
p-2626,0.2793515920639038,0.08724398165941238,0.185146763920784,0.09508568793535233,0.08473308384418488,-0.051277872174978256,0.04828978329896927
in,0.30808621644973755,0.45514053106307983,0.2498214840888977,0.4322226941585541,0.6662389636039734,0.22172939777374268,0.21744468808174133
1962,-0.001027831924147904,-0.03281155601143837,-0.07109231501817703,-0.07097548246383667,-0.023296929895877838,-0.055197153240442276,-0.008376163430511951
",",0.3087472915649414,0.45456063747406006,0.24565434455871582,0.4464869201183319,0.4933079481124878,0.24731357395648956,0.22091743350028992
and,0.31309178471565247,0.3740963041782379,0.25542938709259033,0.5064792633056641,0.5171257257461548,0.2508046329021454,0.24372100830078125
finally,0.33623361587524414,0.3442646861076355,0.1901283860206604,0.276338666677475,0.4516841769218445,0.17267677187919617,0.21272042393684387
in,0.30808621644973755,0.45514053106307983,0.2498214840888977,0.4322226941585541,0.6662389636039734,0.22172939777374268,0.21744468808174133
report,0.2868559956550598,0.19926786422729492,0.1818796545267105,0.2216007560491562,0.2556745111942291,0.138037770986557,0.19555364549160004
rm,0.23775295913219452,0.1591407060623169,0.09810777753591537,0.22854731976985931,0.18706706166267395,0.154635950922966,0.19439561665058136
3420,0.05645347014069557,-0.017228301614522934,-0.12918242812156677,-0.034286096692085266,-0.006276080850511789,-0.029606590047478676,0.07193473726511002
in,0.30808621644973755,0.45514053106307983,0.2498214840888977,0.4322226941585541,0.6662389636039734,0.22172939777374268,0.21744468808174133
1964,-0.0811573788523674,-0.10244843363761902,0.06746374070644379,0.013491551391780376,-0.01880853809416294,0.004777070600539446,-0.033393535763025284
.,0.3567904531955719,0.40146201848983765,0.2569568455219269,0.4726039469242096,0.5934505462646484,0.2759295105934143,0.2783275842666626
