,what,is,the,region,called,that,is,the,largest,conurbation,of,the,rhine,?
here,0.5220553874969482,0.3368209898471832,0.37885698676109314,0.23169399797916412,0.22320926189422607,0.48036354780197144,0.3368209898471832,0.37885698676109314,0.16315387189388275,0.2301928997039795,0.29118096828460693,0.37885698676109314,0.20670028030872345,0.5686008334159851
the,0.42745697498321533,0.5823672413825989,1.0,0.35020557045936584,0.489897221326828,0.5473989248275757,0.5823672413825989,1.0,0.3757036626338959,0.33684197068214417,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.25959649682044983,0.14562174677848816,0.16362759470939636,0.15617261826992035,0.30735138058662415,0.1578357070684433,0.3155859112739563,0.2548927664756775,0.30735138058662415,1.0,0.13754533231258392
flows,0.14294633269309998,0.3137552738189697,0.32405155897140503,0.3322700262069702,0.20558235049247742,0.1644459366798401,0.3137552738189697,0.32405155897140503,0.215157151222229,0.37992367148399353,0.25574392080307007,0.32405155897140503,0.2871347963809967,0.11636040359735489
through,0.23167094588279724,0.27805060148239136,0.44071322679519653,0.2081601619720459,0.24172358214855194,0.3152649402618408,0.27805060148239136,0.44071322679519653,0.1836661845445633,0.2098199874162674,0.3647414743900299,0.44071322679519653,0.23343999683856964,0.16913433372974396
the,0.42745697498321533,0.5823672413825989,1.0,0.35020557045936584,0.489897221326828,0.5473989248275757,0.5823672413825989,1.0,0.3757036626338959,0.33684197068214417,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.33503445982933044,0.3034048080444336,0.19412246346473694,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.3922884464263916,0.36650770902633667,0.3757036626338959,0.1578357070684433,0.12401245534420013
conurbation,0.19731159508228302,0.34801194071769714,0.33684197068214417,0.37798330187797546,0.29204607009887695,0.20477358996868134,0.34801194071769714,0.33684197068214417,0.3922884464263916,1.0,0.3806275427341461,0.33684197068214417,0.3155859112739563,0.09360188990831375
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3524819314479828,0.40847352147102356,0.435920387506485,0.5394441485404968,0.6662389636039734,0.3017216920852661,0.38311389088630676,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.20430970191955566
germany,0.21690446138381958,0.2201172411441803,0.3181285262107849,0.19784685969352722,0.1935252547264099,0.22514168918132782,0.2201172411441803,0.3181285262107849,0.19323766231536865,0.27487996220588684,0.2942050099372864,0.3181285262107849,0.5801170468330383,0.1388660967350006
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2119160145521164,0.26549121737480164,0.4137537479400635,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.2874966263771057,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.35020557045936584,0.489897221326828,0.5473989248275757,0.5823672413825989,1.0,0.3757036626338959,0.33684197068214417,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
rhine-ruhr,0.1912362426519394,0.1803217977285385,0.3213178515434265,0.28899362683296204,0.16693682968616486,0.18662898242473602,0.1803217977285385,0.3213178515434265,0.23763319849967957,0.3751990795135498,0.2591933012008667,0.3213178515434265,0.9115493297576904,0.17643186450004578
region,0.2298986315727234,0.3317503035068512,0.35020557045936584,1.0,0.22494105994701385,0.20183102786540985,0.3317503035068512,0.35020557045936584,0.33503445982933044,0.37798330187797546,0.2852717339992523,0.35020557045936584,0.25959649682044983,0.13441751897335052
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2506107687950134,0.300344854593277,0.4460422694683075,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.25882917642593384,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.4130953550338745
