,gamma,delta,t,cells,share,the,characteristics,of,what,other,types,of,t,cells,?
gamma,1.0000001192092896,0.332016259431839,0.1944318413734436,0.2772672772407532,0.0693325623869896,0.2307703047990799,0.25353580713272095,0.18485099077224731,0.17321382462978363,0.13834838569164276,0.17940400540828705,0.18485099077224731,0.1944318413734436,0.2772672772407532,0.19885970652103424
delta,0.332016259431839,1.0000001192092896,0.12643550336360931,0.14615286886692047,0.06969620287418365,0.22022446990013123,0.18417778611183167,0.20736707746982574,0.11423289775848389,0.13147370517253876,0.15890292823314667,0.20736707746982574,0.12643550336360931,0.14615286886692047,0.14208948612213135
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.16746319830417633,0.2083338052034378,0.14322543144226074,0.14617829024791718,0.37454068660736084,0.23803606629371643,0.1665450632572174,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.4954066574573517
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.09640959650278091,0.19095487892627716,0.3392690420150757,0.21305565536022186,0.1758001297712326,0.22227968275547028,0.30914390087127686,0.21305565536022186,0.25527921319007874,1.0,0.1898086667060852
(,0.22592632472515106,0.15024615824222565,0.29704031348228455,0.2060161978006363,0.18660616874694824,0.33289089798927307,0.17024657130241394,0.35032153129577637,0.2411840260028839,0.25035592913627625,0.12465982884168625,0.35032153129577637,0.29704031348228455,0.2060161978006363,0.40561532974243164
γδ,-0.021495308727025986,-0.0043403347954154015,0.09449943900108337,-0.028628746047616005,-0.030876191332936287,-0.1195644736289978,-0.11529893428087234,-0.10087195783853531,-0.08154492825269699,-0.1329120248556137,-0.14582811295986176,-0.10087195783853531,0.09449943900108337,-0.028628746047616005,0.07116200774908066
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.16746319830417633,0.2083338052034378,0.14322543144226074,0.14617829024791718,0.37454068660736084,0.23803606629371643,0.1665450632572174,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.4954066574573517
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.09640959650278091,0.19095487892627716,0.3392690420150757,0.21305565536022186,0.1758001297712326,0.22227968275547028,0.30914390087127686,0.21305565536022186,0.25527921319007874,1.0,0.1898086667060852
),0.21280205249786377,0.1587669551372528,0.2804548442363739,0.17987960577011108,0.20194026827812195,0.3456730246543884,0.1559622585773468,0.3680361211299896,0.26259949803352356,0.26200005412101746,0.11417452245950699,0.3680361211299896,0.2804548442363739,0.17987960577011108,0.42300865054130554
possess,0.19318892061710358,0.06037440896034241,0.15004591643810272,0.30985718965530396,0.29856547713279724,0.2654380798339844,0.4185318648815155,0.27185752987861633,0.26773881912231445,0.3133496344089508,0.19080506265163422,0.27185752987861633,0.15004591643810272,0.30985718965530396,0.1285712569952011
an,0.20306351780891418,0.14560812711715698,0.18232253193855286,0.18335485458374023,0.13699986040592194,0.4207492768764496,0.20364369451999664,0.32280945777893066,0.2821882665157318,0.1556563824415207,0.12193157523870468,0.32280945777893066,0.18232253193855286,0.18335485458374023,0.19793890416622162
alternative,0.1476643830537796,0.0727531760931015,0.18802505731582642,0.1709577441215515,0.18022991716861725,0.24553248286247253,0.2144247442483902,0.2218208760023117,0.1948106437921524,0.2799442708492279,0.27161848545074463,0.2218208760023117,0.18802505731582642,0.1709577441215515,0.22607778012752533
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.16746319830417633,0.2083338052034378,0.14322543144226074,0.14617829024791718,0.37454068660736084,0.23803606629371643,0.1665450632572174,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.4954066574573517
cell,0.2219196856021881,0.08589249104261398,0.24071010947227478,0.7729857563972473,0.08608555793762207,0.15822452306747437,0.2630493640899658,0.18332023918628693,0.19222842156887054,0.2019130438566208,0.2165098339319229,0.18332023918628693,0.24071010947227478,0.7729857563972473,0.2058541625738144
receptor,0.3249748945236206,0.15440990030765533,0.22843964397907257,0.5432859659194946,0.19866111874580383,0.24925383925437927,0.33749890327453613,0.16219308972358704,0.19285786151885986,0.24975687265396118,0.29459670186042786,0.16219308972358704,0.22843964397907257,0.5432859659194946,0.10260391980409622
(,0.22592632472515106,0.15024615824222565,0.29704031348228455,0.2060161978006363,0.18660616874694824,0.33289089798927307,0.17024657130241394,0.35032153129577637,0.2411840260028839,0.25035592913627625,0.12465982884168625,0.35032153129577637,0.29704031348228455,0.2060161978006363,0.40561532974243164
tcr,0.3296441435813904,0.19257427752017975,0.3235938847064972,0.32322657108306885,0.271793007850647,0.24953942000865936,0.2808667719364166,0.20970454812049866,0.33426550030708313,0.24774587154388428,0.25481733679771423,0.20970454812049866,0.3235938847064972,0.32322657108306885,0.31027549505233765
),0.21280205249786377,0.1587669551372528,0.2804548442363739,0.17987960577011108,0.20194026827812195,0.3456730246543884,0.1559622585773468,0.3680361211299896,0.26259949803352356,0.26200005412101746,0.11417452245950699,0.3680361211299896,0.2804548442363739,0.17987960577011108,0.42300865054130554
as,0.2033286690711975,0.15640535950660706,0.2405824363231659,0.2328435331583023,0.21369688212871552,0.48381632566452026,0.30713170766830444,0.3886612355709076,0.31749409437179565,0.42805421352386475,0.2006441354751587,0.3886612355709076,0.2405824363231659,0.2328435331583023,0.27043893933296204
opposed,0.06221865862607956,0.03633332625031471,0.25805434584617615,0.19144579768180847,0.21183472871780396,0.24302934110164642,0.24397359788417816,0.25387564301490784,0.35573211312294006,0.2671120762825012,0.15573954582214355,0.25387564301490784,0.25805434584617615,0.19144579768180847,0.23428945243358612
to,0.15385806560516357,0.16459326446056366,0.30417174100875854,0.26320719718933105,0.27366065979003906,0.535392165184021,0.27771568298339844,0.41548454761505127,0.455847829580307,0.4193183183670044,0.20054484903812408,0.41548454761505127,0.30417174100875854,0.26320719718933105,0.29463258385658264
cd4+,0.2966095507144928,0.11930641531944275,0.28947681188583374,0.17714403569698334,0.22780919075012207,0.17596563696861267,0.17732661962509155,0.16020861268043518,0.2433481067419052,0.20921076834201813,0.16866500675678253,0.16020861268043518,0.28947681188583374,0.17714403569698334,0.34284403920173645
and,0.16247797012329102,0.21133051812648773,0.25205641984939575,0.24033623933792114,0.28833726048469543,0.5171257257461548,0.32942116260528564,0.5116966962814331,0.31309178471565247,0.5504306554794312,0.3014242649078369,0.5116966962814331,0.25205641984939575,0.24033623933792114,0.20544172823429108
cd8+,0.17539247870445251,0.06148591265082359,0.20727157592773438,0.25718626379966736,0.12216496467590332,0.029859978705644608,0.16123396158218384,0.08705504238605499,0.1131703332066536,0.17863953113555908,0.1805211454629898,0.08705504238605499,0.20727157592773438,0.25718626379966736,0.2768722474575043
(,0.22592632472515106,0.15024615824222565,0.29704031348228455,0.2060161978006363,0.18660616874694824,0.33289089798927307,0.17024657130241394,0.35032153129577637,0.2411840260028839,0.25035592913627625,0.12465982884168625,0.35032153129577637,0.29704031348228455,0.2060161978006363,0.40561532974243164
αβ,0.0336436927318573,-0.0024064811877906322,0.07978847622871399,0.05800802633166313,0.09188296645879745,0.0017922564875334501,0.07021121680736542,0.011009777896106243,0.1361374855041504,0.1306905299425125,0.039681121706962585,0.011009777896106243,0.07978847622871399,0.05800802633166313,0.08655371516942978
),0.21280205249786377,0.1587669551372528,0.2804548442363739,0.17987960577011108,0.20194026827812195,0.3456730246543884,0.1559622585773468,0.3680361211299896,0.26259949803352356,0.26200005412101746,0.11417452245950699,0.3680361211299896,0.2804548442363739,0.17987960577011108,0.42300865054130554
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.16746319830417633,0.2083338052034378,0.14322543144226074,0.14617829024791718,0.37454068660736084,0.23803606629371643,0.1665450632572174,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.4954066574573517
