,what,movements,pursued,a,more,radical,direction,?
while,0.35511791706085205,0.1981770396232605,0.3654581606388092,0.3733035624027252,0.34450140595436096,0.169688418507576,0.22296477854251862,0.21076419949531555
qutb,0.2122718095779419,0.27796080708503723,0.2515128552913666,0.2560822367668152,0.16797174513339996,0.27608105540275574,0.12005174160003662,0.18769441545009613
's,0.02692362666130066,0.01989559456706047,0.04811590909957886,0.04866964742541313,0.032942235469818115,-0.03655558452010155,-0.01961333118379116,-0.023395681753754616
ideas,0.42330971360206604,0.4174177944660187,0.2525150775909424,0.2439810186624527,0.29118427634239197,0.4338417053222656,0.21137025952339172,0.2857283353805542
became,0.1434093862771988,0.1479768604040146,0.2437407523393631,0.28774285316467285,0.22458474338054657,0.20052579045295715,0.04664720222353935,0.11374033987522125
increasingly,0.19974569976329803,0.38106581568717957,0.3766893148422241,0.2660232484340668,0.511476457118988,0.32326212525367737,0.12410572916269302,0.059327382594347
radical,0.24992598593235016,0.37073180079460144,0.19020341336727142,0.2166643589735031,0.2542722821235657,0.9999998807907104,0.19426994025707245,0.1306871920824051
during,0.24137552082538605,0.26951631903648376,0.27233779430389404,0.30341604351997375,0.2523808181285858,0.19635838270187378,0.12427221238613129,0.1325719803571701
his,0.26976513862609863,0.20921877026557922,0.41496628522872925,0.3497250974178314,0.23633438348770142,0.22078970074653625,0.19947843253612518,0.18075084686279297
imprisonment,0.16481763124465942,0.17485550045967102,0.2867724299430847,0.20937210321426392,0.1696130335330963,0.27057042717933655,0.07865536957979202,0.13416679203510284
prior,0.2537507116794586,0.07340878248214722,0.2773674428462982,0.22647660970687866,0.22371190786361694,0.06365345418453217,0.16368693113327026,0.16978254914283752
to,0.455847829580307,0.278380423784256,0.29538169503211975,0.45503583550453186,0.47084665298461914,0.2716418504714966,0.32930055260658264,0.29463258385658264
his,0.26976513862609863,0.20921877026557922,0.41496628522872925,0.3497250974178314,0.23633438348770142,0.22078970074653625,0.19947843253612518,0.18075084686279297
execution,0.2218502163887024,0.16385269165039062,0.17384779453277588,0.23076730966567993,0.1816777139902115,0.14266279339790344,0.193791002035141,0.15878841280937195
in,0.30808621644973755,0.23150597512722015,0.20960086584091187,0.539380669593811,0.32563260197639465,0.20068511366844177,0.17485231161117554,0.20430970191955566
1966,0.04680648446083069,0.07043813914060593,-0.11394760012626648,0.06093672290444374,0.030311789363622665,0.08692480623722076,0.17935916781425476,0.08956238627433777
",",0.3087472915649414,0.2241983860731125,0.2765824794769287,0.427140474319458,0.3696524500846863,0.2340504378080368,0.23287029564380646,0.31091248989105225
the,0.42745697498321533,0.31594985723495483,0.18301384150981903,0.5829201340675354,0.39758381247520447,0.20306628942489624,0.28851455450057983,0.22068053483963013
leadership,0.2053566873073578,0.23290492594242096,0.3322041630744934,0.17936734855175018,0.22722719609737396,0.31991854310035706,0.2542230784893036,0.08979988098144531
of,0.33290785551071167,0.24170123040676117,0.18950186669826508,0.5052502155303955,0.30478984117507935,0.23039983212947845,0.18922415375709534,0.1826142966747284
the,0.42745697498321533,0.31594985723495483,0.18301384150981903,0.5829201340675354,0.39758381247520447,0.20306628942489624,0.28851455450057983,0.22068053483963013
brotherhood,0.168807253241539,0.30064424872398376,0.2536502182483673,0.22638042271137238,0.1314026415348053,0.3757104277610779,0.2196749597787857,0.1117945984005928
",",0.3087472915649414,0.2241983860731125,0.2765824794769287,0.427140474319458,0.3696524500846863,0.2340504378080368,0.23287029564380646,0.31091248989105225
led,0.12112844735383987,0.19971728324890137,0.33083248138427734,0.19072435796260834,0.2405170202255249,0.22036442160606384,0.17284370958805084,0.09273858368396759
by,0.2455483376979828,0.20860128104686737,0.24650777876377106,0.32094135880470276,0.2627272307872772,0.1902960240840912,0.27348291873931885,0.17966607213020325
hasan,0.15078935027122498,0.12365137040615082,0.19759975373744965,0.18147382140159607,0.14450152218341827,0.1610485017299652,0.12113247811794281,0.19237303733825684
al-hudaybi,0.22849895060062408,0.10200297087430954,0.20128367841243744,0.2019505500793457,0.24246805906295776,0.14956489205360413,0.15267930924892426,0.273107647895813
",",0.3087472915649414,0.2241983860731125,0.2765824794769287,0.427140474319458,0.3696524500846863,0.2340504378080368,0.23287029564380646,0.31091248989105225
remained,0.1733817607164383,0.13821905851364136,0.29159340262413025,0.23739774525165558,0.17420309782028198,0.22812215983867645,0.09317629784345627,0.08263323456048965
moderate,0.21703524887561798,0.30254122614860535,0.19663383066654205,0.2987329661846161,0.2644557058811188,0.32744425535202026,0.25237131118774414,0.14408792555332184
and,0.31309178471565247,0.32778605818748474,0.3188622295856476,0.3739250600337982,0.39880692958831787,0.248888298869133,0.2529398798942566,0.20544172823429108
interested,0.35256704688072205,0.2195785939693451,0.3523194193840027,0.25289642810821533,0.3021618127822876,0.19996285438537598,0.17192810773849487,0.2901444137096405
in,0.30808621644973755,0.23150597512722015,0.20960086584091187,0.539380669593811,0.32563260197639465,0.20068511366844177,0.17485231161117554,0.20430970191955566
political,0.21846716105937958,0.2966444492340088,0.2805069386959076,0.21418654918670654,0.19543394446372986,0.41768205165863037,0.15487176179885864,0.17130474746227264
