,what,causes,the,population,of,ctenophora,to,grow,at,an,explosive,rate,?
the,0.42745697498321533,0.2518732249736786,1.0,0.32044094800949097,0.733189046382904,0.2430446892976761,0.535392165184021,0.2652076482772827,0.457212895154953,0.4207492768764496,0.20922012627124786,0.24881242215633392,0.22068053483963013
combination,0.2204057276248932,0.1583581417798996,0.2879151701927185,0.19774912297725677,0.2990131080150604,0.19544178247451782,0.2600461542606354,0.12235673516988754,0.15849952399730682,0.25509580969810486,0.2728692591190338,0.2447337508201599,0.1620941311120987
of,0.33290785551071167,0.2544642984867096,0.733189046382904,0.3060894012451172,1.0,0.241486594080925,0.41548454761505127,0.2535724341869354,0.42558613419532776,0.32280945777893066,0.16089080274105072,0.24132871627807617,0.1826142966747284
hermaphroditism,0.2134397327899933,0.202245831489563,0.20623663067817688,0.27262213826179504,0.25799232721328735,0.5350534915924072,0.22561989724636078,0.3447217047214508,0.08723243325948715,0.12612998485565186,0.16102899610996246,0.17576652765274048,0.17436043918132782
and,0.31309178471565247,0.2964467406272888,0.5171257257461548,0.23080337047576904,0.5116966962814331,0.15281255543231964,0.48971283435821533,0.3117977976799011,0.3571503460407257,0.2838519215583801,0.1807897835969925,0.17405889928340912,0.20544172823429108
early,0.2454567849636078,0.16215434670448303,0.34442198276519775,0.16322816908359528,0.30937549471855164,0.21789143979549408,0.24557004868984222,0.16840320825576782,0.2549361288547516,0.21947315335273743,0.19534853100776672,0.20624738931655884,0.15272949635982513
reproduction,0.2499426305294037,0.20981250703334808,0.3131958246231079,0.27192506194114685,0.2937599718570709,0.4806295931339264,0.24905818700790405,0.33839812874794006,0.18913108110427856,0.16493062674999237,0.21250374615192413,0.27746981382369995,0.27122244238853455
enables,0.2261471003293991,0.24371850490570068,0.3079366385936737,0.06790979206562042,0.24253980815410614,0.23052978515625,0.38551828265190125,0.20098228752613068,0.1694703996181488,0.19133196771144867,0.25865358114242554,0.14839810132980347,0.18923234939575195
small,0.2504110634326935,0.14191403985023499,0.39655908942222595,0.2886941432952881,0.353353351354599,0.3116186559200287,0.3054737150669098,0.3110749125480652,0.23262587189674377,0.22656132280826569,0.25342586636543274,0.20850743353366852,0.13914890587329865
populations,0.19647875428199768,0.2827349305152893,0.2796059846878052,0.8579179048538208,0.2561377286911011,0.32797133922576904,0.21785755455493927,0.31110042333602905,0.1268087774515152,0.13399507105350494,0.16666598618030548,0.3419116139411926,0.17519071698188782
to,0.455847829580307,0.2537674903869629,0.535392165184021,0.19776633381843567,0.41548454761505127,0.12408250570297241,1.0,0.3296493887901306,0.36524343490600586,0.3138085603713989,0.18782442808151245,0.28584644198417664,0.29463258385658264
grow,0.23171839118003845,0.2514181137084961,0.2652076482772827,0.24132086336612701,0.2535724341869354,0.337240070104599,0.3296493887901306,1.0,0.17128874361515045,0.1422024965286255,0.1630094349384308,0.28342097997665405,0.12417493760585785
at,0.2838611304759979,0.183254674077034,0.457212895154953,0.15945716202259064,0.42558613419532776,0.10954401642084122,0.36524343490600586,0.17128874361515045,1.0,0.2446778565645218,0.15812957286834717,0.1911962926387787,0.21978627145290375
an,0.2821882665157318,0.270929753780365,0.4207492768764496,0.16069892048835754,0.32280945777893066,0.21260154247283936,0.3138085603713989,0.1422024965286255,0.2446778565645218,1.0,0.22237320244312286,0.16143523156642914,0.19793890416622162
explosive,0.15802854299545288,0.23894569277763367,0.20922012627124786,0.11525595188140869,0.16089080274105072,0.25053322315216064,0.18782442808151245,0.1630094349384308,0.15812957286834717,0.22237320244312286,1.0000001192092896,0.2830359935760498,0.15981081128120422
rate,0.21845893561840057,0.242007315158844,0.24881242215633392,0.3664343059062958,0.24132871627807617,0.13612297177314758,0.28584644198417664,0.28342097997665405,0.1911962926387787,0.16143523156642914,0.2830359935760498,1.0000001192092896,0.1308269053697586
.,0.3567904531955719,0.26090872287750244,0.5934505462646484,0.26950228214263916,0.5352458953857422,0.24174925684928894,0.4645031690597534,0.30482572317123413,0.4549728035926819,0.3581749200820923,0.22060438990592957,0.2418757975101471,0.4130953550338745
