,who,was,the,first,person,in,space,?
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.3120559751987457,0.21978497505187988,0.46853652596473694,0.15890881419181824,0.2714994251728058
april,0.2566681504249573,0.42695382237434387,0.23232673108577728,0.2994123697280884,0.14329831302165985,0.2882915735244751,0.15393027663230896,0.25704094767570496
12,0.07916399836540222,0.13560841977596283,0.28907760977745056,0.08027823269367218,0.12564942240715027,0.18516430258750916,0.0495922788977623,0.10021790862083435
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.2255365252494812,0.5201468467712402,0.2285580337047577,0.31091248989105225
1961,-0.016341788694262505,0.09389110654592514,0.0738944262266159,0.0450047142803669,-0.03832172229886055,0.09056709706783295,0.027759423479437828,0.009729373268783092
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.2255365252494812,0.5201468467712402,0.2285580337047577,0.31091248989105225
soviet,0.19540928304195404,0.259528785943985,0.2312941700220108,0.2088063806295395,0.15853862464427948,0.22826138138771057,0.28100618720054626,0.08693568408489227
cosmonaut,0.22495804727077484,0.18901972472667694,0.1391873061656952,0.2192711979150772,0.22094742953777313,0.11004972457885742,0.449808806180954,0.16513676941394806
yuri,0.2810781002044678,0.264174222946167,0.2019193172454834,0.2802785038948059,0.22132450342178345,0.12402302771806717,0.2304021120071411,0.11853878200054169
gagarin,0.16991844773292542,0.24130527675151825,0.2381294071674347,0.2920566499233246,0.23231928050518036,0.1757068634033203,0.37582510709762573,0.13204334676265717
became,0.2624726891517639,0.6575068235397339,0.36325156688690186,0.37862223386764526,0.18415507674217224,0.31047213077545166,0.08250382542610168,0.11374033987522125
the,0.3733934462070465,0.48711544275283813,1.0,0.49448907375335693,0.3487054407596588,0.6662389636039734,0.24495907127857208,0.22068053483963013
first,0.39065709710121155,0.5022147297859192,0.49448907375335693,1.0,0.3037048578262329,0.4127444326877594,0.24688784778118134,0.18701928853988647
person,0.4741832911968231,0.25889307260513306,0.3487054407596588,0.3037048578262329,0.9999999403953552,0.23876774311065674,0.2062278836965561,0.324093222618103
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.3792489171028137,0.33486208319664,0.45010748505592346,0.22712917625904083,0.29463258385658264
fly,0.18458044528961182,0.17728929221630096,0.20774713158607483,0.26368796825408936,0.13205251097679138,0.19532781839370728,0.25799858570098877,0.14858663082122803
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.23876774311065674,1.0,0.17648501694202423,0.20430970191955566
space,0.1441284865140915,0.14677780866622925,0.24495907127857208,0.24688784778118134,0.2062278836965561,0.17648501694202423,1.0000001192092896,0.1885536164045334
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.2255365252494812,0.5201468467712402,0.2285580337047577,0.31091248989105225
reinforcing,0.19604575634002686,0.17313523590564728,0.2849580645561218,0.16427116096019745,0.17852087318897247,0.2174796760082245,0.16182880103588104,0.18588945269584656
american,0.3093835413455963,0.31632548570632935,0.24562937021255493,0.29280033707618713,0.15112558007240295,0.22871561348438263,0.17944064736366272,0.18877598643302917
fears,0.29106783866882324,0.22525329887866974,0.2742179036140442,0.15315474569797516,0.28192582726478577,0.17466989159584045,0.17171281576156616,0.18915265798568726
about,0.3477841317653656,0.2577359974384308,0.37995871901512146,0.23546195030212402,0.27779239416122437,0.39797019958496094,0.1689152717590332,0.302409827709198
being,0.44037187099456787,0.5201660394668579,0.419739305973053,0.3338102698326111,0.4020610451698303,0.33162933588027954,0.19721807539463043,0.26743772625923157
left,0.24052289128303528,0.21956826746463776,0.33113980293273926,0.20286494493484497,0.09935231506824493,0.21139952540397644,0.23523685336112976,0.13251960277557373
behind,0.2240559607744217,0.27558037638664246,0.38928431272506714,0.1930677592754364,0.1841101050376892,0.3174246549606323,0.20143751800060272,0.19274599850177765
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.23876774311065674,1.0,0.17648501694202423,0.20430970191955566
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.4078793525695801,0.539380669593811,0.20296213030815125,0.23916715383529663
technological,0.1773984134197235,0.20581166446208954,0.27225103974342346,0.16565698385238647,0.14963287115097046,0.26757490634918213,0.27161163091659546,0.1312418282032013
competition,0.2201552838087082,0.23262746632099152,0.257230669260025,0.2504468858242035,0.1772526353597641,0.26072463393211365,0.1260661482810974,0.1394461691379547
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.2691199779510498,0.22800223529338837,0.4080928862094879,0.1992894560098648,0.2433311939239502
the,0.3733934462070465,0.48711544275283813,1.0,0.49448907375335693,0.3487054407596588,0.6662389636039734,0.24495907127857208,0.22068053483963013
soviet,0.19540928304195404,0.259528785943985,0.2312941700220108,0.2088063806295395,0.15853862464427948,0.22826138138771057,0.28100618720054626,0.08693568408489227
union,0.16662479937076569,0.23276571929454803,0.24421639740467072,0.17611145973205566,0.12695270776748657,0.22726479172706604,0.15852117538452148,0.07797172665596008
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.29091694951057434,0.5591574311256409,0.2385488897562027,0.4130953550338745
