,who,is,parodied,on,programs,such,as,saturday,night,live,and,the,simpsons,?
jon,0.2891683280467987,0.15072263777256012,0.27026811242103577,0.19869917631149292,0.15866048634052277,0.12663264572620392,0.18221917748451233,0.21761058270931244,0.23131240904331207,0.09723396599292755,0.1761859506368637,0.153504878282547,0.16533543169498444,0.1621117740869522
culshaw,0.2398768663406372,0.17157302796840668,0.3230006694793701,0.18510966002941132,0.18767210841178894,0.11594685912132263,0.2695038318634033,0.35967063903808594,0.2666207253932953,0.11291414499282837,0.24208882451057434,0.24500061571598053,0.34792560338974,0.14623433351516724
frequently,0.3087430000305176,0.24406132102012634,0.2577049136161804,0.22005623579025269,0.29533901810646057,0.3301234841346741,0.3417768180370331,0.25018632411956787,0.224700927734375,0.16349934041500092,0.3251250684261322,0.2643548250198364,0.24299389123916626,0.21401989459991455
impersonates,0.392118901014328,0.31639349460601807,0.3609898090362549,0.21622499823570251,0.20651701092720032,0.23504267632961273,0.3356514871120453,0.20158106088638306,0.19865192472934723,0.11849354207515717,0.27104461193084717,0.2037610411643982,0.20619939267635345,0.2780338227748871
the,0.3733934462070465,0.5823672413825989,0.2381843477487564,0.5107308030128479,0.21757709980010986,0.3575236201286316,0.48381632566452026,0.2665596902370453,0.2817382514476776,0.2995128035545349,0.5171257257461548,1.0,0.2686445713043213,0.22068053483963013
fourth,0.16443325579166412,0.31589972972869873,0.16756699979305267,0.2738758623600006,0.10918639600276947,0.05711112916469574,0.18366172909736633,0.17508743703365326,0.17389342188835144,0.18753960728645325,0.27958914637565613,0.40804702043533325,0.2388966977596283,0.13791213929653168
doctor,0.3504868149757385,0.19875872135162354,0.20016396045684814,0.1636410653591156,0.1782054901123047,0.1368570774793625,0.17422905564308167,0.1939886510372162,0.14202594757080078,0.14161759614944458,0.21673844754695892,0.2820442318916321,0.2863333523273468,0.1462511420249939
in,0.2792111933231354,0.5394441485404968,0.24839350581169128,0.46853652596473694,0.2276356965303421,0.2704046070575714,0.3887844979763031,0.22404831647872925,0.24847309291362762,0.3068392276763916,0.4954058527946472,0.6662389636039734,0.25425106287002563,0.20430970191955566
the,0.3733934462070465,0.5823672413825989,0.2381843477487564,0.5107308030128479,0.21757709980010986,0.3575236201286316,0.48381632566452026,0.2665596902370453,0.2817382514476776,0.2995128035545349,0.5171257257461548,1.0,0.2686445713043213,0.22068053483963013
bbc,0.2086644321680069,0.19024956226348877,0.3093757927417755,0.2646632492542267,0.3038882613182068,0.16239432990550995,0.18809008598327637,0.3157368302345276,0.23402176797389984,0.20493969321250916,0.17831335961818695,0.2735401690006256,0.3086280822753906,0.20556949079036713
dead,0.22744520008563995,0.17096485197544098,0.23819847404956818,0.2581343650817871,-0.015096855349838734,0.11651916801929474,0.1740422546863556,0.1700299233198166,0.25135594606399536,0.21134665608406067,0.2198004126548767,0.23191702365875244,0.16508060693740845,0.1856520175933838
ringers,0.2656981647014618,0.13414885103702545,0.22626475989818573,0.1879330724477768,0.2158052921295166,0.2105770856142044,0.16505523025989532,0.16538599133491516,0.22715160250663757,0.24375420808792114,0.2576884329319,0.2390865683555603,0.22893290221691132,0.12393701821565628
series,0.21484537422657013,0.20355552434921265,0.34842392802238464,0.23828625679016113,0.32225242257118225,0.19144901633262634,0.2641415596008301,0.27776050567626953,0.21364882588386536,0.11920711398124695,0.26972857117652893,0.31376904249191284,0.42333710193634033,0.1709602326154709
.,0.3541337847709656,0.4569662809371948,0.29284897446632385,0.49257001280784607,0.21148164570331573,0.3298943042755127,0.515582263469696,0.21376460790634155,0.24810922145843506,0.32964062690734863,0.588965117931366,0.5934505462646484,0.27942559123039246,0.4130953550338745
