,what,group,was,responsible,for,causing,more,violence,in,wittenberg,?
wittenberg,0.15816158056259155,0.10563385486602783,0.23245899379253387,0.10335130989551544,0.14358381927013397,0.12848898768424988,0.10297201573848724,0.06827302277088165,0.2511049211025238,1.0000001192092896,0.15716047585010529
became,0.1434093862771988,0.1589025855064392,0.6575068235397339,0.18293853104114532,0.3017078936100006,0.13261838257312775,0.22458474338054657,0.16734512150287628,0.31047213077545166,0.23896349966526031,0.11374033987522125
even,0.40872135758399963,0.21582670509815216,0.27441510558128357,0.20707394182682037,0.39184510707855225,0.3735033869743347,0.5038509368896484,0.2241838574409485,0.29146435856819153,0.17212891578674316,0.30082517862319946
more,0.3484537899494171,0.22754761576652527,0.21525104343891144,0.1990584135055542,0.3891189992427826,0.30105599761009216,1.0,0.22072415053844452,0.32563260197639465,0.10297201573848724,0.27894994616508484
volatile,0.2222209870815277,0.1999436318874359,0.14926142990589142,0.1875949651002884,0.1797705739736557,0.2554318904876709,0.2897004783153534,0.21065685153007507,0.28498709201812744,0.13203029334545135,0.19237782061100006
after,0.21973377466201782,0.21563246846199036,0.49306565523147583,0.22826717793941498,0.3650246858596802,0.31649044156074524,0.2585527002811432,0.23846375942230225,0.44050168991088867,0.20215079188346863,0.16608688235282898
christmas,0.2578675448894501,0.08542636036872864,0.16941027343273163,0.08031359314918518,0.14492979645729065,0.16750620305538177,0.12357926368713379,0.0938345268368721,0.17820265889167786,0.22756952047348022,0.23817040026187897
when,0.4700249433517456,0.22595302760601044,0.37326499819755554,0.25352776050567627,0.43402108550071716,0.36632040143013,0.359977662563324,0.2319701910018921,0.4431333839893341,0.19582515954971313,0.22841128706932068
a,0.3320399522781372,0.2594761848449707,0.4508470594882965,0.22119273245334625,0.44038116931915283,0.23259559273719788,0.3452818691730499,0.2158076912164688,0.539380669593811,0.24799036979675293,0.23916715383529663
band,0.21816317737102509,0.323089063167572,0.25975263118743896,0.06105004996061325,0.19538703560829163,0.14878885447978973,0.20026551187038422,0.21581023931503296,0.2001747488975525,0.12529240548610687,0.1476995348930359
of,0.33290785551071167,0.25542253255844116,0.4069072902202606,0.37070101499557495,0.4185989499092102,0.2885251045227051,0.30478984117507935,0.21331627666950226,0.5696388483047485,0.296735942363739,0.1826142966747284
