,southern,california,is,most,famous,for,tourism,and,what,notably,named,district,?
southern,1.0,0.2983402609825134,0.2419366091489792,0.21031956374645233,0.16474774479866028,0.14496514201164246,0.2126678228378296,0.24232792854309082,0.18679563701152802,0.2028130292892456,0.1535501778125763,0.2732027471065521,0.11225555837154388
california,0.2983402609825134,1.0,0.20727038383483887,0.206544429063797,0.17896324396133423,0.23038740456104279,0.1284283548593521,0.2441616654396057,0.1811584085226059,0.18365491926670074,0.18246141076087952,0.14906194806098938,0.1409905105829239
is,0.2419366091489792,0.20727038383483887,1.0,0.41165053844451904,0.26248517632484436,0.43268078565597534,0.22605954110622406,0.3859752118587494,0.28837618231773376,0.18971042335033417,0.28335005044937134,0.2656395733356476,0.22961433231830597
famous,0.16474774479866028,0.17896324396133423,0.26248517632484436,0.4934774339199066,1.0,0.2801532745361328,0.22918398678302765,0.2970265746116638,0.1616666167974472,0.40305352210998535,0.34228700399398804,0.2067745476961136,0.10379006713628769
for,0.14496514201164246,0.23038740456104279,0.43268078565597534,0.3906237483024597,0.2801532745361328,0.9999999403953552,0.24244096875190735,0.5064792633056641,0.3017193675041199,0.2568889260292053,0.22057102620601654,0.16689854860305786,0.264628142118454
tourism,0.2126678228378296,0.1284283548593521,0.22605954110622406,0.23045668005943298,0.22918398678302765,0.24244096875190735,1.0,0.20271359384059906,0.09624189138412476,0.21016696095466614,0.16860543191432953,0.2741507887840271,0.08465105295181274
and,0.24232792854309082,0.2441616654396057,0.3859752118587494,0.4309377074241638,0.2970265746116638,0.5064792633056641,0.20271359384059906,1.0,0.31309178471565247,0.3233007490634918,0.23097854852676392,0.23884956538677216,0.20544172823429108
hollywood,0.08430381119251251,0.4264598488807678,0.16278144717216492,0.20132118463516235,0.23095005750656128,0.1584724634885788,0.13765066862106323,0.23927205801010132,0.15446072816848755,0.20975860953330994,0.11975684762001038,0.10869976133108139,0.16076789796352386
(,0.20017468929290771,0.16755922138690948,0.35393038392066956,0.20654040575027466,0.13703840970993042,0.3357032239437103,0.10408700257539749,0.4862271547317505,0.2411840260028839,0.17323514819145203,0.19926521182060242,0.17382538318634033,0.40561532974243164
film,0.10208730399608612,0.1962384581565857,0.21704672276973724,0.16649074852466583,0.12620267271995544,0.24293163418769836,0.20535404980182648,0.23832054436206818,0.17437689006328583,0.15389133989810944,0.11911798268556595,0.15618695318698883,0.16369038820266724
",",0.2795628309249878,0.2704589068889618,0.4691906273365021,0.3636029064655304,0.2816491723060608,0.4464869201183319,0.18920621275901794,0.6633074283599854,0.3087472915649414,0.28631699085235596,0.2530003488063812,0.25852543115615845,0.31091248989105225
television,0.16728781163692474,0.3013967275619507,0.21374565362930298,0.15985378623008728,0.26128897070884705,0.27045196294784546,0.14375124871730804,0.29514092206954956,0.19838058948516846,0.21707744896411896,0.14586883783340454,0.1273532509803772,0.16825827956199646
",",0.2795628309249878,0.2704589068889618,0.4691906273365021,0.3636029064655304,0.2816491723060608,0.4464869201183319,0.18920621275901794,0.6633074283599854,0.3087472915649414,0.28631699085235596,0.2530003488063812,0.25852543115615845,0.31091248989105225
and,0.24232792854309082,0.2441616654396057,0.3859752118587494,0.4309377074241638,0.2970265746116638,0.5064792633056641,0.20271359384059906,1.0,0.31309178471565247,0.3233007490634918,0.23097854852676392,0.23884956538677216,0.20544172823429108
music,0.14558960497379303,0.1684075891971588,0.17702555656433105,0.2003718614578247,0.2712983191013336,0.2626277506351471,0.20400765538215637,0.2946314513683319,0.23070453107357025,0.15709257125854492,0.11903802305459976,0.1159818172454834,0.18264494836330414
),0.18959444761276245,0.19286775588989258,0.37732169032096863,0.23620007932186127,0.16251085698604584,0.3639558255672455,0.12775887548923492,0.4961937665939331,0.26259949803352356,0.15325409173965454,0.19075927138328552,0.1807296872138977,0.42300865054130554
.,0.26629969477653503,0.2870451807975769,0.4569662809371948,0.35404038429260254,0.2322506159543991,0.4726039469242096,0.21251501142978668,0.588965117931366,0.3567904531955719,0.21139730513095856,0.24760639667510986,0.23195737600326538,0.4130953550338745
