,when,was,the,congregation,at,st.,george,'s,founded,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2882172167301178,0.457212895154953,0.18141359090805054,0.2510760426521301,-0.01540423184633255,0.2840350568294525,0.22068053483963013
congregation,0.14837613701820374,0.21125055849552155,0.2882172167301178,1.0000001192092896,0.17031335830688477,0.22925640642642975,0.10400513559579849,0.03743434324860573,0.19732192158699036,0.1875634491443634
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.21125055849552155,0.36707764863967896,0.17142929136753082,0.2601471245288849,0.008974763564765453,0.36917948722839355,0.18412111699581146
founded,0.16657374799251556,0.36917948722839355,0.2840350568294525,0.19732192158699036,0.20260940492153168,0.13324718177318573,0.17789949476718903,0.011454867199063301,1.0000001192092896,0.09119737893342972
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.21616820991039276,0.4374977946281433,0.15931649506092072,0.18167929351329803,-0.037580832839012146,0.24877111613750458,0.20430970191955566
1767,0.05614069476723671,0.02403239719569683,0.1633806973695755,0.14048320055007935,0.15704478323459625,-0.09043148159980774,-0.05648203194141388,0.011205190792679787,0.1453360617160797,0.0780709832906723
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2149576097726822,0.38314947485923767,0.26603782176971436,0.24972979724407196,-0.0016132977325469255,0.24976085126399994,0.31091248989105225
meeting,0.23928841948509216,0.24202010035514832,0.3390691578388214,0.3400495648384094,0.2620472311973572,0.1974058747291565,0.14916200935840607,0.013799736276268959,0.25813570618629456,0.1329771876335144
initially,0.36285609006881714,0.3788634240627289,0.2997018098831177,0.12001226097345352,0.27775415778160095,0.04501903057098389,0.21065343916416168,0.019572511315345764,0.20510759949684143,0.0699334517121315
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.21616820991039276,0.4374977946281433,0.15931649506092072,0.18167929351329803,-0.037580832839012146,0.24877111613750458,0.20430970191955566
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.2073277086019516,0.3095070421695709,0.23918339610099792,0.19503153860569,0.04866964742541313,0.1686933934688568,0.23916715383529663
sail,0.19222068786621094,0.1942669004201889,0.21861271560192108,0.20375752449035645,0.12982454895973206,0.228486567735672,0.17952851951122284,0.03779730945825577,0.1645352691411972,0.1215064600110054
loft,0.23071706295013428,0.26512277126312256,0.20651432871818542,0.1638650745153427,0.24711045622825623,0.25692641735076904,0.1966981440782547,0.09921234846115112,0.15618778765201569,0.088058702647686
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.20858170092105865,0.4806317389011383,0.19196833670139313,0.1973860114812851,0.0026888418942689896,0.16524973511695862,0.2714994251728058
dock,0.2354351133108139,0.16380873322486877,0.20573590695858002,0.15002869069576263,0.22182044386863708,0.19956141710281372,0.19930246472358704,-0.06613343954086304,0.14937615394592285,0.151079922914505
street,0.15712179243564606,0.21281053125858307,0.20947860181331635,0.21620303392410278,0.17524904012680054,0.27855098247528076,0.18250654637813568,0.06000900641083717,0.17112158238887787,0.07315441966056824
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2149576097726822,0.38314947485923767,0.26603782176971436,0.24972979724407196,-0.0016132977325469255,0.24976085126399994,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.25943896174430847,0.3571503460407257,0.22686052322387695,0.22245058417320251,0.06895173341035843,0.22426098585128784,0.20544172823429108
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.21616820991039276,0.4374977946281433,0.15931649506092072,0.18167929351329803,-0.037580832839012146,0.24877111613750458,0.20430970191955566
1769,0.16816167533397675,0.16164863109588623,0.1880301684141159,0.1836351603269577,0.09834468364715576,0.036025356501340866,0.02011866308748722,0.09221208095550537,0.16391360759735107,0.1290908008813858
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.2037014216184616,0.36473900079727173,0.11486785858869553,0.16266757249832153,0.06608816236257553,0.24971328675746918,0.25732165575027466
purchased,0.17914487421512604,0.2898165285587311,0.21101699769496918,0.1644483208656311,0.19288551807403564,0.11765848845243454,0.1606636345386505,0.09375522285699844,0.3134828507900238,0.04121813923120499
the,0.5091903209686279,0.48711544275283813,1.0,0.2882172167301178,0.457212895154953,0.18141359090805054,0.2510760426521301,-0.01540423184633255,0.2840350568294525,0.22068053483963013
shell,0.21742485463619232,0.12382461130619049,0.2078770399093628,0.13487085700035095,0.15430866181850433,0.19709928333759308,0.09402310848236084,-0.001721187261864543,0.04850531741976738,0.13932502269744873
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.28139111399650574,0.42558613419532776,0.19887582957744598,0.22097964584827423,-0.03817026689648628,0.24571022391319275,0.1826142966747284
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.2073277086019516,0.3095070421695709,0.23918339610099792,0.19503153860569,0.04866964742541313,0.1686933934688568,0.23916715383529663
building,0.2712017297744751,0.237406387925148,0.3159640431404114,0.26123496890068054,0.2514413893222809,0.2061094045639038,0.05992960184812546,0.004743766970932484,0.22556813061237335,0.13549931347370148
which,0.572554349899292,0.2830964922904968,0.6521818041801453,0.2841872274875641,0.3286694884300232,0.16463634371757507,0.16627563536167145,0.03856118768453598,0.2052733600139618,0.25814583897590637
had,0.37526828050613403,0.5927209258079529,0.3875846862792969,0.20538920164108276,0.3288320302963257,0.16887514293193817,0.22182245552539825,-0.004401352722197771,0.1999899297952652,0.20728366076946259
been,0.3339833617210388,0.518218457698822,0.3563927710056305,0.16971074044704437,0.2504468560218811,0.11860956996679306,0.14754058420658112,-0.10734795778989792,0.1308959275484085,0.24354910850524902
erected,0.2161097377538681,0.2669670879840851,0.23663264513015747,0.23066478967666626,0.24845150113105774,0.3106624186038971,0.19006654620170593,-0.07482609897851944,0.24873371422290802,0.08063657581806183
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.21616820991039276,0.4374977946281433,0.15931649506092072,0.18167929351329803,-0.037580832839012146,0.24877111613750458,0.20430970191955566
1763,0.03452290967106819,-0.025243915617465973,0.08999345451593399,0.15018215775489807,0.1192682757973671,-0.07672183215618134,-0.05199771746993065,-0.006485112011432648,0.09814067929983139,0.1296161562204361
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.1507270336151123,0.2368064820766449,0.22391770780086517,0.22194799780845642,-0.010884488001465797,0.264241099357605,0.17966607213020325
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.2073277086019516,0.3095070421695709,0.23918339610099792,0.19503153860569,0.04866964742541313,0.1686933934688568,0.23916715383529663
german,0.16090898215770721,0.26016926765441895,0.256483793258667,0.13836655020713806,0.13090145587921143,0.2788151204586029,0.2291075438261032,0.07066776603460312,0.2146073579788208,0.13978645205497742
reformed,0.21705308556556702,0.32850387692451477,0.24013365805149078,0.48231351375579834,0.1003691777586937,0.1325027346611023,0.10727375745773315,0.052462395280599594,0.3535943627357483,0.11769431829452515
congregation,0.14837613701820374,0.21125055849552155,0.2882172167301178,1.0000001192092896,0.17031335830688477,0.22925640642642975,0.10400513559579849,0.03743434324860573,0.19732192158699036,0.1875634491443634
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.27044418454170227,0.4549728035926819,0.2214197814464569,0.26540547609329224,-0.003708066651597619,0.23141497373580933,0.4130953550338745
