,what,is,blamed,for,causing,the,sharp,drop,in,fish,catches,in,the,black,sea,and,the,sea,of,azov,?
on,0.34226128458976746,0.3635730445384979,0.2229813039302826,0.36199691891670227,0.32226383686065674,0.5107308030128479,0.20587006211280823,0.2736946642398834,0.46853652596473694,0.13771693408489227,0.25592613220214844,0.46853652596473694,0.5107308030128479,0.18663345277309418,0.2444533258676529,0.4077630043029785,0.5107308030128479,0.2444533258676529,0.3966929316520691,0.17188137769699097,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,0.2461363822221756,0.4739971458911896,0.2816545367240906,1.0,0.20238399505615234,0.2759656608104706,0.6662389636039734,0.23185352981090546,0.26279017329216003,0.6662389636039734,1.0,0.28466513752937317,0.30363768339157104,0.5171257257461548,1.0,0.30363768339157104,0.733189046382904,0.23515892028808594,0.22068053483963013
other,0.341873437166214,0.25895947217941284,0.204782634973526,0.3273986279964447,0.26311230659484863,0.44152235984802246,0.19798493385314941,0.24875880777835846,0.39989137649536133,0.2657049596309662,0.18985389173030853,0.39989137649536133,0.44152235984802246,0.1947280913591385,0.2263188511133194,0.5504306554794312,0.44152235984802246,0.2263188511133194,0.38583824038505554,0.11382441222667694,0.24682199954986572
hand,0.26703396439552307,0.2402249276638031,0.14097188413143158,0.25754979252815247,0.16752848029136658,0.253619521856308,0.28566524386405945,0.3235059082508087,0.188343808054924,0.17383357882499695,0.26723575592041016,0.188343808054924,0.253619521856308,0.17585498094558716,0.08928116410970688,0.27956733107566833,0.253619521856308,0.08928116410970688,0.18184109032154083,0.1300005316734314,0.20656698942184448
",",0.3087472915649414,0.4691906273365021,0.21747229993343353,0.4464869201183319,0.2622236907482147,0.4933079481124878,0.2532254755496979,0.21217185258865356,0.5201468467712402,0.220574751496315,0.25164684653282166,0.5201468467712402,0.4933079481124878,0.23807229101657867,0.30078184604644775,0.6633074283599854,0.4933079481124878,0.30078184604644775,0.4946078956127167,0.2248634397983551,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.19296689331531525,0.4322226941585541,0.25844457745552063,0.6662389636039734,0.1889141947031021,0.18230557441711426,1.0,0.21571144461631775,0.253505676984787,1.0,0.6662389636039734,0.20407067239284515,0.2302369773387909,0.4954058527946472,0.6662389636039734,0.2302369773387909,0.5696388483047485,0.16842807829380035,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.2461363822221756,0.4739971458911896,0.2816545367240906,1.0,0.20238399505615234,0.2759656608104706,0.6662389636039734,0.23185352981090546,0.26279017329216003,0.6662389636039734,1.0,0.28466513752937317,0.30363768339157104,0.5171257257461548,1.0,0.30363768339157104,0.733189046382904,0.23515892028808594,0.22068053483963013
late,0.1576872020959854,0.20186106860637665,0.20060832798480988,0.2018979787826538,0.20372942090034485,0.31481194496154785,0.16792505979537964,0.17545825242996216,0.3439198434352875,0.18884845077991486,0.17911489307880402,0.3439198434352875,0.31481194496154785,0.10969191789627075,0.13509200513362885,0.3247620165348053,0.31481194496154785,0.13509200513362885,0.21690747141838074,0.0768369808793068,0.11339222639799118
1980s,-0.06585196405649185,0.11413004249334335,-0.03833502531051636,0.01433656644076109,0.0066837528720498085,0.07890266180038452,0.12560608983039856,0.032061878591775894,0.03401865437626839,0.2149830460548401,0.15156042575836182,0.03401865437626839,0.07890266180038452,0.12251178175210953,0.1470116525888443,0.016964120790362358,0.07890266180038452,0.1470116525888443,0.11110851913690567,0.12822197377681732,-0.0718669518828392
the,0.42745697498321533,0.5823672413825989,0.2461363822221756,0.4739971458911896,0.2816545367240906,1.0,0.20238399505615234,0.2759656608104706,0.6662389636039734,0.23185352981090546,0.26279017329216003,0.6662389636039734,1.0,0.28466513752937317,0.30363768339157104,0.5171257257461548,1.0,0.30363768339157104,0.733189046382904,0.23515892028808594,0.22068053483963013
